Year,State,Census Division,Census Division Code,Region,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Michigan,Division 3: East North Central,CENS-D3,Region 2: Midwest,30.3,30.7,61.0,25.0
2012,Michigan,Division 3: East North Central,CENS-D3,Region 2: Midwest,29.6,30.6,60.2,25.1
2013,Michigan,Division 3: East North Central,CENS-D3,Region 2: Midwest,29.3,31.9,61.2,25.0
2014,Michigan,Division 3: East North Central,CENS-D3,Region 2: Midwest,29.2,30.6,59.8,27.2
2015,Michigan,Division 3: East North Central,CENS-D3,Region 2: Midwest,29.8,30.6,60.400000000000006,27.2
2016,Michigan,Division 3: East North Central,CENS-D3,Region 2: Midwest,29.9,32.6,62.5,25.7
2017,Michigan,Division 3: East North Central,CENS-D3,Region 2: Midwest,29.9,33.2,63.1,29.0
2018,Michigan,Division 3: East North Central,CENS-D3,Region 2: Midwest,29.0,34.6,63.6,26.0
2019,Michigan,Division 3: East North Central,CENS-D3,Region 2: Midwest,30.2,37.1,67.3,25.9
2020,Michigan,Division 3: East North Central,CENS-D3,Region 2: Midwest,29.0,37.1,66.1,22.4
2021,Michigan,Division 3: East North Central,CENS-D3,Region 2: Midwest,29.0,34.9,63.9,27.0
2022,Michigan,Division 3: East North Central,CENS-D3,Region 2: Midwest,28.1,35.6,63.7,26.4
2023,Michigan,Division 3: East North Central,CENS-D3,Region 2: Midwest,28.7,37.5,66.2,27.7
