Year,State,Census Division,Census Division Code,Region,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Missouri,Division 4: West North Central,CENS-D4,Region 2: Midwest,29.8,30.7,60.5,28.7
2012,Missouri,Division 4: West North Central,CENS-D4,Region 2: Midwest,30.8,29.6,60.400000000000006,27.5
2013,Missouri,Division 4: West North Central,CENS-D4,Region 2: Midwest,28.3,30.2,58.5,28.6
2014,Missouri,Division 4: West North Central,CENS-D4,Region 2: Midwest,29.2,30.2,59.4,26.8
2015,Missouri,Division 4: West North Central,CENS-D4,Region 2: Midwest,28.5,31.2,59.7,27.2
2016,Missouri,Division 4: West North Central,CENS-D4,Region 2: Midwest,28.4,31.4,59.8,25.9
2017,Missouri,Division 4: West North Central,CENS-D4,Region 2: Midwest,29.9,33.5,63.4,29.9
2018,Missouri,Division 4: West North Central,CENS-D4,Region 2: Midwest,25.9,35.7,61.6,28.4
2019,Missouri,Division 4: West North Central,CENS-D4,Region 2: Midwest,27.9,34.6,62.5,31.6
2020,Missouri,Division 4: West North Central,CENS-D4,Region 2: Midwest,29.3,36.2,65.5,28.0
2021,Missouri,Division 4: West North Central,CENS-D4,Region 2: Midwest,28.1,36.6,64.7,25.6
2022,Missouri,Division 4: West North Central,CENS-D4,Region 2: Midwest,29.1,37.6,66.7,27.3
2023,Missouri,Division 4: West North Central,CENS-D4,Region 2: Midwest,28.9,36.4,65.3,30.6
