Year,State,Census Division,Census Division Code,Region,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Nevada,Division 8: Mountain,CENS-D8,Region 4: West,27.9,23.4,51.3,25.9
2012,Nevada,Division 8: Mountain,CENS-D8,Region 4: West,28.7,25.8,54.5,23.5
2013,Nevada,Division 8: Mountain,CENS-D8,Region 4: West,29.8,26.6,56.400000000000006,27.2
2014,Nevada,Division 8: Mountain,CENS-D8,Region 4: West,27.4,25.4,52.8,24.9
2015,Nevada,Division 8: Mountain,CENS-D8,Region 4: West,32.3,25.4,57.699999999999996,28.4
2016,Nevada,Division 8: Mountain,CENS-D8,Region 4: West,29.2,25.8,55.0,28.1
2017,Nevada,Division 8: Mountain,CENS-D8,Region 4: West,31.0,27.1,58.1,26.3
2018,Nevada,Division 8: Mountain,CENS-D8,Region 4: West,32.3,29.2,61.5,27.3
2019,Nevada,Division 8: Mountain,CENS-D8,Region 4: West,33.4,29.2,62.599999999999994,27.2
2020,Nevada,Division 8: Mountain,CENS-D8,Region 4: West,29.7,27.0,56.7,27.9
2021,Nevada,Division 8: Mountain,CENS-D8,Region 4: West,33.9,29.4,63.3,26.2
2022,Nevada,Division 8: Mountain,CENS-D8,Region 4: West,28.2,35.3,63.5,28.7
2023,Nevada,Division 8: Mountain,CENS-D8,Region 4: West,30.2,31.9,62.099999999999994,29.2
