Year,State,Census Division,Census Division Code,Region,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,New Jersey,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,30.5,21.8,52.3,28.7
2012,New Jersey,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,30.0,22.9,52.9,27.0
2013,New Jersey,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,29.8,24.9,54.7,30.1
2014,New Jersey,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,30.1,25.3,55.400000000000006,26.4
2015,New Jersey,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,32.0,23.7,55.7,29.4
2016,New Jersey,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,29.8,25.6,55.400000000000006,32.3
2017,New Jersey,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,30.1,25.2,55.3,31.5
2018,New Jersey,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,29.4,25.5,54.9,30.8
2019,New Jersey,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,,,,
2020,New Jersey,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,30.4,26.7,57.099999999999994,23.0
2021,New Jersey,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,32.2,27.5,59.7,26.8
2022,New Jersey,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,32.3,27.4,59.699999999999996,26.1
2023,New Jersey,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,30.7,28.6,59.3,26.9
