Year,State,Census Division,Census Division Code,Region,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,New York,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,30.4,23.7,54.099999999999994,28.4
2012,New York,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,30.6,22.9,53.5,27.6
2013,New York,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,28.6,26.1,54.7,28.4
2014,New York,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,28.0,26.2,54.2,26.8
2015,New York,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,29.1,24.3,53.400000000000006,31.7
2016,New York,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,29.6,25.2,54.8,28.5
2017,New York,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,29.0,25.3,54.3,29.7
2018,New York,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,29.6,27.3,56.900000000000006,26.2
2019,New York,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,30.5,27.7,58.2,29.4
2020,New York,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,30.6,26.3,56.900000000000006,27.5
2021,New York,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,28.8,29.8,58.6,28.1
2022,New York,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,29.4,30.3,59.7,28.1
2023,New York,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,30.5,28.7,59.2,28.8
