Year,State,Census Division,Census Division Code,Region,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Tennessee,Division 6: East South Central,CENS-D6,Region 3: South,29.7,30.4,60.099999999999994,37.2
2012,Tennessee,Division 6: East South Central,CENS-D6,Region 3: South,29.4,31.8,61.2,31.4
2013,Tennessee,Division 6: East South Central,CENS-D6,Region 3: South,28.8,34.6,63.400000000000006,39.5
2014,Tennessee,Division 6: East South Central,CENS-D6,Region 3: South,32.1,30.5,62.6,30.3
2015,Tennessee,Division 6: East South Central,CENS-D6,Region 3: South,30.1,34.5,64.6,31.9
2016,Tennessee,Division 6: East South Central,CENS-D6,Region 3: South,29.9,33.5,63.4,32.6
2017,Tennessee,Division 6: East South Central,CENS-D6,Region 3: South,31.0,32.4,63.4,32.5
2018,Tennessee,Division 6: East South Central,CENS-D6,Region 3: South,29.4,35.3,64.69999999999999,34.0
2019,Tennessee,Division 6: East South Central,CENS-D6,Region 3: South,30.6,36.0,66.6,33.2
2020,Tennessee,Division 6: East South Central,CENS-D6,Region 3: South,30.7,36.7,67.4,27.5
2021,Tennessee,Division 6: East South Central,CENS-D6,Region 3: South,32.5,37.1,69.6,30.5
2022,Tennessee,Division 6: East South Central,CENS-D6,Region 3: South,24.8,42.7,67.5,32.4
2023,Tennessee,Division 6: East South Central,CENS-D6,Region 3: South,27.9,39.4,67.3,30.4
