Year,State,Census Division,Census Division Code,Region,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Washington,Division 9: Pacific,CENS-D9,Region 4: West,29.3,24.9,54.2,22.1
2012,Washington,Division 9: Pacific,CENS-D9,Region 4: West,27.3,26.3,53.6,20.0
2013,Washington,Division 9: Pacific,CENS-D9,Region 4: West,27.6,27.7,55.3,20.3
2014,Washington,Division 9: Pacific,CENS-D9,Region 4: West,31.1,26.0,57.1,18.4
2015,Washington,Division 9: Pacific,CENS-D9,Region 4: West,29.9,25.9,55.8,19.6
2016,Washington,Division 9: Pacific,CENS-D9,Region 4: West,28.9,27.7,56.599999999999994,19.3
2017,Washington,Division 9: Pacific,CENS-D9,Region 4: West,27.9,27.1,55.0,20.2
2018,Washington,Division 9: Pacific,CENS-D9,Region 4: West,29.3,28.0,57.3,18.0
2019,Washington,Division 9: Pacific,CENS-D9,Region 4: West,29.5,28.0,57.5,19.7
2020,Washington,Division 9: Pacific,CENS-D9,Region 4: West,29.1,28.0,57.1,19.7
2021,Washington,Division 9: Pacific,CENS-D9,Region 4: West,30.3,29.3,59.6,19.2
2022,Washington,Division 9: Pacific,CENS-D9,Region 4: West,29.5,31.8,61.3,18.7
2023,Washington,Division 9: Pacific,CENS-D9,Region 4: West,29.1,30.9,60.0,19.4
