"Notes"	"Census Division"	"Census Division Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Division 1: New England"	"CENS-D1"	"< 1 year"	"1"	0	1648905	Unreliable
	"Division 1: New England"	"CENS-D1"	"1-4 years"	"1-4"	0	6788556	Unreliable
	"Division 1: New England"	"CENS-D1"	"5-9 years"	"5-9"	0	8959930	Unreliable
	"Division 1: New England"	"CENS-D1"	"10-14 years"	"10-14"	0	9556442	Unreliable
	"Division 1: New England"	"CENS-D1"	"15-19 years"	"15-19"	Suppressed	10903571	Suppressed
	"Division 1: New England"	"CENS-D1"	"20-24 years"	"20-24"	21	11180522	0.2
	"Division 1: New England"	"CENS-D1"	"25-29 years"	"25-29"	50	10672682	0.5
	"Division 1: New England"	"CENS-D1"	"30-34 years"	"30-34"	69	10236983	0.7
	"Division 1: New England"	"CENS-D1"	"35-39 years"	"35-39"	54	9740392	0.6
	"Division 1: New England"	"CENS-D1"	"40-44 years"	"40-44"	41	10135874	0.4
	"Division 1: New England"	"CENS-D1"	"45-49 years"	"45-49"	16	11297906	Unreliable
	"Division 1: New England"	"CENS-D1"	"50-54 years"	"50-54"	15	12116209	Unreliable
	"Division 1: New England"	"CENS-D1"	"55-59 years"	"55-59"	Suppressed	11852313	Suppressed
	"Division 1: New England"	"CENS-D1"	"60-64 years "	"60-64"	Suppressed	10449401	Suppressed
	"Division 1: New England"	"CENS-D1"	"65-69 years"	"65-69"	0	8389232	Unreliable
	"Division 1: New England"	"CENS-D1"	"70-74 years"	"70-74"	0	6179328	Unreliable
	"Division 1: New England"	"CENS-D1"	"75-79 years"	"75-79"	Suppressed	4396667	Suppressed
	"Division 1: New England"	"CENS-D1"	"80-84 years"	"80-84"	0	3289409	Unreliable
	"Division 1: New England"	"CENS-D1"	"85-89 years"	"85-89"	0	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"90-94 years"	"90-94"	0	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"95-99 years"	"95-99"	0	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"100+ years"	"100+"	0	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
"Total"	"Division 1: New England"	"CENS-D1"			273	161618388	0.2
	"Division 2: Middle Atlantic"	"CENS-D2"	"< 1 year"	"1"	0	5232495	Unreliable
	"Division 2: Middle Atlantic"	"CENS-D2"	"1-4 years"	"1-4"	0	21117346	Unreliable
	"Division 2: Middle Atlantic"	"CENS-D2"	"5-9 years"	"5-9"	0	26668346	Unreliable
	"Division 2: Middle Atlantic"	"CENS-D2"	"10-14 years"	"10-14"	0	27378945	Unreliable
	"Division 2: Middle Atlantic"	"CENS-D2"	"15-19 years"	"15-19"	33	29292597	0.1
	"Division 2: Middle Atlantic"	"CENS-D2"	"20-24 years"	"20-24"	167	30616482	0.5
	"Division 2: Middle Atlantic"	"CENS-D2"	"25-29 years"	"25-29"	285	31562619	0.9
	"Division 2: Middle Atlantic"	"CENS-D2"	"30-34 years"	"30-34"	357	30150787	1.2
	"Division 2: Middle Atlantic"	"CENS-D2"	"35-39 years"	"35-39"	312	28395300	1.1
	"Division 2: Middle Atlantic"	"CENS-D2"	"40-44 years"	"40-44"	186	28741684	0.6
	"Division 2: Middle Atlantic"	"CENS-D2"	"45-49 years"	"45-49"	64	30915546	0.2
	"Division 2: Middle Atlantic"	"CENS-D2"	"50-54 years"	"50-54"	114	32554472	0.4
	"Division 2: Middle Atlantic"	"CENS-D2"	"55-59 years"	"55-59"	Suppressed	31696277	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"60-64 years "	"60-64"	0	27982465	Unreliable
	"Division 2: Middle Atlantic"	"CENS-D2"	"65-69 years"	"65-69"	Suppressed	22477751	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"70-74 years"	"70-74"	Suppressed	16908051	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"75-79 years"	"75-79"	Suppressed	12417770	Suppressed
	"Division 2: Middle Atlantic"	"CENS-D2"	"80-84 years"	"80-84"	0	9355784	Unreliable
	"Division 2: Middle Atlantic"	"CENS-D2"	"85-89 years"	"85-89"	0	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"90-94 years"	"90-94"	0	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"95-99 years"	"95-99"	0	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"100+ years"	"100+"	0	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"			1524	453984680	0.3
	"Division 3: East North Central"	"CENS-D3"	"< 1 year"	"1"	0	6064891	Unreliable
	"Division 3: East North Central"	"CENS-D3"	"1-4 years"	"1-4"	0	24950803	Unreliable
	"Division 3: East North Central"	"CENS-D3"	"5-9 years"	"5-9"	0	32303688	Unreliable
	"Division 3: East North Central"	"CENS-D3"	"10-14 years"	"10-14"	Suppressed	33521583	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"15-19 years"	"15-19"	60	34722883	0.2
	"Division 3: East North Central"	"CENS-D3"	"20-24 years"	"20-24"	238	35398365	0.7
	"Division 3: East North Central"	"CENS-D3"	"25-29 years"	"25-29"	349	34091944	1.0
	"Division 3: East North Central"	"CENS-D3"	"30-34 years"	"30-34"	339	32846447	1.0
	"Division 3: East North Central"	"CENS-D3"	"35-39 years"	"35-39"	294	31829520	0.9
	"Division 3: East North Central"	"CENS-D3"	"40-44 years"	"40-44"	147	32007363	0.5
	"Division 3: East North Central"	"CENS-D3"	"45-49 years"	"45-49"	105	33944537	0.3
	"Division 3: East North Central"	"CENS-D3"	"50-54 years"	"50-54"	110	35961376	0.3
	"Division 3: East North Central"	"CENS-D3"	"55-59 years"	"55-59"	Suppressed	35835022	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"60-64 years "	"60-64"	Suppressed	31945180	Suppressed
	"Division 3: East North Central"	"CENS-D3"	"65-69 years"	"65-69"	Suppressed	25513031	Suppressed
