Notes	Census Division	Census Division Code	Year	Year Code	Ten-Year Age Groups	Ten-Year Age Groups Code	Deaths	Population	Crude Rate
	Division 1: New England	CENS-D1	2010	2010	5-14 years	14-May	0	862900	Unreliable
	Division 1: New England	CENS-D1	2010	2010	15-24 years	15-24	0	993592	Unreliable
	Division 1: New England	CENS-D1	2010	2010	25-34 years	25-34	10	882732	Unreliable
	Division 1: New England	CENS-D1	2010	2010	55-64 years	55-64	0	949575	Unreliable
	Division 1: New England	CENS-D1	2011	2011	5-14 years	14-May	0	852243	Unreliable
	Division 1: New England	CENS-D1	2011	2011	35-44 years	35-44	14	960732	Unreliable
	Division 1: New England	CENS-D1	2011	2011	55-64 years	55-64	0	989633	Unreliable
	Division 1: New England	CENS-D1	2012	2012	5-14 years	14-May	0	847177	Unreliable
	Division 1: New England	CENS-D1	2012	2012	55-64 years	55-64	0	1002859	Unreliable
	Division 1: New England	CENS-D1	2013	2013	5-14 years	14-May	0	839506	Unreliable
	Division 1: New England	CENS-D1	2014	2014	5-14 years	14-May	0	830706	Unreliable
	Division 1: New England	CENS-D1	2014	2014	25-34 years	25-34	13	944095	Unreliable
	Division 1: New England	CENS-D1	2014	2014	55-64 years	55-64	0	1042140	Unreliable
	Division 1: New England	CENS-D1	2015	2015	5-14 years	14-May	0	821028	Unreliable
	Division 1: New England	CENS-D1	2015	2015	55-64 years	55-64	0	1061729	Unreliable
	Division 1: New England	CENS-D1	2016	2016	5-14 years	14-May	0	812495	Unreliable
	Division 1: New England	CENS-D1	2016	2016	25-34 years	25-34	14	955625	Unreliable
	Division 1: New England	CENS-D1	2016	2016	35-44 years	35-44	14	887400	Unreliable
	Division 1: New England	CENS-D1	2016	2016	55-64 years	55-64	0	1076450	Unreliable
	Division 1: New England	CENS-D1	2017	2017	5-14 years	14-May	0	806266	Unreliable
	Division 1: New England	CENS-D1	2017	2017	25-34 years	25-34	14	967709	Unreliable
	Division 1: New England	CENS-D1	2018	2018	5-14 years	14-May	0	801711	Unreliable
	Division 1: New England	CENS-D1	2018	2018	25-34 years	25-34	15	981637	Unreliable
	Division 1: New England	CENS-D1	2018	2018	45-54 years	45-54	0	1031034	Unreliable
	Division 1: New England	CENS-D1	2018	2018	55-64 years	55-64	0	1097342	Unreliable
	Division 1: New England	CENS-D1	2019	2019	5-14 years	14-May	0	792980	Unreliable
	Division 1: New England	CENS-D1	2019	2019	25-34 years	25-34	11	986523	Unreliable
	Division 1: New England	CENS-D1	2019	2019	45-54 years	45-54	0	997569	Unreliable
	Division 1: New England	CENS-D1	2019	2019	55-64 years	55-64	0	1101210	Unreliable
	Division 1: New England	CENS-D1	2020	2020	5-14 years	14-May	0	786482	Unreliable
	Division 1: New England	CENS-D1	2020	2020	25-34 years	25-34	18	988871	Unreliable
	Division 1: New England	CENS-D1	2020	2020	35-44 years	35-44	16	913542	Unreliable
	Division 1: New England	CENS-D1	2021	2021	5-14 years	14-May	0	804517	Unreliable
	Division 1: New England	CENS-D1	2021	2021	25-34 years	25-34	11	994443	Unreliable
	Division 1: New England	CENS-D1	2021	2021	35-44 years	35-44	19	950943	Unreliable
	Division 1: New England	CENS-D1	2021	2021	55-64 years	55-64	0	1110084	Unreliable
	Division 1: New England	CENS-D1	2022	2022	5-14 years	14-May	0	788983	Unreliable
	Division 1: New England	CENS-D1	2022	2022	25-34 years	25-34	19	985064	Unreliable
	Division 1: New England	CENS-D1	2022	2022	35-44 years	35-44	19	960058	Unreliable
	Division 1: New England	CENS-D1	2022	2022	45-54 years	45-54	0	938333	Unreliable
	Division 1: New England	CENS-D1	2022	2022	55-64 years	55-64	0	1092752	Unreliable
	Division 1: New England	CENS-D1	2023	2023	5-14 years	14-May	0	786457	Unreliable
	Division 1: New England	CENS-D1	2023	2023	35-44 years	35-44	15	981950	Unreliable
	Division 1: New England	CENS-D1	2023	2023	45-54 years	45-54	0	929860	Unreliable
	Division 1: New England	CENS-D1	2023	2023	55-64 years	55-64	0	1083432	Unreliable
	Division 2: Middle Atlantic	CENS-D2	2010	2010	5-14 years	14-May	0	2480154	Unreliable
	Division 2: Middle Atlantic	CENS-D2	2010	2010	15-24 years	15-24	23	2791087	0.8
	Division 2: Middle Atlantic	CENS-D2	2010	2010	25-34 years	25-34	56	2659904	2.1
	Division 2: Middle Atlantic	CENS-D2	2010	2010	35-44 years	35-44	44	2777913	1.6
	Division 2: Middle Atlantic	CENS-D2	2010	2010	55-64 years	55-64	0	2592565	Unreliable
	Division 2: Middle Atlantic	CENS-D2	2011	2011	5-14 years	14-May	0	2458462	Unreliable
	Division 2: Middle Atlantic	CENS-D2	2011	2011	15-24 years	15-24	20	2774381	0.7
	Division 2: Middle Atlantic	CENS-D2	2011	2011	25-34 years	25-34	64	2702897	2.4
	Division 2: Middle Atlantic	CENS-D2	2011	2011	35-44 years	35-44	31	2714781	1.1
	Division 2: Middle Atlantic	CENS-D2	2011	2011	45-54 years	45-54	20	3149904	0.6
