"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	10	1801848	Unreliable
	"Alabama"	"01"	"2005"	"2005"	12	1856905	Unreliable
	"Alabama"	"01"	"2006"	"2006"	10	1880993	Unreliable
	"Alabama"	"01"	"2015"	"2015"	12	1929191	Unreliable
	"Alabama"	"01"	"2016"	"2016"	35	1920571	0.01822375
	"Alabama"	"01"	"2017"	"2017"	41	1916967	0.02138795
	"Alabama"	"01"	"2018"	"2018"	31	1913546	0.01620029
	"Alabama"	"01"	"2019"	"2019"	35	1910340	0.01832135
	"Alabama"	"01"	"2020"	"2020"	34	1909325	0.01780734
	"Alaska"	"02"	"1999"	"1999"	0	259709	Unreliable
	"Alaska"	"02"	"2001"	"2001"	0	262871	Unreliable
	"Alaska"	"02"	"2003"	"2003"	0	268787	Unreliable
	"Alaska"	"02"	"2005"	"2005"	0	274302	Unreliable
	"Alaska"	"02"	"2006"	"2006"	0	277523	Unreliable
	"Alaska"	"02"	"2007"	"2007"	0	278257	Unreliable
	"Alaska"	"02"	"2008"	"2008"	0	278765	Unreliable
	"Alaska"	"02"	"2012"	"2012"	0	291950	Unreliable
	"Alaska"	"02"	"2020"	"2020"	0	277186	Unreliable
	"Arizona"	"04"	"2008"	"2008"	11	2468312	Unreliable
	"Arizona"	"04"	"2010"	"2010"	17	2512905	Unreliable
	"Arizona"	"04"	"2011"	"2011"	15	2537848	Unreliable
	"Arizona"	"04"	"2012"	"2012"	25	2553059	0.00979217
	"Arizona"	"04"	"2013"	"2013"	23	2569337	0.00895173
	"Arizona"	"04"	"2014"	"2014"	24	2598709	0.00923535
	"Arizona"	"04"	"2015"	"2015"	20	2622644	0.00762589
	"Arizona"	"04"	"2016"	"2016"	25	2642005	0.00946251
	"Arizona"	"04"	"2017"	"2017"	24	2666761	0.00899968
	"Arizona"	"04"	"2018"	"2018"	24	2714655	0.00884090
	"Arizona"	"04"	"2019"	"2019"	32	2744874	0.01165809
	"Arizona"	"04"	"2020"	"2020"	39	2785818	0.01399948
	"Arkansas"	"05"	"2008"	"2008"	24	1136062	0.02112561
	"Arkansas"	"05"	"2009"	"2009"	20	1143650	0.01748787
	"Arkansas"	"05"	"2010"	"2010"	13	1150553	Unreliable
	"Arkansas"	"05"	"2011"	"2011"	10	1158087	Unreliable
	"Arkansas"	"05"	"2012"	"2012"	18	1157837	Unreliable
	"Arkansas"	"05"	"2013"	"2013"	15	1157833	Unreliable
	"Arkansas"	"05"	"2014"	"2014"	23	1156087	0.01989470
