"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1979"	"1979"	7	2011807	0.003479459 (Unreliable)
	"Alabama"	"01"	"1980"	"1980"	7	2024013	0.003458476 (Unreliable)
	"Alabama"	"01"	"1981"	"1981"	7	2037016	0.003436399 (Unreliable)
	"Alabama"	"01"	"1982"	"1982"	13	2041160	0.006368927 (Unreliable)
	"Alabama"	"01"	"1983"	"1983"	7	2044849	0.003423236 (Unreliable)
	"Alabama"	"01"	"1984"	"1984"	9	2054979	0.004379607 (Unreliable)
	"Alabama"	"01"	"1985"	"1985"	9	2067683	0.004352698 (Unreliable)
	"Alabama"	"01"	"1986"	"1986"	13	2077496	0.006257533 (Unreliable)
	"Alabama"	"01"	"1987"	"1987"	4	2090188	0.001913704 (Unreliable)
	"Alabama"	"01"	"1988"	"1988"	8	2095359	0.003817962 (Unreliable)
	"Alabama"	"01"	"1990"	"1990"	10	2105930	0.004748496 (Unreliable)
	"Alabama"	"01"	"1993"	"1993"	12	2191256	0.005476311 (Unreliable)
	"Alabama"	"01"	"1994"	"1994"	10	2214186	0.004516332 (Unreliable)
	"Alaska"	"02"	"1979"	"1979"	1	190182	0.005258121 (Unreliable)
	"Alaska"	"02"	"1980"	"1980"	1	189714	0.005271092 (Unreliable)
	"Alaska"	"02"	"1981"	"1981"	1	197746	0.005056992 (Unreliable)
	"Alaska"	"02"	"1982"	"1982"	1	213032	0.004694131 (Unreliable)
	"Alaska"	"02"	"1983"	"1983"	0	232022	0.000000000 (Unreliable)
	"Alaska"	"02"	"1984"	"1984"	0	244004	0.000000000 (Unreliable)
	"Alaska"	"02"	"1985"	"1985"	1	252962	0.003953163 (Unreliable)
	"Alaska"	"02"	"1986"	"1986"	1	257599	0.003882003 (Unreliable)
	"Alaska"	"02"	"1987"	"1987"	1	255060	0.003920646 (Unreliable)
	"Alaska"	"02"	"1988"	"1988"	0	256121	0.000000000 (Unreliable)
	"Alaska"	"02"	"1989"	"1989"	0	258865	0.000000000 (Unreliable)
	"Alaska"	"02"	"1990"	"1990"	0	260173	0.000000000 (Unreliable)
	"Alaska"	"02"	"1991"	"1991"	0	270301	0.000000000 (Unreliable)
	"Alaska"	"02"	"1992"	"1992"	0	279128	0.000000000 (Unreliable)
	"Alaska"	"02"	"1995"	"1995"	0	289581	0.000000000 (Unreliable)
	"Arizona"	"04"	"1979"	"1979"	4	1341578	0.002981564 (Unreliable)
	"Arizona"	"04"	"1980"	"1980"	3	1383740	0.002168037 (Unreliable)
	"Arizona"	"04"	"1981"	"1981"	2	1429711	0.001398884 (Unreliable)
	"Arizona"	"04"	"1982"	"1982"	3	1469628	0.002041333 (Unreliable)
	"Arizona"	"04"	"1983"	"1983"	4	1508005	0.002652511 (Unreliable)
	"Arizona"	"04"	"1984"	"1984"	5	1557394	0.003210491 (Unreliable)
	"Arizona"	"04"	"1985"	"1985"	1	1617194	0.000618355 (Unreliable)
	"Arizona"	"04"	"1986"	"1986"	2	1679333	0.001190949 (Unreliable)
	"Arizona"	"04"	"1987"	"1987"	2	1744069	0.001146744 (Unreliable)
	"Arizona"	"04"	"1988"	"1988"	3	1793532	0.001672677 (Unreliable)
	"Arizona"	"04"	"1997"	"1997"	11	2380508	0.004620862 (Unreliable)
	"Arkansas"	"05"	"1979"	"1979"	6	1172572	0.005116957 (Unreliable)
	"Arkansas"	"05"	"1980"	"1980"	4	1182754	0.003381937 (Unreliable)
	"Arkansas"	"05"	"1981"	"1981"	3	1186207	0.002529069 (Unreliable)
	"Arkansas"	"05"	"1982"	"1982"	1	1187281	0.000842261 (Unreliable)
	"Arkansas"	"05"	"1983"	"1983"	4	1193417	0.003351720 (Unreliable)
	"Arkansas"	"05"	"1984"	"1984"	2	1200843	0.001665497 (Unreliable)
	"Arkansas"	"05"	"1985"	"1985"	7	1205073	0.005808777 (Unreliable)
	"Arkansas"	"05"	"1986"	"1986"	2	1207992	0.001655640 (Unreliable)
	"Arkansas"	"05"	"1987"	"1987"	0	1213373	0.000000000 (Unreliable)
	"Arkansas"	"05"	"1988"	"1988"	6	1214334	0.004940980 (Unreliable)
	"Arkansas"	"05"	"1993"	"1993"	0	1269084	0.000000000 (Unreliable)
	"Arkansas"	"05"	"1994"	"1994"	0	1287431	0.000000000 (Unreliable)
	"California"	"06"	"1979"	"1979"	35	11817245	0.002961773
	"California"	"06"	"1980"	"1980"	42	12030176	0.003491221
	"California"	"06"	"1981"	"1981"	38	12318509	0.003084789
	"California"	"06"	"1982"	"1982"	42	12562815	0.003343200
	"California"	"06"	"1983"	"1983"	35	12811533	0.002731914
	"California"	"06"	"1984"	"1984"	32	13032032	0.002455488
