State,Year,Deaths,Population,"$10,000 to $14,999","$100,000 to $149,999","$15,000 to $24,999","$150,000 to $199,999","$200,000 or more","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","Less than $10,000",Total,Female_Population,Absolute_Overweight,Absolute_Obese,Absolute_Overweight_or_Obese,Absolute_No_Activity,Births,BirthCenterBirths,MD_Delivery,DO_Delivery,CNM_Delivery,Other_Delivery_Attendant,Unmarried,3rdMonthInitialCare,4thMonthInitialCare,7thMonthInitialCare,8thMonthInitialCare,UnknownInitialCare,20-27Weeks,32-35Weeks,37-39Weeks,40Weeks,42PlusWeeks
Arizona,2011,15,2537848,296600,700290,662000,231904,204416,637398,864267,1092578,698254,440554,5822460,3253991,946911.3810000002,839529.6780000001,1786441.0590000001,797227.795,85543,454,71480,8295.0,4825,178,38227,0,0,0,0,0,546,3421,54646,18076,321
Arizona,2012,25,2553059,294816,745004,643127,242829,213104,646268,878718,1118497,704039,417970,5907220,3292568,928504.1759999999,842897.408,1771401.5839999998,786923.752,86441,505,71309,8526.0,5617,199,39319,0,0,0,0,0,480,3476,55425,18265,271
Arizona,2013,23,2569337,288820,737234,642446,262832,233746,640738,869218,1108640,728202,427141,5938211,3292568,882408.224,892285.9280000001,1774694.152,888993.3600000001,85600,459,70436,8545.0,5568,235,38875,0,0,0,0,0,437,3430,54667,18067,261
Arizona,2014,24,2598709,293627,770358,604699,268779,269628,636476,864683,1131012,739127,420781,5998781,3388538,999618.71,975898.9440000001,1975517.6539999999,786140.816,86887,511,71286,9011.0,6252,238,39224,20467,8059,2258,1730,1627,474,3440,55382,17920,290
Arizona,2015,20,2622644,259433,799290,598666,307796,284470,626751,862866,1160736,767700,410515,6079558,3440680,1101017.6,932424.28,2033441.88,870492.04,85351,492,68443,10016.0,6551,236,38862,20815,7952,2308,1785,1688,416,3389,54675,17381,286
Arizona,2016,25,2642005,271431,852613,559128,341113,336075,602802,863846,1177077,818640,410413,6232289,3486843,1007697.627,969342.354,1977039.9810000001,885658.122,84520,582,66639,10808.0,6685,310,38053,21208,7760,2313,1885,1941,452,3331,54292,17118,231
Arizona,2017,24,2666761,241241,950204,558557,357696,377412,565267,862746,1190409,834617,379858,6312462,3528548,1030336.016,1016221.8240000001,2046557.8399999999,935065.2200000001,81872,607,63809,11020.0,6694,253,36604,20823,7643,2222,1814,1860,437,3342,52693,16335,213
Arizona,2018,24,2714655,209391,986629,562727,407482,417610,569169,845065,1246317,876120,350109,6475866,3606517,1092774.651,1009824.7600000001,2102599.411,930481.386,80723,702,63036,10562.0,6825,220,36180,21335,7490,2380,1950,1413,446,3394,52934,15417,190
Arizona,2019,32,2744874,204097,1082933,494162,452285,486254,535036,868802,1230985,911036,351544,6613213,3657782,1053441.216,1174148.022,2227589.2380000004,947365.5380000001,79375,584,60269,11056.0,7671,338,35833,20727,7392,2478,2122,1972,394,3279,52862,14868,160
Arkansas,2011,10,1158087,204404,260833,382842,76684,57930,338160,431653,506985,301859,251477,2811350,1490129,426176.89400000003,464920.248,891097.142,508133.98900000006,38715,32,36466,1464.0,349,225,17370,0,0,0,0,0,298,1798,25691,6923,150
Arkansas,2012,18,1157837,198192,272941,381076,72207,66130,344952,426461,539791,304472,238303,2845700,1499866,401964.08800000005,526452.966,928417.0540000001,505454.842,38347,121,36007,1614.0,241,204,17325,0,0,0,0,0,303,1802,25922,6600,115
Arkansas,2013,15,1157833,179022,272085,366766,81367,70018,343185,436428,515418,302745,232906,2800335,1499866,466458.326,511454.30600000004,977912.632,545951.2239999999,37832,138,35607,1545.0,210,181,17034,0,0,0,0,0,286,1682,25333,6625,132
Arkansas,2014,23,1156087,188349,283876,353904,83365,79090,333765,444546,519459,310422,212512,2809104,1509591,446838.93600000005,543452.76,990291.6959999999,489107.484,38511,101,35812,1964.0,186,204,16925,9577,4206,1230,675,5533,261,1775,25945,7023,105
Arkansas,2015,16,1157172,173743,298023,349246,81323,96489,347450,429429,526431,323198,225086,2850623,1514628,484680.96,513458.89199999993,998139.8520000001,574044.012,38886,87,36089,2141.0,194,177,17502,10149,3867,1324,728,5302,283,1891,26373,6648,109
Arkansas,2016,17,1157667,163452,321880,326867,100243,95206,327144,426655,532365,324868,215633,2835433,1519466,410255.82,598669.6039999999,1008925.424,537890.9639999999,38274,71,35378,2217.0,169,236,17036,9954,3430,1522,824,4471,276,1763,25821,6806,70
Arkansas,2017,14,1158176,162598,325803,319817,129558,97778,319538,421691,537234,341174,203447,2859016,1524597,439083.93600000005,570199.278,1009283.214,547330.323,37520,12,34484,2414.0,158,259,17072,10275,3599,1314,729,2073,270,1886,25585,6271,65
Arkansas,2018,23,1157254,150679,363806,323392,124506,116732,309314,427651,524416,327871,201406,2866155,1537145,451920.62999999995,605635.1299999999,1057555.76,513406.42999999993,37018,10,33981,2376.0,161,269,16795,11396,3809,1325,779,437,256,1929,25498,5943,89
