"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	Births
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	153817
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	153040
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	151063
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	149829
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	150146
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	149174
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	148858
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	146630
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	144078
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	142529
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	138452
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	145286
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	143671
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	140085
"Total"	"Division 1: New England"	"CENS-D1"			2056658
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	494618
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	490373
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	487660
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	480476
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	484346
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	481448
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	476339
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	468732
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	463134
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	455354
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	437985
	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	444861
	"Division 2: Middle Atlantic"	"CENS-D2"	"2022"	"2022"	440919
	"Division 2: Middle Atlantic"	"CENS-D2"	"2023"	"2023"	431564
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"			6537809
	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	571286
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	564749
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	561256
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	559107
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	563639
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	561773
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	555551
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	544793
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	535725
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	526604
	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	505773
	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	508687
	"Division 3: East North Central"	"CENS-D3"	"2022"	"2022"	498600
	"Division 3: East North Central"	"CENS-D3"	"2023"	"2023"	489594
"Total"	"Division 3: East North Central"	"CENS-D3"			7547137
	"Division 4: West North Central"	"CENS-D4"	"2010"	"2010"	271570
	"Division 4: West North Central"	"CENS-D4"	"2011"	"2011"	269475
	"Division 4: West North Central"	"CENS-D4"	"2012"	"2012"	271413
	"Division 4: West North Central"	"CENS-D4"	"2013"	"2013"	271330
	"Division 4: West North Central"	"CENS-D4"	"2014"	"2014"	274610
	"Division 4: West North Central"	"CENS-D4"	"2015"	"2015"	273860
	"Division 4: West North Central"	"CENS-D4"	"2016"	"2016"	272157
	"Division 4: West North Central"	"CENS-D4"	"2017"	"2017"	265270
	"Division 4: West North Central"	"CENS-D4"	"2018"	"2018"	262676
	"Division 4: West North Central"	"CENS-D4"	"2019"	"2019"	257856
	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	248528
	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	251508
	"Division 4: West North Central"	"CENS-D4"	"2022"	"2022"	249020
	"Division 4: West North Central"	"CENS-D4"	"2023"	"2023"	243914
"Total"	"Division 4: West North Central"	"CENS-D4"			3683187
	"Division 5: South Atlantic"	"CENS-D5"	"2010"	"2010"	747031
	"Division 5: South Atlantic"	"CENS-D5"	"2011"	"2011"	740619
	"Division 5: South Atlantic"	"CENS-D5"	"2012"	"2012"	737559
	"Division 5: South Atlantic"	"CENS-D5"	"2013"	"2013"	734996
	"Division 5: South Atlantic"	"CENS-D5"	"2014"	"2014"	747542
	"Division 5: South Atlantic"	"CENS-D5"	"2015"	"2015"	752123
	"Division 5: South Atlantic"	"CENS-D5"	"2016"	"2016"	748710
	"Division 5: South Atlantic"	"CENS-D5"	"2017"	"2017"	741149
	"Division 5: South Atlantic"	"CENS-D5"	"2018"	"2018"	732341
	"Division 5: South Atlantic"	"CENS-D5"	"2019"	"2019"	727520
