"Notes","Census Division","Census Division Code","Year","Year Code","OE Gestational Age 10","OE Gestational Age 10 Code",Births
,"Division 1: New England","CENS-D1","2010","2010","42 weeks or more","09",935
,"Division 1: New England","CENS-D1","2011","2011","42 weeks or more","09",796
,"Division 1: New England","CENS-D1","2012","2012","42 weeks or more","09",848
,"Division 1: New England","CENS-D1","2013","2013","42 weeks or more","09",869
,"Division 1: New England","CENS-D1","2014","2014","42 weeks or more","09",909
,"Division 1: New England","CENS-D1","2015","2015","42 weeks or more","09",846
,"Division 1: New England","CENS-D1","2016","2016","42 weeks or more","09",766
,"Division 1: New England","CENS-D1","2017","2017","42 weeks or more","09",660
,"Division 1: New England","CENS-D1","2018","2018","42 weeks or more","09",548
,"Division 1: New England","CENS-D1","2019","2019","42 weeks or more","09",447
,"Division 1: New England","CENS-D1","2020","2020","42 weeks or more","09",386
,"Division 1: New England","CENS-D1","2021","2021","42 weeks or more","09",487
,"Division 1: New England","CENS-D1","2022","2022","42 weeks or more","09",465
,"Division 1: New England","CENS-D1","2023","2023","42 weeks or more","09",403
,"Division 2: Middle Atlantic","CENS-D2","2010","2010","42 weeks or more","09",2314
,"Division 2: Middle Atlantic","CENS-D2","2011","2011","42 weeks or more","09",2238
,"Division 2: Middle Atlantic","CENS-D2","2012","2012","42 weeks or more","09",1979
,"Division 2: Middle Atlantic","CENS-D2","2013","2013","42 weeks or more","09",2049
,"Division 2: Middle Atlantic","CENS-D2","2014","2014","42 weeks or more","09",2066
,"Division 2: Middle Atlantic","CENS-D2","2015","2015","42 weeks or more","09",2029
,"Division 2: Middle Atlantic","CENS-D2","2016","2016","42 weeks or more","09",1804
,"Division 2: Middle Atlantic","CENS-D2","2017","2017","42 weeks or more","09",1736
,"Division 2: Middle Atlantic","CENS-D2","2018","2018","42 weeks or more","09",1603
,"Division 2: Middle Atlantic","CENS-D2","2019","2019","42 weeks or more","09",1395
,"Division 2: Middle Atlantic","CENS-D2","2020","2020","42 weeks or more","09",1240
,"Division 2: Middle Atlantic","CENS-D2","2021","2021","42 weeks or more","09",1228
,"Division 2: Middle Atlantic","CENS-D2","2022","2022","42 weeks or more","09",1297
,"Division 2: Middle Atlantic","CENS-D2","2023","2023","42 weeks or more","09",1221
,"Division 3: East North Central","CENS-D3","2010","2010","42 weeks or more","09",2730
,"Division 3: East North Central","CENS-D3","2011","2011","42 weeks or more","09",2190
,"Division 3: East North Central","CENS-D3","2012","2012","42 weeks or more","09",2072
,"Division 3: East North Central","CENS-D3","2013","2013","42 weeks or more","09",2227
,"Division 3: East North Central","CENS-D3","2014","2014","42 weeks or more","09",2274
,"Division 3: East North Central","CENS-D3","2015","2015","42 weeks or more","09",2127
,"Division 3: East North Central","CENS-D3","2016","2016","42 weeks or more","09",1923
,"Division 3: East North Central","CENS-D3","2017","2017","42 weeks or more","09",1751
,"Division 3: East North Central","CENS-D3","2018","2018","42 weeks or more","09",1603
,"Division 3: East North Central","CENS-D3","2019","2019","42 weeks or more","09",1329
,"Division 3: East North Central","CENS-D3","2020","2020","42 weeks or more","09",1201
,"Division 3: East North Central","CENS-D3","2021","2021","42 weeks or more","09",1211
,"Division 3: East North Central","CENS-D3","2022","2022","42 weeks or more","09",1192
,"Division 3: East North Central","CENS-D3","2023","2023","42 weeks or more","09",1287
,"Division 4: West North Central","CENS-D4","2010","2010","42 weeks or more","09",1375
,"Division 4: West North Central","CENS-D4","2011","2011","42 weeks or more","09",1324
,"Division 4: West North Central","CENS-D4","2012","2012","42 weeks or more","09",1401
,"Division 4: West North Central","CENS-D4","2013","2013","42 weeks or more","09",1366
,"Division 4: West North Central","CENS-D4","2014","2014","42 weeks or more","09",1435
,"Division 4: West North Central","CENS-D4","2015","2015","42 weeks or more","09",1297
,"Division 4: West North Central","CENS-D4","2016","2016","42 weeks or more","09",1240
,"Division 4: West North Central","CENS-D4","2017","2017","42 weeks or more","09",1078
,"Division 4: West North Central","CENS-D4","2018","2018","42 weeks or more","09",1030
,"Division 4: West North Central","CENS-D4","2019","2019","42 weeks or more","09",844
,"Division 4: West North Central","CENS-D4","2020","2020","42 weeks or more","09",805
,"Division 4: West North Central","CENS-D4","2021","2021","42 weeks or more","09",790
,"Division 4: West North Central","CENS-D4","2022","2022","42 weeks or more","09",831
,"Division 4: West North Central","CENS-D4","2023","2023","42 weeks or more","09",817
,"Division 5: South Atlantic","CENS-D5","2010","2010","42 weeks or more","09",2147
,"Division 5: South Atlantic","CENS-D5","2011","2011","42 weeks or more","09",2195
,"Division 5: South Atlantic","CENS-D5","2012","2012","42 weeks or more","09",2005
,"Division 5: South Atlantic","CENS-D5","2013","2013","42 weeks or more","09",2088
,"Division 5: South Atlantic","CENS-D5","2014","2014","42 weeks or more","09",2335
,"Division 5: South Atlantic","CENS-D5","2015","2015","42 weeks or more","09",2272
,"Division 5: South Atlantic","CENS-D5","2016","2016","42 weeks or more","09",2014
,"Division 5: South Atlantic","CENS-D5","2017","2017","42 weeks or more","09",1682
,"Division 5: South Atlantic","CENS-D5","2018","2018","42 weeks or more","09",1578
,"Division 5: South Atlantic","CENS-D5","2019","2019","42 weeks or more","09",1371
,"Division 5: South Atlantic","CENS-D5","2020","2020","42 weeks or more","09",1336
,"Division 5: South Atlantic","CENS-D5","2021","2021","42 weeks or more","09",1444
,"Division 5: South Atlantic","CENS-D5","2022","2022","42 weeks or more","09",1653
,"Division 5: South Atlantic","CENS-D5","2023","2023","42 weeks or more","09",1581
,"Division 6: East South Central","CENS-D6","2010","2010","42 weeks or more","09",577
,"Division 6: East South Central","CENS-D6","2011","2011","42 weeks or more","09",497
,"Division 6: East South Central","CENS-D6","2012","2012","42 weeks or more","09",508
,"Division 6: East South Central","CENS-D6","2013","2013","42 weeks or more","09",469
,"Division 6: East South Central","CENS-D6","2014","2014","42 weeks or more","09",523
,"Division 6: East South Central","CENS-D6","2015","2015","42 weeks or more","09",559
,"Division 6: East South Central","CENS-D6","2016","2016","42 weeks or more","09",478
,"Division 6: East South Central","CENS-D6","2017","2017","42 weeks or more","09",494
,"Division 6: East South Central","CENS-D6","2018","2018","42 weeks or more","09",455
,"Division 6: East South Central","CENS-D6","2019","2019","42 weeks or more","09",403
,"Division 6: East South Central","CENS-D6","2020","2020","42 weeks or more","09",416
,"Division 6: East South Central","CENS-D6","2021","2021","42 weeks or more","09",400
,"Division 6: East South Central","CENS-D6","2022","2022","42 weeks or more","09",459
,"Division 6: East South Central","CENS-D6","2023","2023","42 weeks or more","09",463
,"Division 7: West South Central","CENS-D7","2010","2010","42 weeks or more","09",2569
,"Division 7: West South Central","CENS-D7","2011","2011","42 weeks or more","09",2271
,"Division 7: West South Central","CENS-D7","2012","2012","42 weeks or more","09",2075
,"Division 7: West South Central","CENS-D7","2013","2013","42 weeks or more","09",1872
,"Division 7: West South Central","CENS-D7","2014","2014","42 weeks or more","09",1951
,"Division 7: West South Central","CENS-D7","2015","2015","42 weeks or more","09",1887
,"Division 7: West South Central","CENS-D7","2016","2016","42 weeks or more","09",1592
,"Division 7: West South Central","CENS-D7","2017","2017","42 weeks or more","09",1409
,"Division 7: West South Central","CENS-D7","2018","2018","42 weeks or more","09",1303
,"Division 7: West South Central","CENS-D7","2019","2019","42 weeks or more","09",936
,"Division 7: West South Central","CENS-D7","2020","2020","42 weeks or more","09",1011
,"Division 7: West South Central","CENS-D7","2021","2021","42 weeks or more","09",979
,"Division 7: West South Central","CENS-D7","2022","2022","42 weeks or more","09",1140
,"Division 7: West South Central","CENS-D7","2023","2023","42 weeks or more","09",1134
,"Division 8: Mountain","CENS-D8","2010","2010","42 weeks or more","09",1435
,"Division 8: Mountain","CENS-D8","2011","2011","42 weeks or more","09",1232
,"Division 8: Mountain","CENS-D8","2012","2012","42 weeks or more","09",1146
,"Division 8: Mountain","CENS-D8","2013","2013","42 weeks or more","09",1285
,"Division 8: Mountain","CENS-D8","2014","2014","42 weeks or more","09",1230
,"Division 8: Mountain","CENS-D8","2015","2015","42 weeks or more","09",1187
,"Division 8: Mountain","CENS-D8","2016","2016","42 weeks or more","09",1018
,"Division 8: Mountain","CENS-D8","2017","2017","42 weeks or more","09",939
,"Division 8: Mountain","CENS-D8","2018","2018","42 weeks or more","09",839
,"Division 8: Mountain","CENS-D8","2019","2019","42 weeks or more","09",720
,"Division 8: Mountain","CENS-D8","2020","2020","42 weeks or more","09",677
,"Division 8: Mountain","CENS-D8","2021","2021","42 weeks or more","09",721
,"Division 8: Mountain","CENS-D8","2022","2022","42 weeks or more","09",658
,"Division 8: Mountain","CENS-D8","2023","2023","42 weeks or more","09",764
,"Division 9: Pacific","CENS-D9","2010","2010","42 weeks or more","09",4331
,"Division 9: Pacific","CENS-D9","2011","2011","42 weeks or more","09",4054
,"Division 9: Pacific","CENS-D9","2012","2012","42 weeks or more","09",3832
,"Division 9: Pacific","CENS-D9","2013","2013","42 weeks or more","09",3901
,"Division 9: Pacific","CENS-D9","2014","2014","42 weeks or more","09",3853
,"Division 9: Pacific","CENS-D9","2015","2015","42 weeks or more","09",3509
,"Division 9: Pacific","CENS-D9","2016","2016","42 weeks or more","09",3078
,"Division 9: Pacific","CENS-D9","2017","2017","42 weeks or more","09",2811
,"Division 9: Pacific","CENS-D9","2018","2018","42 weeks or more","09",2359
,"Division 9: Pacific","CENS-D9","2019","2019","42 weeks or more","09",1990
,"Division 9: Pacific","CENS-D9","2020","2020","42 weeks or more","09",1791
,"Division 9: Pacific","CENS-D9","2021","2021","42 weeks or more","09",1719
,"Division 9: Pacific","CENS-D9","2022","2022","42 weeks or more","09",1766
,"Division 9: Pacific","CENS-D9","2023","2023","42 weeks or more","09",1629
