"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"OE Gestational Age 10"	"OE Gestational Age 10 Code"	Births
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Under 20 weeks"	"01"	44
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"20 - 27 weeks"	"02"	926
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"28 - 31 weeks"	"03"	1313
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"32 - 35 weeks"	"04"	6180
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"36 weeks"	"05"	5138
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"37 - 39 weeks"	"06"	83199
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"40 weeks"	"07"	40352
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"41 weeks"	"08"	15384
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"42 weeks or more"	"09"	935
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Unknown or Not Stated"	"10"	346
"Total"	"Division 1: New England"	"CENS-D1"	"2010"	"2010"			153817
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Under 20 weeks"	"01"	66
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"20 - 27 weeks"	"02"	900
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"28 - 31 weeks"	"03"	1302
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"32 - 35 weeks"	"04"	5944
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"36 weeks"	"05"	5149
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"37 - 39 weeks"	"06"	83748
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"40 weeks"	"07"	38371
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"41 weeks"	"08"	15233
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"42 weeks or more"	"09"	796
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Unknown or Not Stated"	"10"	1531
"Total"	"Division 1: New England"	"CENS-D1"	"2011"	"2011"			153040
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Under 20 weeks"	"01"	60
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"20 - 27 weeks"	"02"	909
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"28 - 31 weeks"	"03"	1236
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"32 - 35 weeks"	"04"	6133
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"36 weeks"	"05"	5039
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"37 - 39 weeks"	"06"	84111
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"40 weeks"	"07"	37189
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"41 weeks"	"08"	15230
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"42 weeks or more"	"09"	848
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Unknown or Not Stated"	"10"	308
"Total"	"Division 1: New England"	"CENS-D1"	"2012"	"2012"			151063
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Under 20 weeks"	"01"	45
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"20 - 27 weeks"	"02"	867
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"28 - 31 weeks"	"03"	1247
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"32 - 35 weeks"	"04"	5820
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"36 weeks"	"05"	5139
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"37 - 39 weeks"	"06"	83258
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"40 weeks"	"07"	36672
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"41 weeks"	"08"	15476
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"42 weeks or more"	"09"	869
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Unknown or Not Stated"	"10"	436
"Total"	"Division 1: New England"	"CENS-D1"	"2013"	"2013"			149829
