"Notes","Census Division","Census Division Code","Year","Year Code","Medical Attendant","Medical Attendant Code",Births
,"Division 1: New England","CENS-D1","2010","2010","Doctor of Medicine(MD)","1",123729
,"Division 1: New England","CENS-D1","2011","2011","Doctor of Medicine(MD)","1",122514
,"Division 1: New England","CENS-D1","2012","2012","Doctor of Medicine(MD)","1",120550
,"Division 1: New England","CENS-D1","2013","2013","Doctor of Medicine(MD)","1",117931
,"Division 1: New England","CENS-D1","2014","2014","Doctor of Medicine(MD)","1",117427
,"Division 1: New England","CENS-D1","2015","2015","Doctor of Medicine(MD)","1",115973
,"Division 1: New England","CENS-D1","2016","2016","Doctor of Medicine(MD)","1",114654
,"Division 1: New England","CENS-D1","2017","2017","Doctor of Medicine(MD)","1",112494
,"Division 1: New England","CENS-D1","2018","2018","Doctor of Medicine(MD)","1",109753
,"Division 1: New England","CENS-D1","2019","2019","Doctor of Medicine(MD)","1",107459
,"Division 1: New England","CENS-D1","2020","2020","Doctor of Medicine(MD)","1",103146
,"Division 1: New England","CENS-D1","2021","2021","Doctor of Medicine(MD)","1",107440
,"Division 1: New England","CENS-D1","2022","2022","Doctor of Medicine(MD)","1",105870
,"Division 1: New England","CENS-D1","2023","2023","Doctor of Medicine(MD)","1",101714
,"Division 2: Middle Atlantic","CENS-D2","2010","2010","Doctor of Medicine(MD)","1",409107
,"Division 2: Middle Atlantic","CENS-D2","2011","2011","Doctor of Medicine(MD)","1",404170
,"Division 2: Middle Atlantic","CENS-D2","2012","2012","Doctor of Medicine(MD)","1",400477
,"Division 2: Middle Atlantic","CENS-D2","2013","2013","Doctor of Medicine(MD)","1",391985
,"Division 2: Middle Atlantic","CENS-D2","2014","2014","Doctor of Medicine(MD)","1",388623
,"Division 2: Middle Atlantic","CENS-D2","2015","2015","Doctor of Medicine(MD)","1",380760
,"Division 2: Middle Atlantic","CENS-D2","2016","2016","Doctor of Medicine(MD)","1",374947
,"Division 2: Middle Atlantic","CENS-D2","2017","2017","Doctor of Medicine(MD)","1",368727
,"Division 2: Middle Atlantic","CENS-D2","2018","2018","Doctor of Medicine(MD)","1",363279
,"Division 2: Middle Atlantic","CENS-D2","2019","2019","Doctor of Medicine(MD)","1",354559
,"Division 2: Middle Atlantic","CENS-D2","2020","2020","Doctor of Medicine(MD)","1",337170
,"Division 2: Middle Atlantic","CENS-D2","2021","2021","Doctor of Medicine(MD)","1",335706
,"Division 2: Middle Atlantic","CENS-D2","2022","2022","Doctor of Medicine(MD)","1",327598
,"Division 2: Middle Atlantic","CENS-D2","2023","2023","Doctor of Medicine(MD)","1",316091
,"Division 3: East North Central","CENS-D3","2010","2010","Doctor of Medicine(MD)","1",471319
,"Division 3: East North Central","CENS-D3","2011","2011","Doctor of Medicine(MD)","1",463873
,"Division 3: East North Central","CENS-D3","2012","2012","Doctor of Medicine(MD)","1",459336
,"Division 3: East North Central","CENS-D3","2013","2013","Doctor of Medicine(MD)","1",455884
,"Division 3: East North Central","CENS-D3","2014","2014","Doctor of Medicine(MD)","1",455877
,"Division 3: East North Central","CENS-D3","2015","2015","Doctor of Medicine(MD)","1",451354
,"Division 3: East North Central","CENS-D3","2016","2016","Doctor of Medicine(MD)","1",441547
,"Division 3: East North Central","CENS-D3","2017","2017","Doctor of Medicine(MD)","1",427622
,"Division 3: East North Central","CENS-D3","2018","2018","Doctor of Medicine(MD)","1",416610
,"Division 3: East North Central","CENS-D3","2019","2019","Doctor of Medicine(MD)","1",404781
,"Division 3: East North Central","CENS-D3","2020","2020","Doctor of Medicine(MD)","1",383400
,"Division 3: East North Central","CENS-D3","2021","2021","Doctor of Medicine(MD)","1",372554
,"Division 3: East North Central","CENS-D3","2022","2022","Doctor of Medicine(MD)","1",359752
,"Division 3: East North Central","CENS-D3","2023","2023","Doctor of Medicine(MD)","1",350233
,"Division 4: West North Central","CENS-D4","2010","2010","Doctor of Medicine(MD)","1",226509
,"Division 4: West North Central","CENS-D4","2011","2011","Doctor of Medicine(MD)","1",223038
,"Division 4: West North Central","CENS-D4","2012","2012","Doctor of Medicine(MD)","1",223466
,"Division 4: West North Central","CENS-D4","2013","2013","Doctor of Medicine(MD)","1",221871
,"Division 4: West North Central","CENS-D4","2014","2014","Doctor of Medicine(MD)","1",221765
,"Division 4: West North Central","CENS-D4","2015","2015","Doctor of Medicine(MD)","1",219329
,"Division 4: West North Central","CENS-D4","2016","2016","Doctor of Medicine(MD)","1",215765
,"Division 4: West North Central","CENS-D4","2017","2017","Doctor of Medicine(MD)","1",207734
,"Division 4: West North Central","CENS-D4","2018","2018","Doctor of Medicine(MD)","1",203922
,"Division 4: West North Central","CENS-D4","2019","2019","Doctor of Medicine(MD)","1",199134
,"Division 4: West North Central","CENS-D4","2020","2020","Doctor of Medicine(MD)","1",190185
,"Division 4: West North Central","CENS-D4","2021","2021","Doctor of Medicine(MD)","1",189125
,"Division 4: West North Central","CENS-D4","2022","2022","Doctor of Medicine(MD)","1",184398
,"Division 4: West North Central","CENS-D4","2023","2023","Doctor of Medicine(MD)","1",178265
,"Division 5: South Atlantic","CENS-D5","2010","2010","Doctor of Medicine(MD)","1",640245
,"Division 5: South Atlantic","CENS-D5","2011","2011","Doctor of Medicine(MD)","1",631626
,"Division 5: South Atlantic","CENS-D5","2012","2012","Doctor of Medicine(MD)","1",625801
,"Division 5: South Atlantic","CENS-D5","2013","2013","Doctor of Medicine(MD)","1",621011
,"Division 5: South Atlantic","CENS-D5","2014","2014","Doctor of Medicine(MD)","1",630827
,"Division 5: South Atlantic","CENS-D5","2015","2015","Doctor of Medicine(MD)","1",629952
,"Division 5: South Atlantic","CENS-D5","2016","2016","Doctor of Medicine(MD)","1",625811
,"Division 5: South Atlantic","CENS-D5","2017","2017","Doctor of Medicine(MD)","1",614767
,"Division 5: South Atlantic","CENS-D5","2018","2018","Doctor of Medicine(MD)","1",602057
,"Division 5: South Atlantic","CENS-D5","2019","2019","Doctor of Medicine(MD)","1",590015
,"Division 5: South Atlantic","CENS-D5","2020","2020","Doctor of Medicine(MD)","1",564177
,"Division 5: South Atlantic","CENS-D5","2021","2021","Doctor of Medicine(MD)","1",567913
,"Division 5: South Atlantic","CENS-D5","2022","2022","Doctor of Medicine(MD)","1",572448
,"Division 5: South Atlantic","CENS-D5","2023","2023","Doctor of Medicine(MD)","1",553974
,"Division 6: East South Central","CENS-D6","2010","2010","Doctor of Medicine(MD)","1",218720
,"Division 6: East South Central","CENS-D6","2011","2011","Doctor of Medicine(MD)","1",217233
,"Division 6: East South Central","CENS-D6","2012","2012","Doctor of Medicine(MD)","1",216075
