"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Birthplace"	"Birthplace Code"	Births
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"In Hospital"	"1"	152447
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Freestanding Birth Center"	"2"	397
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Residence"	"4"	947
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Other"	"5"	12
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"In Hospital"	"1"	151536
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Freestanding Birth Center"	"2"	422
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Clinic/Doctor's Office"	"3"	11
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Residence"	"4"	1010
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Other"	"5"	48
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Unknown or Not Stated"	"9"	13
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"In Hospital"	"1"	149491
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Freestanding Birth Center"	"2"	447
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Clinic/Doctor's Office"	"3"	12
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Residence"	"4"	1048
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Other"	"5"	63
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"In Hospital"	"1"	148103
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Freestanding Birth Center"	"2"	509
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Residence"	"4"	1148
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Other"	"5"	57
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"In Hospital"	"1"	148433
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Freestanding Birth Center"	"2"	520
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Residence"	"4"	1116
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Other"	"5"	65
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"In Hospital"	"1"	147385
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Freestanding Birth Center"	"2"	467
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Clinic/Doctor's Office"	"3"	10
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Residence"	"4"	1247
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Other"	"5"	59
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"In Hospital"	"1"	147027
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Freestanding Birth Center"	"2"	467
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Clinic/Doctor's Office"	"3"	19
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Residence"	"4"	1279
