"Notes","Census Division","Census Division Code","Year","Year Code","Medical Attendant","Medical Attendant Code",Births
,"Division 1: New England","CENS-D1","2010","2010","Unknown or not stated","9",54
,"Division 1: New England","CENS-D1","2011","2011","Unknown or not stated","9",667
,"Division 1: New England","CENS-D1","2012","2012","Unknown or not stated","9",59
,"Division 1: New England","CENS-D1","2013","2013","Unknown or not stated","9",124
,"Division 1: New England","CENS-D1","2014","2014","Unknown or not stated","9",87
,"Division 1: New England","CENS-D1","2015","2015","Unknown or not stated","9",63
,"Division 1: New England","CENS-D1","2016","2016","Unknown or not stated","9",26
,"Division 1: New England","CENS-D1","2017","2017","Unknown or not stated","9",36
,"Division 1: New England","CENS-D1","2018","2018","Unknown or not stated","9",32
,"Division 1: New England","CENS-D1","2019","2019","Unknown or not stated","9",34
,"Division 1: New England","CENS-D1","2020","2020","Unknown or not stated","9",24
,"Division 1: New England","CENS-D1","2021","2021","Unknown or not stated","9",32
,"Division 1: New England","CENS-D1","2022","2022","Unknown or not stated","9",35
,"Division 1: New England","CENS-D1","2023","2023","Unknown or not stated","9",15
,"Division 2: Middle Atlantic","CENS-D2","2010","2010","Unknown or not stated","9",166
,"Division 2: Middle Atlantic","CENS-D2","2011","2011","Unknown or not stated","9",283
,"Division 2: Middle Atlantic","CENS-D2","2012","2012","Unknown or not stated","9",195
,"Division 2: Middle Atlantic","CENS-D2","2013","2013","Unknown or not stated","9",144
,"Division 2: Middle Atlantic","CENS-D2","2014","2014","Unknown or not stated","9",168
,"Division 2: Middle Atlantic","CENS-D2","2015","2015","Unknown or not stated","9",181
,"Division 2: Middle Atlantic","CENS-D2","2016","2016","Unknown or not stated","9",243
,"Division 2: Middle Atlantic","CENS-D2","2017","2017","Unknown or not stated","9",173
,"Division 2: Middle Atlantic","CENS-D2","2018","2018","Unknown or not stated","9",177
,"Division 2: Middle Atlantic","CENS-D2","2019","2019","Unknown or not stated","9",196
,"Division 2: Middle Atlantic","CENS-D2","2020","2020","Unknown or not stated","9",212
,"Division 2: Middle Atlantic","CENS-D2","2021","2021","Unknown or not stated","9",216
,"Division 2: Middle Atlantic","CENS-D2","2022","2022","Unknown or not stated","9",198
,"Division 2: Middle Atlantic","CENS-D2","2023","2023","Unknown or not stated","9",197
,"Division 3: East North Central","CENS-D3","2010","2010","Unknown or not stated","9",91
,"Division 3: East North Central","CENS-D3","2011","2011","Unknown or not stated","9",921
,"Division 3: East North Central","CENS-D3","2012","2012","Unknown or not stated","9",260
,"Division 3: East North Central","CENS-D3","2013","2013","Unknown or not stated","9",140
,"Division 3: East North Central","CENS-D3","2014","2014","Unknown or not stated","9",116
,"Division 3: East North Central","CENS-D3","2015","2015","Unknown or not stated","9",124
,"Division 3: East North Central","CENS-D3","2016","2016","Unknown or not stated","9",147
,"Division 3: East North Central","CENS-D3","2017","2017","Unknown or not stated","9",168
