"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Medical Attendant"	"Medical Attendant Code"	Births
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Doctor of Medicine(MD)"	"1"	123729
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Doctor of Osteopathy(DO)"	"2"	7475
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Certified Nurse Midwife(CNM/CM)"	"3"	21551
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Other Midwife"	"4"	683
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Other"	"5"	325
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Unknown or not stated"	"9"	54
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Not Reported"	"100"	0
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Doctor of Medicine(MD)"	"1"	122514
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Doctor of Osteopathy(DO)"	"2"	7500
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Certified Nurse Midwife(CNM/CM)"	"3"	20825
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Other Midwife"	"4"	1239
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Other"	"5"	295
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Unknown or not stated"	"9"	667
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Not Reported"	"100"	0
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Doctor of Medicine(MD)"	"1"	120550
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Doctor of Osteopathy(DO)"	"2"	7630
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Certified Nurse Midwife(CNM/CM)"	"3"	20826
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Other Midwife"	"4"	1643
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Other"	"5"	355
