"Notes","Census Division","Census Division Code","Year","Year Code","Delivery Method","Delivery Method Code",Births
,"Division 1: New England","CENS-D1","2010","2010","Cesarean","2",50444
,"Division 1: New England","CENS-D1","2011","2011","Cesarean","2",49828
,"Division 1: New England","CENS-D1","2012","2012","Cesarean","2",48319
,"Division 1: New England","CENS-D1","2013","2013","Cesarean","2",47583
,"Division 1: New England","CENS-D1","2014","2014","Cesarean","2",47363
,"Division 1: New England","CENS-D1","2015","2015","Cesarean","2",46930
,"Division 1: New England","CENS-D1","2016","2016","Cesarean","2",47246
,"Division 1: New England","CENS-D1","2017","2017","Cesarean","2",46790
,"Division 1: New England","CENS-D1","2018","2018","Cesarean","2",46134
,"Division 1: New England","CENS-D1","2019","2019","Cesarean","2",45459
,"Division 1: New England","CENS-D1","2020","2020","Cesarean","2",44817
,"Division 1: New England","CENS-D1","2021","2021","Cesarean","2",47169
,"Division 1: New England","CENS-D1","2022","2022","Cesarean","2",47861
,"Division 1: New England","CENS-D1","2023","2023","Cesarean","2",46666
,"Division 2: Middle Atlantic","CENS-D2","2010","2010","Cesarean","2",170340
,"Division 2: Middle Atlantic","CENS-D2","2011","2011","Cesarean","2",168333
,"Division 2: Middle Atlantic","CENS-D2","2012","2012","Cesarean","2",167141
,"Division 2: Middle Atlantic","CENS-D2","2013","2013","Cesarean","2",164287
,"Division 2: Middle Atlantic","CENS-D2","2014","2014","Cesarean","2",162228
,"Division 2: Middle Atlantic","CENS-D2","2015","2015","Cesarean","2",160327
,"Division 2: Middle Atlantic","CENS-D2","2016","2016","Cesarean","2",157723
,"Division 2: Middle Atlantic","CENS-D2","2017","2017","Cesarean","2",156504
,"Division 2: Middle Atlantic","CENS-D2","2018","2018","Cesarean","2",152650
,"Division 2: Middle Atlantic","CENS-D2","2019","2019","Cesarean","2",147569
,"Division 2: Middle Atlantic","CENS-D2","2020","2020","Cesarean","2",142780
,"Division 2: Middle Atlantic","CENS-D2","2021","2021","Cesarean","2",145629
,"Division 2: Middle Atlantic","CENS-D2","2022","2022","Cesarean","2",144616
,"Division 2: Middle Atlantic","CENS-D2","2023","2023","Cesarean","2",141977
,"Division 3: East North Central","CENS-D3","2010","2010","Cesarean","2",174716
,"Division 3: East North Central","CENS-D3","2011","2011","Cesarean","2",174373
,"Division 3: East North Central","CENS-D3","2012","2012","Cesarean","2",173658
,"Division 3: East North Central","CENS-D3","2013","2013","Cesarean","2",172542
,"Division 3: East North Central","CENS-D3","2014","2014","Cesarean","2",172551
,"Division 3: East North Central","CENS-D3","2015","2015","Cesarean","2",169842
,"Division 3: East North Central","CENS-D3","2016","2016","Cesarean","2",168784
,"Division 3: East North Central","CENS-D3","2017","2017","Cesarean","2",164986
,"Division 3: East North Central","CENS-D3","2018","2018","Cesarean","2",163428
