"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Delivery Method"	"Delivery Method Code"	Births
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Vaginal"	"1"	102847
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Cesarean"	"2"	50444
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Unknown or Not Stated"	"9"	526
"Total"	"Division 1: New England"	"CENS-D1"	"2010"	"2010"			153817
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Vaginal"	"1"	101700
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Cesarean"	"2"	49828
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Unknown or Not Stated"	"9"	1512
"Total"	"Division 1: New England"	"CENS-D1"	"2011"	"2011"			153040
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Vaginal"	"1"	102307
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Cesarean"	"2"	48319
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Unknown or Not Stated"	"9"	437
"Total"	"Division 1: New England"	"CENS-D1"	"2012"	"2012"			151063
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Vaginal"	"1"	101725
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Cesarean"	"2"	47583
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Unknown or Not Stated"	"9"	521
"Total"	"Division 1: New England"	"CENS-D1"	"2013"	"2013"			149829
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Vaginal"	"1"	102294
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Cesarean"	"2"	47363
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Unknown or Not Stated"	"9"	489
"Total"	"Division 1: New England"	"CENS-D1"	"2014"	"2014"			150146
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Vaginal"	"1"	101923
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Cesarean"	"2"	46930
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Unknown or Not Stated"	"9"	321
"Total"	"Division 1: New England"	"CENS-D1"	"2015"	"2015"			149174
