"Notes","Census Division","Census Division Code","Year","Year Code","Marital Status","Marital Status Code",Births
,"Division 1: New England","CENS-D1","2010","2010","Unmarried","2",56457
,"Division 1: New England","CENS-D1","2011","2011","Unmarried","2",56559
,"Division 1: New England","CENS-D1","2012","2012","Unmarried","2",55866
,"Division 1: New England","CENS-D1","2013","2013","Unmarried","2",54494
,"Division 1: New England","CENS-D1","2014","2014","Unmarried","2",54071
,"Division 1: New England","CENS-D1","2015","2015","Unmarried","2",53979
,"Division 1: New England","CENS-D1","2016","2016","Unmarried","2",53116
,"Division 1: New England","CENS-D1","2017","2017","Unmarried","2",51910
,"Division 1: New England","CENS-D1","2018","2018","Unmarried","2",50732
,"Division 1: New England","CENS-D1","2019","2019","Unmarried","2",49905
,"Division 1: New England","CENS-D1","2020","2020","Unmarried","2",49384
,"Division 1: New England","CENS-D1","2021","2021","Unmarried","2",50840
,"Division 1: New England","CENS-D1","2022","2022","Unmarried","2",49814
,"Division 1: New England","CENS-D1","2023","2023","Unmarried","2",49345
,"Division 2: Middle Atlantic","CENS-D2","2010","2010","Unmarried","2",199115
,"Division 2: Middle Atlantic","CENS-D2","2011","2011","Unmarried","2",197016
,"Division 2: Middle Atlantic","CENS-D2","2012","2012","Unmarried","2",195719
,"Division 2: Middle Atlantic","CENS-D2","2013","2013","Unmarried","2",190331
,"Division 2: Middle Atlantic","CENS-D2","2014","2014","Unmarried","2",189687
,"Division 2: Middle Atlantic","CENS-D2","2015","2015","Unmarried","2",188030
,"Division 2: Middle Atlantic","CENS-D2","2016","2016","Unmarried","2",182324
,"Division 2: Middle Atlantic","CENS-D2","2017","2017","Unmarried","2",178019
,"Division 2: Middle Atlantic","CENS-D2","2018","2018","Unmarried","2",174295
,"Division 2: Middle Atlantic","CENS-D2","2019","2019","Unmarried","2",171317
,"Division 2: Middle Atlantic","CENS-D2","2020","2020","Unmarried","2",166519
,"Division 2: Middle Atlantic","CENS-D2","2021","2021","Unmarried","2",166823
,"Division 2: Middle Atlantic","CENS-D2","2022","2022","Unmarried","2",163776
,"Division 2: Middle Atlantic","CENS-D2","2023","2023","Unmarried","2",159937
,"Division 3: East North Central","CENS-D3","2010","2010","Unmarried","2",236990
,"Division 3: East North Central","CENS-D3","2011","2011","Unmarried","2",233374
,"Division 3: East North Central","CENS-D3","2012","2012","Unmarried","2",233874
,"Division 3: East North Central","CENS-D3","2013","2013","Unmarried","2",232873
,"Division 3: East North Central","CENS-D3","2014","2014","Unmarried","2",233812
,"Division 3: East North Central","CENS-D3","2015","2015","Unmarried","2",233266
,"Division 3: East North Central","CENS-D3","2016","2016","Unmarried","2",227371
,"Division 3: East North Central","CENS-D3","2017","2017","Unmarried","2",223927
,"Division 3: East North Central","CENS-D3","2018","2018","Unmarried","2",219434
,"Division 3: East North Central","CENS-D3","2019","2019","Unmarried","2",217137
,"Division 3: East North Central","CENS-D3","2020","2020","Unmarried","2",210467
,"Division 3: East North Central","CENS-D3","2021","2021","Unmarried","2",206918
,"Division 3: East North Central","CENS-D3","2022","2022","Unmarried","2",201133
,"Division 3: East North Central","CENS-D3","2023","2023","Unmarried","2",197673
,"Division 4: West North Central","CENS-D4","2010","2010","Unmarried","2",98302
,"Division 4: West North Central","CENS-D4","2011","2011","Unmarried","2",96952
,"Division 4: West North Central","CENS-D4","2012","2012","Unmarried","2",97939
,"Division 4: West North Central","CENS-D4","2013","2013","Unmarried","2",97457
,"Division 4: West North Central","CENS-D4","2014","2014","Unmarried","2",98301
,"Division 4: West North Central","CENS-D4","2015","2015","Unmarried","2",97827
,"Division 4: West North Central","CENS-D4","2016","2016","Unmarried","2",96445
,"Division 4: West North Central","CENS-D4","2017","2017","Unmarried","2",94176
,"Division 4: West North Central","CENS-D4","2018","2018","Unmarried","2",93323
,"Division 4: West North Central","CENS-D4","2019","2019","Unmarried","2",92163
,"Division 4: West North Central","CENS-D4","2020","2020","Unmarried","2",90354
,"Division 4: West North Central","CENS-D4","2021","2021","Unmarried","2",89275
,"Division 4: West North Central","CENS-D4","2022","2022","Unmarried","2",88063
,"Division 4: West North Central","CENS-D4","2023","2023","Unmarried","2",86785
,"Division 5: South Atlantic","CENS-D5","2010","2010","Unmarried","2",329221
,"Division 5: South Atlantic","CENS-D5","2011","2011","Unmarried","2",324013
,"Division 5: South Atlantic","CENS-D5","2012","2012","Unmarried","2",322937
,"Division 5: South Atlantic","CENS-D5","2013","2013","Unmarried","2",321656
,"Division 5: South Atlantic","CENS-D5","2014","2014","Unmarried","2",325108
,"Division 5: South Atlantic","CENS-D5","2015","2015","Unmarried","2",326750
,"Division 5: South Atlantic","CENS-D5","2016","2016","Unmarried","2",320981
,"Division 5: South Atlantic","CENS-D5","2017","2017","Unmarried","2",319925
,"Division 5: South Atlantic","CENS-D5","2018","2018","Unmarried","2",314676
,"Division 5: South Atlantic","CENS-D5","2019","2019","Unmarried","2",316399
