"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Marital Status"	"Marital Status Code"	Births
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Married"	"1"	97360
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Unmarried"	"2"	56457
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Unknown or Not Stated"	"9"	0
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Not Reported"	"NR"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2010"	"2010"			153817
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Married"	"1"	96481
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Unmarried"	"2"	56559
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Unknown or Not Stated"	"9"	0
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Not Reported"	"NR"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2011"	"2011"			153040
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Married"	"1"	95197
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Unmarried"	"2"	55866
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Unknown or Not Stated"	"9"	0
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Not Reported"	"NR"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2012"	"2012"			151063
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Married"	"1"	95335
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Unmarried"	"2"	54494
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Unknown or Not Stated"	"9"	0
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Not Reported"	"NR"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2013"	"2013"			149829
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Married"	"1"	96075
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Unmarried"	"2"	54071
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Unknown or Not Stated"	"9"	0
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Not Reported"	"NR"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2014"	"2014"			150146
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Married"	"1"	95195
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Unmarried"	"2"	53979
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Unknown or Not Stated"	"9"	0
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Not Reported"	"NR"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2015"	"2015"			149174
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Married"	"1"	95742
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Unmarried"	"2"	53116
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Unknown or Not Stated"	"9"	0
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Not Reported"	"NR"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"			148858
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Married"	"1"	94704
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Unmarried"	"2"	51910
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Unknown or Not Stated"	"9"	0
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Not Reported"	"NR"	16
"Total"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"			146630
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Married"	"1"	93325
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Unmarried"	"2"	50732
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Unknown or Not Stated"	"9"	0
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Not Reported"	"NR"	21
"Total"	"Division 1: New England"	"CENS-D1"	"2018"	"2018"			144078
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"Married"	"1"	92610
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"Unmarried"	"2"	49905
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"Unknown or Not Stated"	"9"	0
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"Not Reported"	"NR"	14
"Total"	"Division 1: New England"	"CENS-D1"	"2019"	"2019"			142529
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Married"	"1"	89047
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Unmarried"	"2"	49384
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Unknown or Not Stated"	"9"	0
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Not Reported"	"NR"	21
"Total"	"Division 1: New England"	"CENS-D1"	"2020"	"2020"			138452
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Married"	"1"	94417
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Unmarried"	"2"	50840
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Unknown or Not Stated"	"9"	0
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Not Reported"	"NR"	29
"Total"	"Division 1: New England"	"CENS-D1"	"2021"	"2021"			145286
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"Married"	"1"	93826
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"Unmarried"	"2"	49814
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"Unknown or Not Stated"	"9"	0
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"Not Reported"	"NR"	31
"Total"	"Division 1: New England"	"CENS-D1"	"2022"	"2022"			143671
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Married"	"1"	90719
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Unmarried"	"2"	49345
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Unknown or Not Stated"	"9"	0
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Not Reported"	"NR"	21
"Total"	"Division 1: New England"	"CENS-D1"	"2023"	"2023"			140085
"Total"	"Division 1: New England"	"CENS-D1"					2056658
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Married"	"1"	295503
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Unmarried"	"2"	199115
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Unknown or Not Stated"	"9"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Not Reported"	"NR"	0
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"			494618
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"Married"	"1"	293357
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"Unmarried"	"2"	197016
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"Unknown or Not Stated"	"9"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"Not Reported"	"NR"	0
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"			490373
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"Married"	"1"	291941
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"Unmarried"	"2"	195719
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"Unknown or Not Stated"	"9"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"Not Reported"	"NR"	0
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"			487660
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"Married"	"1"	290145
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"Unmarried"	"2"	190331
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"Unknown or Not Stated"	"9"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"Not Reported"	"NR"	0
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"			480476
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"Married"	"1"	294659
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"Unmarried"	"2"	189687
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"Unknown or Not Stated"	"9"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"Not Reported"	"NR"	0
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"			484346
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"Married"	"1"	293418
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"Unmarried"	"2"	188030
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"Unknown or Not Stated"	"9"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"Not Reported"	"NR"	0
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"			481448
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"Married"	"1"	294015
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"Unmarried"	"2"	182324
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"Unknown or Not Stated"	"9"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"Not Reported"	"NR"	0
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"			476339
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"Married"	"1"	290653
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"Unmarried"	"2"	178019
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"Unknown or Not Stated"	"9"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"Not Reported"	"NR"	60
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"			468732
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"Married"	"1"	288766
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"Unmarried"	"2"	174295
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"Unknown or Not Stated"	"9"	0
