"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Month Prenatal Care Began"	"Month Prenatal Care Began Code"	Births
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"No prenatal care"	"00"	64
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"1st month"	"01"	364
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"2nd month"	"02"	7388
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"3rd month"	"03"	6917
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"4th month"	"04"	1467
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"5th month"	"05"	600
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"6th month"	"06"	355
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"7th month"	"07"	254
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"8th month"	"08"	155
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"9th month"	"09"	53
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Unknown or Not Stated"	"99"	1474
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Not Reported"	"98"	134720
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"No prenatal care"	"00"	101
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"1st month"	"01"	393
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"2nd month"	"02"	7688
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"3rd month"	"03"	7111
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"4th month"	"04"	1574
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"5th month"	"05"	656
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"6th month"	"06"	402
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"7th month"	"07"	244
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"8th month"	"08"	192
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"9th month"	"09"	72
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Unknown or Not Stated"	"99"	487
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Not Reported"	"98"	134111
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"No prenatal care"	"00"	327
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"1st month"	"01"	2473
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"2nd month"	"02"	31004
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"3rd month"	"03"	38796
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"4th month"	"04"	8120
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"5th month"	"05"	2886
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"6th month"	"06"	1646
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"7th month"	"07"	1116
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"8th month"	"08"	955
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"9th month"	"09"	441
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"10th month"	"10"	50
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Unknown or Not Stated"	"99"	2986
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Not Reported"	"98"	60263
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"No prenatal care"	"00"	289
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"1st month"	"01"	2503
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"2nd month"	"02"	29304
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"3rd month"	"03"	38616
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"4th month"	"04"	7165
