"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Mother's Single Race"	"Mother's Single Race Code"	Births
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"American Indian or Alaska Native"	"1002-5"	Missing Race
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Asian"	"A"	Missing Race
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Black or African American"	"2054-5"	Missing Race
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	Missing Race
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"White"	"2106-3"	Missing Race
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"More than one race"	"M"	Missing Race
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Unknown or Not Stated"	"UNK"	0
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Not Available"	"NA"	153817
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Not Reported"	"NR"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2010"	"2010"			153817
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"American Indian or Alaska Native"	"1002-5"	Missing Race
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Asian"	"A"	Missing Race
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Black or African American"	"2054-5"	Missing Race
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	Missing Race
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"White"	"2106-3"	Missing Race
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"More than one race"	"M"	Missing Race
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Unknown or Not Stated"	"UNK"	0
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Not Available"	"NA"	153040
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Not Reported"	"NR"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2011"	"2011"			153040
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"American Indian or Alaska Native"	"1002-5"	Missing Race
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Asian"	"A"	Missing Race
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Black or African American"	"2054-5"	Missing Race
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	Missing Race
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"White"	"2106-3"	Missing Race
