Division,Year,Births,ChronicHypertensionBirths,DiabetesBirths,EnclampsiaBirths,Pregnancy-AssociatedHypertensionBirths,TobaccoUseBirths,HospitalBirths,BirthCenterBirths,ResidenceBirths,MD_Delivery,DO_Delivery,CNM_Delivery,OtherMidwife_Delivery,Other_Delivery,Unknown_Delivery_Attendant,Vaginal_Delivery,Cesarean_Delivery,Married,Unmarried,NoPrenatalCare,1stMonthInitialCare,2ndMonthInitialCare,3rdMonthInitialCare,4thMonthInitialCare,5thMonthInitialCare,6thMonthInitialCare,7thMonthInitialCare,8thMonthInitialCare,9thMonthInitialCare,UnknownInitialCare,NotReportedInitialCare,Under20Weeks,20-27Weeks,28-31Weeks,32-35Weeks,36Weeks,37-39Weeks,40Weeks,41Weeks,42PlusWeeks
New England,2010,153817,2484.0,8737.0,1291.0,6224.0,2905,152447.0,397.0,947,123729,7475,21551,683,325.0,54.0,102847.0,50444.0,97360.0,56457.0,64.0,364,7388.0,6917,1467.0,600,355.0,254,155,53.0,1474.0,134720,44.0,926.0,1313.0,6180.0,5138,83199,40352,15384.0,935.0
New England,2011,153040,2522.0,9307.0,641.0,5682.0,2844,151536.0,422.0,1010,122514,7500,20825,1239,295.0,667.0,101700.0,49828.0,96481.0,56559.0,101.0,393,7688.0,7111,1574.0,656,402.0,244,192,72.0,487.0,134111,66.0,900.0,1302.0,5944.0,5149,83748,38371,15233.0,796.0
New England,2012,151063,2474.0,9794.0,516.0,5888.0,8002,149491.0,447.0,1048,120550,7630,20826,1643,355.0,59.0,102307.0,48319.0,95197.0,55866.0,327.0,2473,31004.0,38796,8120.0,2886,1646.0,1116,955,441.0,2986.0,60263,60.0,909.0,1236.0,6133.0,5039,84111,37189,15230.0,848.0
New England,2013,149829,2407.0,9549.0,180.0,5815.0,7615,148103.0,509.0,1148,117931,8115,21947,1376,336.0,124.0,101725.0,47583.0,95335.0,54494.0,289.0,2503,29304.0,38616,7165.0,2833,1697.0,1202,1002,483.0,5022.0,59670,45.0,867.0,1247.0,5820.0,5139,83258,36672,15476.0,869.0
New England,2014,150146,2604.0,9587.0,299.0,6328.0,9190,148433.0,520.0,1116,117427,8572,22452,1181,427.0,87.0,102294.0,47363.0,96075.0,54071.0,467.0,3653,45002.0,35994,6497.0,2902,1879.0,1566,1150,487.0,3431.0,47108,43.0,866.0,1226.0,5991.0,4889,83424,36491,16056.0,909.0
New England,2015,149174,2613.0,10228.0,233.0,6769.0,9307,147385.0,467.0,1247,115973,8916,22781,1094,347.0,63.0,101923.0,46930.0,95195.0,53979.0,608.0,5012,48483.0,40560,7149.0,3107,2043.0,1682,1273,494.0,3008.0,35746,45.0,843.0,1274.0,5734.0,4868,84159,35622,15649.0,846.0
New England,2016,148858,2757.0,10015.0,250.0,8039.0,10236,147027.0,467.0,1279,114654,9400,23347,992,439.0,26.0,101172.0,47246.0,95742.0,53116.0,744.0,4525,64498.0,54446,9640.0,4334,2691.0,2227,1898,647.0,3199.0,0,58.0,785.0,1173.0,5812.0,5223,84458,34773,15459.0,766.0
New England,2017,146630,2935.0,11005.0,242.0,8691.0,9409,144901.0,437.0,1196,112494,9988,22772,934,406.0,36.0,99714.0,46790.0,94704.0,51910.0,724.0,3812,63613.0,53464,10053.0,4593,2865.0,2619,1773,670.0,2428.0,0,35.0,778.0,1210.0,5776.0,5194,84252,33643,14961.0,660.0
New England,2018,144078,3180.0,11466.0,284.0,9331.0,8330,142425.0,364.0,1163,109753,10386,22581,889,437.0,32.0,97845.0,46134.0,93325.0,50732.0,648.0,3514,61577.0,54643,9707.0,4463,2844.0,2449,1874,653.0,1693.0,0,35.0,746.0,1158.0,5881.0,5057,84195,32410,13955.0,548.0
New England,2019,142529,3120.0,11706.0,306.0,10088.0,7566,140891.0,372.0,1170,107459,10616,23259,750,411.0,34.0,96901.0,45459.0,92610.0,49905.0,663.0,3503,62296.0,53477,9514.0,4024,2661.0,2197,1793,637.0,1750.0,0,36.0,744.0,1137.0,5740.0,5200,86254,30649,12132.0,447.0
New England,2020,138452,3865.0,12316.0,289.0,10811.0,6754,136485.0,401.0,1487,103146,10563,23334,896,489.0,24.0,93365.0,44817.0,89047.0,49384.0,546.0,3421,59623.0,53357,9422.0,4047,2445.0,2018,1555,525.0,1483.0,0,39.0,668.0,1035.0,5612.0,4859,84772,29322,11460.0,386.0
New England,2021,145286,4658.0,13980.0,441.0,12252.0,5577,143059.0,548.0,1586,107440,11203,25147,942,522.0,32.0,97391.0,47169.0,94417.0,50840.0,690.0,3859,58543.0,59902,9934.0,3993,2436.0,2092,1524,574.0,1730.0,0,32.0,714.0,1138.0,6113.0,5245,90621,29455,10915.0,487.0
New England,2022,143671,5054.0,13587.0,255.0,12691.0,4474,141425.0,492.0,1659,105870,11291,24863,996,616.0,35.0,95576.0,47861.0,93826.0,49814.0,894.0,4170,55097.0,59215,10181.0,4627,2924.0,2453,1815,756.0,1522.0,0,28.0,688.0,1049.0,6075.0,5259,90498,28813,10568.0,465.0
New England,2023,140085,5451.0,13618.0,224.0,12955.0,3512,137978.0,418.0,1593,101714,11720,25075,819,742.0,15.0,93183.0,46666.0,90719.0,49345.0,1138.0,3342,53921.0,57853,10561.0,4231,2810.0,2369,1879,746.0,1219.0,0,36.0,615.0,1129.0,5849.0,5083,89360,27467,9887.0,403.0
Middle Atlantic,2010,494618,7050.0,27573.0,301.0,17131.0,37276,487464.0,1902.0,4822,409107,34151,46732,1946,2516.0,166.0,322001.0,170340.0,295503.0,199115.0,3946.0,11240,118473.0,142892,44622.0,20486,12385.0,8949,6441,3026.0,14897.0,106922,182.0,3420.0,4809.0,21278.0,17637,284151,121795,37478.0,2314.0
