"Notes","Census Division","Census Division Code","Year","Year Code","Chronic Hypertension","Chronic Hypertension Code",Births
,"Division 1: New England","CENS-D1","2010","2010","Yes","1",2484
,"Division 1: New England","CENS-D1","2011","2011","Yes","1",2522
,"Division 1: New England","CENS-D1","2012","2012","Yes","1",2474
,"Division 1: New England","CENS-D1","2013","2013","Yes","1",2407
,"Division 1: New England","CENS-D1","2014","2014","Yes","1",2604
,"Division 1: New England","CENS-D1","2015","2015","Yes","1",2613
,"Division 1: New England","CENS-D1","2016","2016","Yes","1",2757
,"Division 1: New England","CENS-D1","2017","2017","Yes","1",2935
,"Division 1: New England","CENS-D1","2018","2018","Yes","1",3180
,"Division 1: New England","CENS-D1","2019","2019","Yes","1",3120
,"Division 1: New England","CENS-D1","2020","2020","Yes","1",3865
,"Division 1: New England","CENS-D1","2021","2021","Yes","1",4658
,"Division 1: New England","CENS-D1","2022","2022","Yes","1",5054
,"Division 1: New England","CENS-D1","2023","2023","Yes","1",5451
,"Division 2: Middle Atlantic","CENS-D2","2010","2010","Yes","1",7050
,"Division 2: Middle Atlantic","CENS-D2","2011","2011","Yes","1",7404
,"Division 2: Middle Atlantic","CENS-D2","2012","2012","Yes","1",7383
,"Division 2: Middle Atlantic","CENS-D2","2013","2013","Yes","1",7423
,"Division 2: Middle Atlantic","CENS-D2","2014","2014","Yes","1",7978
,"Division 2: Middle Atlantic","CENS-D2","2015","2015","Yes","1",8261
,"Division 2: Middle Atlantic","CENS-D2","2016","2016","Yes","1",8770
,"Division 2: Middle Atlantic","CENS-D2","2017","2017","Yes","1",9034
,"Division 2: Middle Atlantic","CENS-D2","2018","2018","Yes","1",9676
,"Division 2: Middle Atlantic","CENS-D2","2019","2019","Yes","1",10064
,"Division 2: Middle Atlantic","CENS-D2","2020","2020","Yes","1",11352
,"Division 2: Middle Atlantic","CENS-D2","2021","2021","Yes","1",12348
,"Division 2: Middle Atlantic","CENS-D2","2022","2022","Yes","1",13010
,"Division 2: Middle Atlantic","CENS-D2","2023","2023","Yes","1",13426
,"Division 3: East North Central","CENS-D3","2010","2010","Yes","1",8655
,"Division 3: East North Central","CENS-D3","2011","2011","Yes","1",9202
,"Division 3: East North Central","CENS-D3","2012","2012","Yes","1",9336
,"Division 3: East North Central","CENS-D3","2013","2013","Yes","1",9815
,"Division 3: East North Central","CENS-D3","2014","2014","Yes","1",10277
,"Division 3: East North Central","CENS-D3","2015","2015","Yes","1",10752
,"Division 3: East North Central","CENS-D3","2016","2016","Yes","1",11633
,"Division 3: East North Central","CENS-D3","2017","2017","Yes","1",12382
,"Division 3: East North Central","CENS-D3","2018","2018","Yes","1",13158
,"Division 3: East North Central","CENS-D3","2019","2019","Yes","1",14262
,"Division 3: East North Central","CENS-D3","2020","2020","Yes","1",15030
,"Division 3: East North Central","CENS-D3","2021","2021","Yes","1",16720
,"Division 3: East North Central","CENS-D3","2022","2022","Yes","1",17258
,"Division 3: East North Central","CENS-D3","2023","2023","Yes","1",18132
,"Division 4: West North Central","CENS-D4","2010","2010","Yes","1",3316
,"Division 4: West North Central","CENS-D4","2011","2011","Yes","1",3368
,"Division 4: West North Central","CENS-D4","2012","2012","Yes","1",3864
,"Division 4: West North Central","CENS-D4","2013","2013","Yes","1",4028
,"Division 4: West North Central","CENS-D4","2014","2014","Yes","1",4082
,"Division 4: West North Central","CENS-D4","2015","2015","Yes","1",4273
,"Division 4: West North Central","CENS-D4","2016","2016","Yes","1",4494
,"Division 4: West North Central","CENS-D4","2017","2017","Yes","1",4909
,"Division 4: West North Central","CENS-D4","2018","2018","Yes","1",5353
,"Division 4: West North Central","CENS-D4","2019","2019","Yes","1",6008
,"Division 4: West North Central","CENS-D4","2020","2020","Yes","1",6602
,"Division 4: West North Central","CENS-D4","2021","2021","Yes","1",7266
,"Division 4: West North Central","CENS-D4","2022","2022","Yes","1",7739
,"Division 4: West North Central","CENS-D4","2023","2023","Yes","1",8363
,"Division 5: South Atlantic","CENS-D5","2010","2010","Yes","1",13003
,"Division 5: South Atlantic","CENS-D5","2011","2011","Yes","1",12858
,"Division 5: South Atlantic","CENS-D5","2012","2012","Yes","1",13131
,"Division 5: South Atlantic","CENS-D5","2013","2013","Yes","1",13381
,"Division 5: South Atlantic","CENS-D5","2014","2014","Yes","1",13674
,"Division 5: South Atlantic","CENS-D5","2015","2015","Yes","1",14482
,"Division 5: South Atlantic","CENS-D5","2016","2016","Yes","1",15355
,"Division 5: South Atlantic","CENS-D5","2017","2017","Yes","1",15926
,"Division 5: South Atlantic","CENS-D5","2018","2018","Yes","1",17181
,"Division 5: South Atlantic","CENS-D5","2019","2019","Yes","1",18399
,"Division 5: South Atlantic","CENS-D5","2020","2020","Yes","1",20726
,"Division 5: South Atlantic","CENS-D5","2021","2021","Yes","1",21327
,"Division 5: South Atlantic","CENS-D5","2022","2022","Yes","1",23464
,"Division 5: South Atlantic","CENS-D5","2023","2023","Yes","1",24867
,"Division 6: East South Central","CENS-D6","2010","2010","Yes","1",5047
,"Division 6: East South Central","CENS-D6","2011","2011","Yes","1",5442
,"Division 6: East South Central","CENS-D6","2012","2012","Yes","1",5585
,"Division 6: East South Central","CENS-D6","2013","2013","Yes","1",5703
,"Division 6: East South Central","CENS-D6","2014","2014","Yes","1",5976
,"Division 6: East South Central","CENS-D6","2015","2015","Yes","1",5763
,"Division 6: East South Central","CENS-D6","2016","2016","Yes","1",5989
,"Division 6: East South Central","CENS-D6","2017","2017","Yes","1",6814
,"Division 6: East South Central","CENS-D6","2018","2018","Yes","1",7141
,"Division 6: East South Central","CENS-D6","2019","2019","Yes","1",7757
,"Division 6: East South Central","CENS-D6","2020","2020","Yes","1",8030
,"Division 6: East South Central","CENS-D6","2021","2021","Yes","1",9066
,"Division 6: East South Central","CENS-D6","2022","2022","Yes","1",9732
,"Division 6: East South Central","CENS-D6","2023","2023","Yes","1",10067
,"Division 7: West South Central","CENS-D7","2010","2010","Yes","1",6526
,"Division 7: West South Central","CENS-D7","2011","2011","Yes","1",7382
,"Division 7: West South Central","CENS-D7","2012","2012","Yes","1",7242
,"Division 7: West South Central","CENS-D7","2013","2013","Yes","1",7855
,"Division 7: West South Central","CENS-D7","2014","2014","Yes","1",8429
,"Division 7: West South Central","CENS-D7","2015","2015","Yes","1",8971
,"Division 7: West South Central","CENS-D7","2016","2016","Yes","1",8895
,"Division 7: West South Central","CENS-D7","2017","2017","Yes","1",9631
,"Division 7: West South Central","CENS-D7","2018","2018","Yes","1",10274
,"Division 7: West South Central","CENS-D7","2019","2019","Yes","1",10194
,"Division 7: West South Central","CENS-D7","2020","2020","Yes","1",11473
,"Division 7: West South Central","CENS-D7","2021","2021","Yes","1",12188
,"Division 7: West South Central","CENS-D7","2022","2022","Yes","1",13324
,"Division 7: West South Central","CENS-D7","2023","2023","Yes","1",14326
,"Division 8: Mountain","CENS-D8","2010","2010","Yes","1",2859
,"Division 8: Mountain","CENS-D8","2011","2011","Yes","1",2878
,"Division 8: Mountain","CENS-D8","2012","2012","Yes","1",3096
,"Division 8: Mountain","CENS-D8","2013","2013","Yes","1",3410
,"Division 8: Mountain","CENS-D8","2014","2014","Yes","1",3716
,"Division 8: Mountain","CENS-D8","2015","2015","Yes","1",3519
,"Division 8: Mountain","CENS-D8","2016","2016","Yes","1",3528
,"Division 8: Mountain","CENS-D8","2017","2017","Yes","1",3751
,"Division 8: Mountain","CENS-D8","2018","2018","Yes","1",4204
,"Division 8: Mountain","CENS-D8","2019","2019","Yes","1",4490
,"Division 8: Mountain","CENS-D8","2020","2020","Yes","1",4718
,"Division 8: Mountain","CENS-D8","2021","2021","Yes","1",5368
,"Division 8: Mountain","CENS-D8","2022","2022","Yes","1",5580
,"Division 8: Mountain","CENS-D8","2023","2023","Yes","1",6067
,"Division 9: Pacific","CENS-D9","2010","2010","Yes","1",5066
,"Division 9: Pacific","CENS-D9","2011","2011","Yes","1",5506
,"Division 9: Pacific","CENS-D9","2012","2012","Yes","1",5918
,"Division 9: Pacific","CENS-D9","2013","2013","Yes","1",6369
,"Division 9: Pacific","CENS-D9","2014","2014","Yes","1",6308
,"Division 9: Pacific","CENS-D9","2015","2015","Yes","1",6589
,"Division 9: Pacific","CENS-D9","2016","2016","Yes","1",6957
,"Division 9: Pacific","CENS-D9","2017","2017","Yes","1",7650
,"Division 9: Pacific","CENS-D9","2018","2018","Yes","1",8143
,"Division 9: Pacific","CENS-D9","2019","2019","Yes","1",8838
,"Division 9: Pacific","CENS-D9","2020","2020","Yes","1",9732
,"Division 9: Pacific","CENS-D9","2021","2021","Yes","1",10632
