"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Chronic Hypertension"	"Chronic Hypertension Code"	Births
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Yes"	"1"	2484
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"No"	"2"	150565
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Unknown or Not Stated"	"9"	768
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Yes"	"1"	2522
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"No"	"2"	149191
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Unknown or Not Stated"	"9"	1327
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Yes"	"1"	2474
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"No"	"2"	148157
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Unknown or Not Stated"	"9"	432
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Yes"	"1"	2407
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"No"	"2"	147053
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Unknown or Not Stated"	"9"	369
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Yes"	"1"	2604
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"No"	"2"	147053
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Unknown or Not Stated"	"9"	489
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Yes"	"1"	2613
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"No"	"2"	146234
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Unknown or Not Stated"	"9"	327
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Yes"	"1"	2757
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"No"	"2"	145182
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Unknown or Not Stated"	"9"	919
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Yes"	"1"	2935
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"No"	"2"	143299
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Unknown or Not Stated"	"9"	396
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Yes"	"1"	3180
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"No"	"2"	140656
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Unknown or Not Stated"	"9"	242
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"Yes"	"1"	3120
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"No"	"2"	139090
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"Unknown or Not Stated"	"9"	319
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Yes"	"1"	3865
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"No"	"2"	134162
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Unknown or Not Stated"	"9"	425
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Yes"	"1"	4658
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"No"	"2"	140340
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Unknown or Not Stated"	"9"	288
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"Yes"	"1"	5054
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"No"	"2"	138355
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"Unknown or Not Stated"	"9"	262
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Yes"	"1"	5451
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"No"	"2"	134357
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Unknown or Not Stated"	"9"	277
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Yes"	"1"	7050
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"No"	"2"	485943
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Unknown or Not Stated"	"9"	1625
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"Yes"	"1"	7404
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"No"	"2"	482192
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"Unknown or Not Stated"	"9"	777
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"Yes"	"1"	7383
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"No"	"2"	479489
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"Unknown or Not Stated"	"9"	788
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"Yes"	"1"	7423
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"No"	"2"	472368
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"Unknown or Not Stated"	"9"	685
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"Yes"	"1"	7978
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"No"	"2"	475325
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"Unknown or Not Stated"	"9"	1043
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"Yes"	"1"	8261
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"No"	"2"	472646
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"Unknown or Not Stated"	"9"	541
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"Yes"	"1"	8770
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"No"	"2"	467323
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"Unknown or Not Stated"	"9"	246
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"Yes"	"1"	9034
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"No"	"2"	459257
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"Unknown or Not Stated"	"9"	441
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"Yes"	"1"	9676
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"No"	"2"	452919
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"Unknown or Not Stated"	"9"	539
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"Yes"	"1"	10064
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"No"	"2"	444768
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"Unknown or Not Stated"	"9"	522
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"Yes"	"1"	11352
