"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Diabetes"	"Diabetes Code"	Births
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Yes"	"1"	8737
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"No"	"2"	144312
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Unknown or Not Stated"	"9"	768
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Yes"	"1"	9307
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"No"	"2"	142406
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Unknown or Not Stated"	"9"	1327
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Yes"	"1"	9794
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"No"	"2"	140837
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Unknown or Not Stated"	"9"	432
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Yes"	"1"	9549
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"No"	"2"	139911
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Unknown or Not Stated"	"9"	369
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Yes"	"1"	9587
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"No"	"2"	140070
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Unknown or Not Stated"	"9"	489
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Yes"	"1"	10228
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"No"	"2"	138619
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Unknown or Not Stated"	"9"	327
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Yes"	"1"	10015
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"No"	"2"	137924
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Unknown or Not Stated"	"9"	919
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Yes"	"1"	11005
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"No"	"2"	135229
