"Notes","Census Division","Census Division Code","Year","Year Code","Eclampsia","Eclampsia Code",Births
,"Division 1: New England","CENS-D1","2010","2010","Yes","1",1291
,"Division 1: New England","CENS-D1","2011","2011","Yes","1",641
,"Division 1: New England","CENS-D1","2012","2012","Yes","1",516
,"Division 1: New England","CENS-D1","2013","2013","Yes","1",180
,"Division 1: New England","CENS-D1","2014","2014","Yes","1",299
,"Division 1: New England","CENS-D1","2015","2015","Yes","1",233
,"Division 1: New England","CENS-D1","2016","2016","Yes","1",250
,"Division 1: New England","CENS-D1","2017","2017","Yes","1",242
,"Division 1: New England","CENS-D1","2018","2018","Yes","1",284
,"Division 1: New England","CENS-D1","2019","2019","Yes","1",306
,"Division 1: New England","CENS-D1","2020","2020","Yes","1",289
,"Division 1: New England","CENS-D1","2021","2021","Yes","1",441
,"Division 1: New England","CENS-D1","2022","2022","Yes","1",255
,"Division 1: New England","CENS-D1","2023","2023","Yes","1",224
,"Division 2: Middle Atlantic","CENS-D2","2010","2010","Yes","1",301
,"Division 2: Middle Atlantic","CENS-D2","2011","2011","Yes","1",308
,"Division 2: Middle Atlantic","CENS-D2","2012","2012","Yes","1",364
,"Division 2: Middle Atlantic","CENS-D2","2013","2013","Yes","1",884
,"Division 2: Middle Atlantic","CENS-D2","2014","2014","Yes","1",831
,"Division 2: Middle Atlantic","CENS-D2","2015","2015","Yes","1",859
,"Division 2: Middle Atlantic","CENS-D2","2016","2016","Yes","1",1722
,"Division 2: Middle Atlantic","CENS-D2","2017","2017","Yes","1",1423
,"Division 2: Middle Atlantic","CENS-D2","2018","2018","Yes","1",1649
,"Division 2: Middle Atlantic","CENS-D2","2019","2019","Yes","1",2028
,"Division 2: Middle Atlantic","CENS-D2","2020","2020","Yes","1",1648
,"Division 2: Middle Atlantic","CENS-D2","2021","2021","Yes","1",1749
,"Division 2: Middle Atlantic","CENS-D2","2022","2022","Yes","1",1208
,"Division 2: Middle Atlantic","CENS-D2","2023","2023","Yes","1",1175
,"Division 3: East North Central","CENS-D3","2010","2010","Yes","1",1459
,"Division 3: East North Central","CENS-D3","2011","2011","Yes","1",1631
,"Division 3: East North Central","CENS-D3","2012","2012","Yes","1",1709
,"Division 3: East North Central","CENS-D3","2013","2013","Yes","1",1624
,"Division 3: East North Central","CENS-D3","2014","2014","Yes","1",1519
,"Division 3: East North Central","CENS-D3","2015","2015","Yes","1",939
,"Division 3: East North Central","CENS-D3","2016","2016","Yes","1",942
,"Division 3: East North Central","CENS-D3","2017","2017","Yes","1",1074
,"Division 3: East North Central","CENS-D3","2018","2018","Yes","1",877
,"Division 3: East North Central","CENS-D3","2019","2019","Yes","1",849
,"Division 3: East North Central","CENS-D3","2020","2020","Yes","1",1023
,"Division 3: East North Central","CENS-D3","2021","2021","Yes","1",1276
,"Division 3: East North Central","CENS-D3","2022","2022","Yes","1",1051
,"Division 3: East North Central","CENS-D3","2023","2023","Yes","1",945
,"Division 4: West North Central","CENS-D4","2010","2010","Yes","1",1235
,"Division 4: West North Central","CENS-D4","2011","2011","Yes","1",692
,"Division 4: West North Central","CENS-D4","2012","2012","Yes","1",685
,"Division 4: West North Central","CENS-D4","2013","2013","Yes","1",635
,"Division 4: West North Central","CENS-D4","2014","2014","Yes","1",671
,"Division 4: West North Central","CENS-D4","2015","2015","Yes","1",755
,"Division 4: West North Central","CENS-D4","2016","2016","Yes","1",892
,"Division 4: West North Central","CENS-D4","2017","2017","Yes","1",967
,"Division 4: West North Central","CENS-D4","2018","2018","Yes","1",873
,"Division 4: West North Central","CENS-D4","2019","2019","Yes","1",1024
,"Division 4: West North Central","CENS-D4","2020","2020","Yes","1",841
,"Division 4: West North Central","CENS-D4","2021","2021","Yes","1",829
,"Division 4: West North Central","CENS-D4","2022","2022","Yes","1",978
,"Division 4: West North Central","CENS-D4","2023","2023","Yes","1",1125
,"Division 5: South Atlantic","CENS-D5","2010","2010","Yes","1",2309
,"Division 5: South Atlantic","CENS-D5","2011","2011","Yes","1",1969
,"Division 5: South Atlantic","CENS-D5","2012","2012","Yes","1",2052
,"Division 5: South Atlantic","CENS-D5","2013","2013","Yes","1",2290
,"Division 5: South Atlantic","CENS-D5","2014","2014","Yes","1",2118
,"Division 5: South Atlantic","CENS-D5","2015","2015","Yes","1",2088
,"Division 5: South Atlantic","CENS-D5","2016","2016","Yes","1",2581
,"Division 5: South Atlantic","CENS-D5","2017","2017","Yes","1",2552
,"Division 5: South Atlantic","CENS-D5","2018","2018","Yes","1",1857
,"Division 5: South Atlantic","CENS-D5","2019","2019","Yes","1",1928
,"Division 5: South Atlantic","CENS-D5","2020","2020","Yes","1",1136
,"Division 5: South Atlantic","CENS-D5","2021","2021","Yes","1",1203
,"Division 5: South Atlantic","CENS-D5","2022","2022","Yes","1",1544
,"Division 5: South Atlantic","CENS-D5","2023","2023","Yes","1",1323
,"Division 6: East South Central","CENS-D6","2010","2010","Yes","1",499
,"Division 6: East South Central","CENS-D6","2011","2011","Yes","1",526
,"Division 6: East South Central","CENS-D6","2012","2012","Yes","1",536
,"Division 6: East South Central","CENS-D6","2013","2013","Yes","1",771
,"Division 6: East South Central","CENS-D6","2014","2014","Yes","1",1315
,"Division 6: East South Central","CENS-D6","2015","2015","Yes","1",1162
,"Division 6: East South Central","CENS-D6","2016","2016","Yes","1",1042
,"Division 6: East South Central","CENS-D6","2017","2017","Yes","1",1053
,"Division 6: East South Central","CENS-D6","2018","2018","Yes","1",475
,"Division 6: East South Central","CENS-D6","2019","2019","Yes","1",450
,"Division 6: East South Central","CENS-D6","2020","2020","Yes","1",638
,"Division 6: East South Central","CENS-D6","2021","2021","Yes","1",525
,"Division 6: East South Central","CENS-D6","2022","2022","Yes","1",571
,"Division 6: East South Central","CENS-D6","2023","2023","Yes","1",625
,"Division 7: West South Central","CENS-D7","2010","2010","Yes","1",1188
,"Division 7: West South Central","CENS-D7","2011","2011","Yes","1",832
,"Division 7: West South Central","CENS-D7","2012","2012","Yes","1",868
,"Division 7: West South Central","CENS-D7","2013","2013","Yes","1",729
,"Division 7: West South Central","CENS-D7","2014","2014","Yes","1",979
,"Division 7: West South Central","CENS-D7","2015","2015","Yes","1",989
,"Division 7: West South Central","CENS-D7","2016","2016","Yes","1",849
,"Division 7: West South Central","CENS-D7","2017","2017","Yes","1",983
,"Division 7: West South Central","CENS-D7","2018","2018","Yes","1",811
,"Division 7: West South Central","CENS-D7","2019","2019","Yes","1",812
,"Division 7: West South Central","CENS-D7","2020","2020","Yes","1",940
,"Division 7: West South Central","CENS-D7","2021","2021","Yes","1",996
,"Division 7: West South Central","CENS-D7","2022","2022","Yes","1",1165
,"Division 7: West South Central","CENS-D7","2023","2023","Yes","1",1057
,"Division 8: Mountain","CENS-D8","2010","2010","Yes","1",1638
,"Division 8: Mountain","CENS-D8","2011","2011","Yes","1",1539
,"Division 8: Mountain","CENS-D8","2012","2012","Yes","1",1454
,"Division 8: Mountain","CENS-D8","2013","2013","Yes","1",1190
,"Division 8: Mountain","CENS-D8","2014","2014","Yes","1",955
,"Division 8: Mountain","CENS-D8","2015","2015","Yes","1",758
,"Division 8: Mountain","CENS-D8","2016","2016","Yes","1",823
,"Division 8: Mountain","CENS-D8","2017","2017","Yes","1",840
,"Division 8: Mountain","CENS-D8","2018","2018","Yes","1",1041
,"Division 8: Mountain","CENS-D8","2019","2019","Yes","1",1168
,"Division 8: Mountain","CENS-D8","2020","2020","Yes","1",1785
,"Division 8: Mountain","CENS-D8","2021","2021","Yes","1",1394
,"Division 8: Mountain","CENS-D8","2022","2022","Yes","1",1552
,"Division 8: Mountain","CENS-D8","2023","2023","Yes","1",1328
,"Division 9: Pacific","CENS-D9","2010","2010","Yes","1",1206
,"Division 9: Pacific","CENS-D9","2011","2011","Yes","1",1136
,"Division 9: Pacific","CENS-D9","2012","2012","Yes","1",1362
,"Division 9: Pacific","CENS-D9","2013","2013","Yes","1",1868
,"Division 9: Pacific","CENS-D9","2014","2014","Yes","1",1074
,"Division 9: Pacific","CENS-D9","2015","2015","Yes","1",1124
,"Division 9: Pacific","CENS-D9","2016","2016","Yes","1",1216
,"Division 9: Pacific","CENS-D9","2017","2017","Yes","1",1510
,"Division 9: Pacific","CENS-D9","2018","2018","Yes","1",1582
,"Division 9: Pacific","CENS-D9","2019","2019","Yes","1",1646
,"Division 9: Pacific","CENS-D9","2020","2020","Yes","1",1681
,"Division 9: Pacific","CENS-D9","2021","2021","Yes","1",1643
,"Division 9: Pacific","CENS-D9","2022","2022","Yes","1",1599
,"Division 9: Pacific","CENS-D9","2023","2023","Yes","1",692
