"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Eclampsia"	"Eclampsia Code"	Births
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Yes"	"1"	1291
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"No"	"2"	151758
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Unknown or Not Stated"	"9"	768
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Not Reported"	"10"	0
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Yes"	"1"	641
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"No"	"2"	151072
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Unknown or Not Stated"	"9"	1327
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Not Reported"	"10"	0
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Yes"	"1"	516
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"No"	"2"	150115
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Unknown or Not Stated"	"9"	432
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Not Reported"	"10"	0
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Yes"	"1"	180
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"No"	"2"	149280
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Unknown or Not Stated"	"9"	369
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Not Reported"	"10"	0
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Yes"	"1"	299
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"No"	"2"	149358
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Unknown or Not Stated"	"9"	489
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Not Reported"	"10"	0
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Yes"	"1"	233
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"No"	"2"	148614
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Unknown or Not Stated"	"9"	327
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Not Reported"	"10"	0
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Yes"	"1"	250
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"No"	"2"	147689
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Unknown or Not Stated"	"9"	919
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Not Reported"	"10"	0
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Yes"	"1"	242
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"No"	"2"	145992
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Unknown or Not Stated"	"9"	396
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Not Reported"	"10"	0
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Yes"	"1"	284
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"No"	"2"	143552
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Unknown or Not Stated"	"9"	242
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Not Reported"	"10"	0
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"Yes"	"1"	306
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"No"	"2"	141904
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"Unknown or Not Stated"	"9"	319
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"Not Reported"	"10"	0
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Yes"	"1"	289
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"No"	"2"	137738
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Unknown or Not Stated"	"9"	425
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Not Reported"	"10"	0
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Yes"	"1"	441
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"No"	"2"	144557
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Unknown or Not Stated"	"9"	288
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Not Reported"	"10"	0
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"Yes"	"1"	255
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"No"	"2"	143154
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"Unknown or Not Stated"	"9"	262
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"Not Reported"	"10"	0
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Yes"	"1"	224
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"No"	"2"	139584
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Unknown or Not Stated"	"9"	277
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Not Reported"	"10"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Yes"	"1"	301
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"No"	"2"	229461
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Unknown or Not Stated"	"9"	838
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Not Reported"	"10"	264018
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"Yes"	"1"	308
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"No"	"2"	226747
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"Unknown or Not Stated"	"9"	745
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"Not Reported"	"10"	262573
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"Yes"	"1"	364
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"No"	"2"	224587
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"Unknown or Not Stated"	"9"	633
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"Not Reported"	"10"	262076
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"Yes"	"1"	884
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"No"	"2"	338004
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"Unknown or Not Stated"	"9"	667
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"Not Reported"	"10"	140921
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"Yes"	"1"	831
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"No"	"2"	340230
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"Unknown or Not Stated"	"9"	1017
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"Not Reported"	"10"	142268
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"Yes"	"1"	859
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"No"	"2"	339011
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"Unknown or Not Stated"	"9"	531
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"Not Reported"	"10"	141047
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"Yes"	"1"	1722
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"No"	"2"	474371
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"Unknown or Not Stated"	"9"	246
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"Not Reported"	"10"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"Yes"	"1"	1423
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"No"	"2"	466868
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"Unknown or Not Stated"	"9"	441
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"Not Reported"	"10"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"Yes"	"1"	1649
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"No"	"2"	460946
