"Notes","Census Division","Census Division Code","Year","Year Code","Pregnancy-associated Hypertension","Pregnancy-associated Hypertension Code",Births
,"Division 1: New England","CENS-D1","2010","2010","Yes","1",6224
,"Division 1: New England","CENS-D1","2011","2011","Yes","1",5682
,"Division 1: New England","CENS-D1","2012","2012","Yes","1",5888
,"Division 1: New England","CENS-D1","2013","2013","Yes","1",5815
,"Division 1: New England","CENS-D1","2014","2014","Yes","1",6328
,"Division 1: New England","CENS-D1","2015","2015","Yes","1",6769
,"Division 1: New England","CENS-D1","2016","2016","Yes","1",8039
,"Division 1: New England","CENS-D1","2017","2017","Yes","1",8691
,"Division 1: New England","CENS-D1","2018","2018","Yes","1",9331
,"Division 1: New England","CENS-D1","2019","2019","Yes","1",10088
,"Division 1: New England","CENS-D1","2020","2020","Yes","1",10811
,"Division 1: New England","CENS-D1","2021","2021","Yes","1",12252
,"Division 1: New England","CENS-D1","2022","2022","Yes","1",12691
,"Division 1: New England","CENS-D1","2023","2023","Yes","1",12955
,"Division 2: Middle Atlantic","CENS-D2","2010","2010","Yes","1",17131
,"Division 2: Middle Atlantic","CENS-D2","2011","2011","Yes","1",16772
,"Division 2: Middle Atlantic","CENS-D2","2012","2012","Yes","1",16481
,"Division 2: Middle Atlantic","CENS-D2","2013","2013","Yes","1",17244
,"Division 2: Middle Atlantic","CENS-D2","2014","2014","Yes","1",18635
,"Division 2: Middle Atlantic","CENS-D2","2015","2015","Yes","1",25521
,"Division 2: Middle Atlantic","CENS-D2","2016","2016","Yes","1",27393
,"Division 2: Middle Atlantic","CENS-D2","2017","2017","Yes","1",26568
,"Division 2: Middle Atlantic","CENS-D2","2018","2018","Yes","1",28899
,"Division 2: Middle Atlantic","CENS-D2","2019","2019","Yes","1",31569
,"Division 2: Middle Atlantic","CENS-D2","2020","2020","Yes","1",33270
,"Division 2: Middle Atlantic","CENS-D2","2021","2021","Yes","1",36215
,"Division 2: Middle Atlantic","CENS-D2","2022","2022","Yes","1",37480
,"Division 2: Middle Atlantic","CENS-D2","2023","2023","Yes","1",39006
,"Division 3: East North Central","CENS-D3","2010","2010","Yes","1",29332
