"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Pregnancy-associated Hypertension"	"Pregnancy-associated Hypertension Code"	Births
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Yes"	"1"	6224
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"No"	"2"	146825
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Unknown or Not Stated"	"9"	768
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Yes"	"1"	5682
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"No"	"2"	146031
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Unknown or Not Stated"	"9"	1327
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Yes"	"1"	5888
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"No"	"2"	144743
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Unknown or Not Stated"	"9"	432
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Yes"	"1"	5815
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"No"	"2"	143645
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Unknown or Not Stated"	"9"	369
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Yes"	"1"	6328
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"No"	"2"	143329
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Unknown or Not Stated"	"9"	489
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Yes"	"1"	6769
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"No"	"2"	142078
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Unknown or Not Stated"	"9"	327
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Yes"	"1"	8039
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"No"	"2"	139900
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Unknown or Not Stated"	"9"	919
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Yes"	"1"	8691
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"No"	"2"	137543
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Unknown or Not Stated"	"9"	396
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Yes"	"1"	9331
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"No"	"2"	134505
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Unknown or Not Stated"	"9"	242
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"Yes"	"1"	10088
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"No"	"2"	132122
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	"Unknown or Not Stated"	"9"	319
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Yes"	"1"	10811
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"No"	"2"	127216
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Unknown or Not Stated"	"9"	425
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Yes"	"1"	12252
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"No"	"2"	132746
	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Unknown or Not Stated"	"9"	288
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"Yes"	"1"	12691
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"No"	"2"	130718
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"Unknown or Not Stated"	"9"	262
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Yes"	"1"	12955
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"No"	"2"	126853
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Unknown or Not Stated"	"9"	277
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Yes"	"1"	17131
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"No"	"2"	475862
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Unknown or Not Stated"	"9"	1625
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"Yes"	"1"	16772
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"No"	"2"	472824
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"Unknown or Not Stated"	"9"	777
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"Yes"	"1"	16481
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"No"	"2"	470391
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"Unknown or Not Stated"	"9"	788
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"Yes"	"1"	17244
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"No"	"2"	462547
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"Unknown or Not Stated"	"9"	685
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"Yes"	"1"	18635
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"No"	"2"	464668
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"Unknown or Not Stated"	"9"	1043
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"Yes"	"1"	25521
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"No"	"2"	455386
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"Unknown or Not Stated"	"9"	541
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"Yes"	"1"	27393
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"No"	"2"	448700
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"Unknown or Not Stated"	"9"	246
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"Yes"	"1"	26568
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"No"	"2"	441723
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"Unknown or Not Stated"	"9"	441
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"Yes"	"1"	28899
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"No"	"2"	433696
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"Unknown or Not Stated"	"9"	539
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"Yes"	"1"	31569
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"No"	"2"	423263
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"Unknown or Not Stated"	"9"	522
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"Yes"	"1"	33270
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"No"	"2"	404264
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"Unknown or Not Stated"	"9"	451
	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"Yes"	"1"	36215
	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"No"	"2"	407913
	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"Unknown or Not Stated"	"9"	733
	"Division 2: Middle Atlantic"	"CENS-D2"	"2022"	"2022"	"Yes"	"1"	37480
	"Division 2: Middle Atlantic"	"CENS-D2"	"2022"	"2022"	"No"	"2"	401434
	"Division 2: Middle Atlantic"	"CENS-D2"	"2022"	"2022"	"Unknown or Not Stated"	"9"	2005
	"Division 2: Middle Atlantic"	"CENS-D2"	"2023"	"2023"	"Yes"	"1"	39006
	"Division 2: Middle Atlantic"	"CENS-D2"	"2023"	"2023"	"No"	"2"	391621
	"Division 2: Middle Atlantic"	"CENS-D2"	"2023"	"2023"	"Unknown or Not Stated"	"9"	937
	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"Yes"	"1"	29332
	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"No"	"2"	536658
	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"Unknown or Not Stated"	"9"	5296
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"Yes"	"1"	29002
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"No"	"2"	530727
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"Unknown or Not Stated"	"9"	5020
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"Yes"	"1"	29586
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"No"	"2"	527813
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"Unknown or Not Stated"	"9"	3857
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"Yes"	"1"	30667
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"No"	"2"	525977
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"Unknown or Not Stated"	"9"	2463
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"Yes"	"1"	32722
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"No"	"2"	529451
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"Unknown or Not Stated"	"9"	1466
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"Yes"	"1"	35804
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"No"	"2"	525305
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"Unknown or Not Stated"	"9"	664
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"Yes"	"1"	38813
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"No"	"2"	516000
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"Unknown or Not Stated"	"9"	738
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"Yes"	"1"	41040
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"No"	"2"	502878
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"Unknown or Not Stated"	"9"	875
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"Yes"	"1"	45140
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"No"	"2"	489854
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"Unknown or Not Stated"	"9"	731
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"Yes"	"1"	48884
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"No"	"2"	477136
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"Unknown or Not Stated"	"9"	584
	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"Yes"	"1"	48599
	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"No"	"2"	456695
	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"Unknown or Not Stated"	"9"	479
	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"Yes"	"1"	52284
	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"No"	"2"	455560
	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"Unknown or Not Stated"	"9"	843
	"Division 3: East North Central"	"CENS-D3"	"2022"	"2022"	"Yes"	"1"	54384
	"Division 3: East North Central"	"CENS-D3"	"2022"	"2022"	"No"	"2"	443277
	"Division 3: East North Central"	"CENS-D3"	"2022"	"2022"	"Unknown or Not Stated"	"9"	939
	"Division 3: East North Central"	"CENS-D3"	"2023"	"2023"	"Yes"	"1"	56764
	"Division 3: East North Central"	"CENS-D3"	"2023"	"2023"	"No"	"2"	431729
	"Division 3: East North Central"	"CENS-D3"	"2023"	"2023"	"Unknown or Not Stated"	"9"	1101
	"Division 4: West North Central"	"CENS-D4"	"2010"	"2010"	"Yes"	"1"	11558
	"Division 4: West North Central"	"CENS-D4"	"2010"	"2010"	"No"	"2"	259383
	"Division 4: West North Central"	"CENS-D4"	"2010"	"2010"	"Unknown or Not Stated"	"9"	629
	"Division 4: West North Central"	"CENS-D4"	"2011"	"2011"	"Yes"	"1"	12603
	"Division 4: West North Central"	"CENS-D4"	"2011"	"2011"	"No"	"2"	255617
	"Division 4: West North Central"	"CENS-D4"	"2011"	"2011"	"Unknown or Not Stated"	"9"	1255
	"Division 4: West North Central"	"CENS-D4"	"2012"	"2012"	"Yes"	"1"	13770
	"Division 4: West North Central"	"CENS-D4"	"2012"	"2012"	"No"	"2"	257427
	"Division 4: West North Central"	"CENS-D4"	"2012"	"2012"	"Unknown or Not Stated"	"9"	216
	"Division 4: West North Central"	"CENS-D4"	"2013"	"2013"	"Yes"	"1"	14249
	"Division 4: West North Central"	"CENS-D4"	"2013"	"2013"	"No"	"2"	256870
	"Division 4: West North Central"	"CENS-D4"	"2013"	"2013"	"Unknown or Not Stated"	"9"	211
	"Division 4: West North Central"	"CENS-D4"	"2014"	"2014"	"Yes"	"1"	15763
	"Division 4: West North Central"	"CENS-D4"	"2014"	"2014"	"No"	"2"	258646
	"Division 4: West North Central"	"CENS-D4"	"2014"	"2014"	"Unknown or Not Stated"	"9"	201
	"Division 4: West North Central"	"CENS-D4"	"2015"	"2015"	"Yes"	"1"	17115
	"Division 4: West North Central"	"CENS-D4"	"2015"	"2015"	"No"	"2"	256556
	"Division 4: West North Central"	"CENS-D4"	"2015"	"2015"	"Unknown or Not Stated"	"9"	189
	"Division 4: West North Central"	"CENS-D4"	"2016"	"2016"	"Yes"	"1"	18139
	"Division 4: West North Central"	"CENS-D4"	"2016"	"2016"	"No"	"2"	253914
	"Division 4: West North Central"	"CENS-D4"	"2016"	"2016"	"Unknown or Not Stated"	"9"	104
	"Division 4: West North Central"	"CENS-D4"	"2017"	"2017"	"Yes"	"1"	19431
	"Division 4: West North Central"	"CENS-D4"	"2017"	"2017"	"No"	"2"	245703
