"Notes","Census Division","Census Division Code","Year","Year Code","Tobacco Use","Tobacco Use Code",Births
,"Division 1: New England","CENS-D1","2010","2010","Yes","1",2905
,"Division 1: New England","CENS-D1","2011","2011","Yes","1",2844
,"Division 1: New England","CENS-D1","2012","2012","Yes","1",8002
,"Division 1: New England","CENS-D1","2013","2013","Yes","1",7615
,"Division 1: New England","CENS-D1","2014","2014","Yes","1",9190
,"Division 1: New England","CENS-D1","2015","2015","Yes","1",9307
,"Division 1: New England","CENS-D1","2016","2016","Yes","1",10236
,"Division 1: New England","CENS-D1","2017","2017","Yes","1",9409
,"Division 1: New England","CENS-D1","2018","2018","Yes","1",8330
,"Division 1: New England","CENS-D1","2019","2019","Yes","1",7566
,"Division 1: New England","CENS-D1","2020","2020","Yes","1",6754
,"Division 1: New England","CENS-D1","2021","2021","Yes","1",5577
,"Division 1: New England","CENS-D1","2022","2022","Yes","1",4474
,"Division 1: New England","CENS-D1","2023","2023","Yes","1",3512
,"Division 2: Middle Atlantic","CENS-D2","2010","2010","Yes","1",37276
,"Division 2: Middle Atlantic","CENS-D2","2011","2011","Yes","1",35722
,"Division 2: Middle Atlantic","CENS-D2","2012","2012","Yes","1",34757
,"Division 2: Middle Atlantic","CENS-D2","2013","2013","Yes","1",32760
,"Division 2: Middle Atlantic","CENS-D2","2014","2014","Yes","1",31692
,"Division 2: Middle Atlantic","CENS-D2","2015","2015","Yes","1",29034
,"Division 2: Middle Atlantic","CENS-D2","2016","2016","Yes","1",30970
,"Division 2: Middle Atlantic","CENS-D2","2017","2017","Yes","1",29064
,"Division 2: Middle Atlantic","CENS-D2","2018","2018","Yes","1",26859
,"Division 2: Middle Atlantic","CENS-D2","2019","2019","Yes","1",24007
,"Division 2: Middle Atlantic","CENS-D2","2020","2020","Yes","1",21316
,"Division 2: Middle Atlantic","CENS-D2","2021","2021","Yes","1",17737
,"Division 2: Middle Atlantic","CENS-D2","2022","2022","Yes","1",14210
,"Division 2: Middle Atlantic","CENS-D2","2023","2023","Yes","1",11601
,"Division 3: East North Central","CENS-D3","2010","2010","Yes","1",52207
,"Division 3: East North Central","CENS-D3","2011","2011","Yes","1",59658
,"Division 3: East North Central","CENS-D3","2012","2012","Yes","1",57856
,"Division 3: East North Central","CENS-D3","2013","2013","Yes","1",56014
,"Division 3: East North Central","CENS-D3","2014","2014","Yes","1",69835
,"Division 3: East North Central","CENS-D3","2015","2015","Yes","1",65377
,"Division 3: East North Central","CENS-D3","2016","2016","Yes","1",61485
,"Division 3: East North Central","CENS-D3","2017","2017","Yes","1",59044
,"Division 3: East North Central","CENS-D3","2018","2018","Yes","1",54624
,"Division 3: East North Central","CENS-D3","2019","2019","Yes","1",49416
,"Division 3: East North Central","CENS-D3","2020","2020","Yes","1",45188
,"Division 3: East North Central","CENS-D3","2021","2021","Yes","1",38134
,"Division 3: East North Central","CENS-D3","2022","2022","Yes","1",29765
,"Division 3: East North Central","CENS-D3","2023","2023","Yes","1",23744
,"Division 4: West North Central","CENS-D4","2010","2010","Yes","1",33632
,"Division 4: West North Central","CENS-D4","2011","2011","Yes","1",32262
,"Division 4: West North Central","CENS-D4","2012","2012","Yes","1",39489
,"Division 4: West North Central","CENS-D4","2013","2013","Yes","1",37828
,"Division 4: West North Central","CENS-D4","2014","2014","Yes","1",36229
,"Division 4: West North Central","CENS-D4","2015","2015","Yes","1",34044
,"Division 4: West North Central","CENS-D4","2016","2016","Yes","1",32034
,"Division 4: West North Central","CENS-D4","2017","2017","Yes","1",29710
,"Division 4: West North Central","CENS-D4","2018","2018","Yes","1",27628
,"Division 4: West North Central","CENS-D4","2019","2019","Yes","1",25363
,"Division 4: West North Central","CENS-D4","2020","2020","Yes","1",22878
,"Division 4: West North Central","CENS-D4","2021","2021","Yes","1",19561
,"Division 4: West North Central","CENS-D4","2022","2022","Yes","1",15375
,"Division 4: West North Central","CENS-D4","2023","2023","Yes","1",12547
,"Division 5: South Atlantic","CENS-D5","2010","2010","Yes","1",14353
,"Division 5: South Atlantic","CENS-D5","2011","2011","Yes","1",41076
,"Division 5: South Atlantic","CENS-D5","2012","2012","Yes","1",48130
,"Division 5: South Atlantic","CENS-D5","2013","2013","Yes","1",53625
,"Division 5: South Atlantic","CENS-D5","2014","2014","Yes","1",57879
,"Division 5: South Atlantic","CENS-D5","2015","2015","Yes","1",54599
,"Division 5: South Atlantic","CENS-D5","2016","2016","Yes","1",50703
,"Division 5: South Atlantic","CENS-D5","2017","2017","Yes","1",47355
,"Division 5: South Atlantic","CENS-D5","2018","2018","Yes","1",44591
,"Division 5: South Atlantic","CENS-D5","2019","2019","Yes","1",41118
,"Division 5: South Atlantic","CENS-D5","2020","2020","Yes","1",36553
,"Division 5: South Atlantic","CENS-D5","2021","2021","Yes","1",30407
,"Division 5: South Atlantic","CENS-D5","2022","2022","Yes","1",24643
,"Division 5: South Atlantic","CENS-D5","2023","2023","Yes","1",19217
,"Division 6: East South Central","CENS-D6","2010","2010","Yes","1",26365
,"Division 6: East South Central","CENS-D6","2011","2011","Yes","1",25857
,"Division 6: East South Central","CENS-D6","2012","2012","Yes","1",25365
,"Division 6: East South Central","CENS-D6","2013","2013","Yes","1",28960
,"Division 6: East South Central","CENS-D6","2014","2014","Yes","1",34427
,"Division 6: East South Central","CENS-D6","2015","2015","Yes","1",32581
,"Division 6: East South Central","CENS-D6","2016","2016","Yes","1",30718
,"Division 6: East South Central","CENS-D6","2017","2017","Yes","1",29024
,"Division 6: East South Central","CENS-D6","2018","2018","Yes","1",27239
,"Division 6: East South Central","CENS-D6","2019","2019","Yes","1",25182
,"Division 6: East South Central","CENS-D6","2020","2020","Yes","1",23244
,"Division 6: East South Central","CENS-D6","2021","2021","Yes","1",19983
,"Division 6: East South Central","CENS-D6","2022","2022","Yes","1",16045
,"Division 6: East South Central","CENS-D6","2023","2023","Yes","1",12936
,"Division 7: West South Central","CENS-D7","2010","2010","Yes","1",27124
,"Division 7: West South Central","CENS-D7","2011","2011","Yes","1",30719
,"Division 7: West South Central","CENS-D7","2012","2012","Yes","1",29568
,"Division 7: West South Central","CENS-D7","2013","2013","Yes","1",28842
,"Division 7: West South Central","CENS-D7","2014","2014","Yes","1",33051
,"Division 7: West South Central","CENS-D7","2015","2015","Yes","1",30992
,"Division 7: West South Central","CENS-D7","2016","2016","Yes","1",28651
,"Division 7: West South Central","CENS-D7","2017","2017","Yes","1",25977
,"Division 7: West South Central","CENS-D7","2018","2018","Yes","1",24174
,"Division 7: West South Central","CENS-D7","2019","2019","Yes","1",21322
,"Division 7: West South Central","CENS-D7","2020","2020","Yes","1",19176
,"Division 7: West South Central","CENS-D7","2021","2021","Yes","1",15941
,"Division 7: West South Central","CENS-D7","2022","2022","Yes","1",12876
,"Division 7: West South Central","CENS-D7","2023","2023","Yes","1",10472
,"Division 8: Mountain","CENS-D8","2010","2010","Yes","1",17379
,"Division 8: Mountain","CENS-D8","2011","2011","Yes","1",16411
,"Division 8: Mountain","CENS-D8","2012","2012","Yes","1",16642
,"Division 8: Mountain","CENS-D8","2013","2013","Yes","1",16212
,"Division 8: Mountain","CENS-D8","2014","2014","Yes","1",20278
,"Division 8: Mountain","CENS-D8","2015","2015","Yes","1",19190
,"Division 8: Mountain","CENS-D8","2016","2016","Yes","1",17740
,"Division 8: Mountain","CENS-D8","2017","2017","Yes","1",17044
,"Division 8: Mountain","CENS-D8","2018","2018","Yes","1",15717
,"Division 8: Mountain","CENS-D8","2019","2019","Yes","1",14311
,"Division 8: Mountain","CENS-D8","2020","2020","Yes","1",12519
,"Division 8: Mountain","CENS-D8","2021","2021","Yes","1",10795
,"Division 8: Mountain","CENS-D8","2022","2022","Yes","1",8807
,"Division 8: Mountain","CENS-D8","2023","2023","Yes","1",7473
,"Division 9: Pacific","CENS-D9","2010","2010","Yes","1",25009
,"Division 9: Pacific","CENS-D9","2011","2011","Yes","1",23593
,"Division 9: Pacific","CENS-D9","2012","2012","Yes","1",22633
