"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Tobacco Use"	"Tobacco Use Code"	Births
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Yes"	"1"	2905
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"No"	"2"	14886
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Unknown or Not Stated"	"9"	1306
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	"Not Reported"	"10"	134720
"Total"	"Division 1: New England"	"CENS-D1"	"2010"	"2010"			153817
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Yes"	"1"	2844
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"No"	"2"	15548
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Unknown or Not Stated"	"9"	537
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	"Not Reported"	"10"	134111
"Total"	"Division 1: New England"	"CENS-D1"	"2011"	"2011"			153040
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Yes"	"1"	8002
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"No"	"2"	81451
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Unknown or Not Stated"	"9"	1347
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	"Not Reported"	"10"	60263
"Total"	"Division 1: New England"	"CENS-D1"	"2012"	"2012"			151063
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Yes"	"1"	7615
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"No"	"2"	81230
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Unknown or Not Stated"	"9"	1314
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	"Not Reported"	"10"	59670
"Total"	"Division 1: New England"	"CENS-D1"	"2013"	"2013"			149829
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Yes"	"1"	9190
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"No"	"2"	92640
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Unknown or Not Stated"	"9"	1208
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	"Not Reported"	"10"	47108
"Total"	"Division 1: New England"	"CENS-D1"	"2014"	"2014"			150146
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Yes"	"1"	9307
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"No"	"2"	103326
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Unknown or Not Stated"	"9"	795
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	"Not Reported"	"10"	35746
"Total"	"Division 1: New England"	"CENS-D1"	"2015"	"2015"			149174
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Yes"	"1"	10236
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"No"	"2"	137890
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Unknown or Not Stated"	"9"	732
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Not Reported"	"10"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"			148858
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Yes"	"1"	9409
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"No"	"2"	136763
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Unknown or Not Stated"	"9"	458
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Not Reported"	"10"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"			146630
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Yes"	"1"	8330
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"No"	"2"	135390
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Unknown or Not Stated"	"9"	358
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Not Reported"	"10"	0
