"Notes"	"State"	"State Code"	"Year"	"Year Code"	"OE Gestational Age 10"	"OE Gestational Age 10 Code"	Births
	"Arizona"	"04"	"2010"	"2010"	"Under 20 weeks"	"01"	42
	"Arizona"	"04"	"2010"	"2010"	"20 - 27 weeks"	"02"	465
	"Arizona"	"04"	"2010"	"2010"	"28 - 31 weeks"	"03"	667
	"Arizona"	"04"	"2010"	"2010"	"32 - 35 weeks"	"04"	3579
	"Arizona"	"04"	"2010"	"2010"	"36 weeks"	"05"	3697
	"Arizona"	"04"	"2010"	"2010"	"37 - 39 weeks"	"06"	55528
	"Arizona"	"04"	"2010"	"2010"	"40 weeks"	"07"	18468
	"Arizona"	"04"	"2010"	"2010"	"41 weeks"	"08"	4671
	"Arizona"	"04"	"2010"	"2010"	"42 weeks or more"	"09"	337
	"Arizona"	"04"	"2010"	"2010"	"Unknown or Not Stated"	"10"	23
	"Arizona"	"04"	"2011"	"2011"	"Under 20 weeks"	"01"	41
	"Arizona"	"04"	"2011"	"2011"	"20 - 27 weeks"	"02"	546
	"Arizona"	"04"	"2011"	"2011"	"28 - 31 weeks"	"03"	618
	"Arizona"	"04"	"2011"	"2011"	"32 - 35 weeks"	"04"	3421
	"Arizona"	"04"	"2011"	"2011"	"36 weeks"	"05"	3354
	"Arizona"	"04"	"2011"	"2011"	"37 - 39 weeks"	"06"	54646
	"Arizona"	"04"	"2011"	"2011"	"40 weeks"	"07"	18076
	"Arizona"	"04"	"2011"	"2011"	"41 weeks"	"08"	4482
	"Arizona"	"04"	"2011"	"2011"	"42 weeks or more"	"09"	321
	"Arizona"	"04"	"2011"	"2011"	"Unknown or Not Stated"	"10"	38
	"Arizona"	"04"	"2012"	"2012"	"Under 20 weeks"	"01"	54
	"Arizona"	"04"	"2012"	"2012"	"20 - 27 weeks"	"02"	480
	"Arizona"	"04"	"2012"	"2012"	"28 - 31 weeks"	"03"	688
	"Arizona"	"04"	"2012"	"2012"	"32 - 35 weeks"	"04"	3476
	"Arizona"	"04"	"2012"	"2012"	"36 weeks"	"05"	3290
	"Arizona"	"04"	"2012"	"2012"	"37 - 39 weeks"	"06"	55425
	"Arizona"	"04"	"2012"	"2012"	"40 weeks"	"07"	18265
	"Arizona"	"04"	"2012"	"2012"	"41 weeks"	"08"	4441
	"Arizona"	"04"	"2012"	"2012"	"42 weeks or more"	"09"	271
	"Arizona"	"04"	"2012"	"2012"	"Unknown or Not Stated"	"10"	51
	"Arizona"	"04"	"2013"	"2013"	"Under 20 weeks"	"01"	49
	"Arizona"	"04"	"2013"	"2013"	"20 - 27 weeks"	"02"	437
	"Arizona"	"04"	"2013"	"2013"	"28 - 31 weeks"	"03"	641
	"Arizona"	"04"	"2013"	"2013"	"32 - 35 weeks"	"04"	3430
	"Arizona"	"04"	"2013"	"2013"	"36 weeks"	"05"	3218
	"Arizona"	"04"	"2013"	"2013"	"37 - 39 weeks"	"06"	54667
	"Arizona"	"04"	"2013"	"2013"	"40 weeks"	"07"	18067
