"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Birthplace"	"Birthplace Code"	Births
	"Arizona"	"04"	"2010"	"2010"	"In Hospital"	"1"	86346
	"Arizona"	"04"	"2010"	"2010"	"Freestanding Birth Center"	"2"	437
	"Arizona"	"04"	"2010"	"2010"	"Clinic/Doctor's Office"	"3"	13
	"Arizona"	"04"	"2010"	"2010"	"Residence"	"4"	663
	"Arizona"	"04"	"2010"	"2010"	"Other"	"5"	15
	"Arizona"	"04"	"2011"	"2011"	"In Hospital"	"1"	84380
	"Arizona"	"04"	"2011"	"2011"	"Freestanding Birth Center"	"2"	454
	"Arizona"	"04"	"2011"	"2011"	"Clinic/Doctor's Office"	"3"	10
	"Arizona"	"04"	"2011"	"2011"	"Residence"	"4"	679
	"Arizona"	"04"	"2011"	"2011"	"Other"	"5"	14
	"Arizona"	"04"	"2012"	"2012"	"In Hospital"	"1"	85177
	"Arizona"	"04"	"2012"	"2012"	"Freestanding Birth Center"	"2"	505
	"Arizona"	"04"	"2012"	"2012"	"Clinic/Doctor's Office"	"3"	25
	"Arizona"	"04"	"2012"	"2012"	"Residence"	"4"	724
	"Arizona"	"04"	"2013"	"2013"	"In Hospital"	"1"	84450
	"Arizona"	"04"	"2013"	"2013"	"Freestanding Birth Center"	"2"	459
	"Arizona"	"04"	"2013"	"2013"	"Residence"	"4"	672
	"Arizona"	"04"	"2013"	"2013"	"Other"	"5"	10
	"Arizona"	"04"	"2013"	"2013"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2014"	"2014"	"In Hospital"	"1"	85628
	"Arizona"	"04"	"2014"	"2014"	"Freestanding Birth Center"	"2"	511
	"Arizona"	"04"	"2014"	"2014"	"Residence"	"4"	702
	"Arizona"	"04"	"2014"	"2014"	"Other"	"5"	39
	"Arizona"	"04"	"2014"	"2014"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2015"	"2015"	"In Hospital"	"1"	84090
	"Arizona"	"04"	"2015"	"2015"	"Freestanding Birth Center"	"2"	492
	"Arizona"	"04"	"2015"	"2015"	"Clinic/Doctor's Office"	"3"	10
	"Arizona"	"04"	"2015"	"2015"	"Residence"	"4"	716
	"Arizona"	"04"	"2015"	"2015"	"Other"	"5"	42
	"Arizona"	"04"	"2016"	"2016"	"In Hospital"	"1"	83081
	"Arizona"	"04"	"2016"	"2016"	"Freestanding Birth Center"	"2"	582
	"Arizona"	"04"	"2016"	"2016"	"Clinic/Doctor's Office"	"3"	38
	"Arizona"	"04"	"2016"	"2016"	"Residence"	"4"	775
	"Arizona"	"04"	"2016"	"2016"	"Other"	"5"	42
	"Arizona"	"04"	"2017"	"2017"	"In Hospital"	"1"	80473
	"Arizona"	"04"	"2017"	"2017"	"Freestanding Birth Center"	"2"	607
	"Arizona"	"04"	"2017"	"2017"	"Clinic/Doctor's Office"	"3"	20
	"Arizona"	"04"	"2017"	"2017"	"Residence"	"4"	706
	"Arizona"	"04"	"2017"	"2017"	"Other"	"5"	65
	"Arizona"	"04"	"2018"	"2018"	"In Hospital"	"1"	79284
	"Arizona"	"04"	"2018"	"2018"	"Freestanding Birth Center"	"2"	702
	"Arizona"	"04"	"2018"	"2018"	"Clinic/Doctor's Office"	"3"	22
	"Arizona"	"04"	"2018"	"2018"	"Residence"	"4"	667
	"Arizona"	"04"	"2018"	"2018"	"Other"	"5"	47
