"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Medical Attendant"	"Medical Attendant Code"	Births
	"Arizona"	"04"	"2010"	"2010"	"Doctor of Medicine(MD)"	"1"	72469
	"Arizona"	"04"	"2010"	"2010"	"Doctor of Osteopathy(DO)"	"2"	8937
	"Arizona"	"04"	"2010"	"2010"	"Certified Nurse Midwife(CNM/CM)"	"3"	5249
	"Arizona"	"04"	"2010"	"2010"	"Other Midwife"	"4"	642
	"Arizona"	"04"	"2010"	"2010"	"Other"	"5"	177
	"Arizona"	"04"	"2010"	"2010"	"Not Reported"	"100"	0
	"Arizona"	"04"	"2011"	"2011"	"Doctor of Medicine(MD)"	"1"	71480
	"Arizona"	"04"	"2011"	"2011"	"Doctor of Osteopathy(DO)"	"2"	8295
	"Arizona"	"04"	"2011"	"2011"	"Certified Nurse Midwife(CNM/CM)"	"3"	4825
	"Arizona"	"04"	"2011"	"2011"	"Other Midwife"	"4"	752
	"Arizona"	"04"	"2011"	"2011"	"Other"	"5"	178
	"Arizona"	"04"	"2011"	"2011"	"Unknown or not stated"	"9"	13
	"Arizona"	"04"	"2011"	"2011"	"Not Reported"	"100"	0
	"Arizona"	"04"	"2012"	"2012"	"Doctor of Medicine(MD)"	"1"	71309
	"Arizona"	"04"	"2012"	"2012"	"Doctor of Osteopathy(DO)"	"2"	8526
	"Arizona"	"04"	"2012"	"2012"	"Certified Nurse Midwife(CNM/CM)"	"3"	5617
	"Arizona"	"04"	"2012"	"2012"	"Other Midwife"	"4"	781
	"Arizona"	"04"	"2012"	"2012"	"Other"	"5"	199
	"Arizona"	"04"	"2012"	"2012"	"Not Reported"	"100"	0
	"Arizona"	"04"	"2013"	"2013"	"Doctor of Medicine(MD)"	"1"	70436
	"Arizona"	"04"	"2013"	"2013"	"Doctor of Osteopathy(DO)"	"2"	8545
	"Arizona"	"04"	"2013"	"2013"	"Certified Nurse Midwife(CNM/CM)"	"3"	5568
	"Arizona"	"04"	"2013"	"2013"	"Other Midwife"	"4"	802
	"Arizona"	"04"	"2013"	"2013"	"Other"	"5"	235
	"Arizona"	"04"	"2013"	"2013"	"Unknown or not stated"	"9"	14
	"Arizona"	"04"	"2013"	"2013"	"Not Reported"	"100"	0
	"Arizona"	"04"	"2014"	"2014"	"Doctor of Medicine(MD)"	"1"	71286
	"Arizona"	"04"	"2014"	"2014"	"Doctor of Osteopathy(DO)"	"2"	9011
	"Arizona"	"04"	"2014"	"2014"	"Certified Nurse Midwife(CNM/CM)"	"3"	6252
	"Arizona"	"04"	"2014"	"2014"	"Other Midwife"	"4"	90
