"Notes","State","State Code","Year","Year Code","Delivery Method","Delivery Method Code",Births
,"Arizona","04","2010","2010","Cesarean","2",23629
,"Arizona","04","2011","2011","Cesarean","2",23449
,"Arizona","04","2012","2012","Cesarean","2",23405
,"Arizona","04","2013","2013","Cesarean","2",23347
,"Arizona","04","2014","2014","Cesarean","2",24146
,"Arizona","04","2015","2015","Cesarean","2",23516
,"Arizona","04","2016","2016","Cesarean","2",23220
,"Arizona","04","2017","2017","Cesarean","2",21986
,"Arizona","04","2018","2018","Cesarean","2",22199
,"Arizona","04","2019","2019","Cesarean","2",22039
,"Arizona","04","2020","2020","Cesarean","2",21870
,"Arizona","04","2021","2021","Cesarean","2",22368
,"Arizona","04","2022","2022","Cesarean","2",22489
,"Arizona","04","2023","2023","Cesarean","2",22675
,"Arkansas","05","2010","2010","Cesarean","2",13412
,"Arkansas","05","2011","2011","Cesarean","2",13187
,"Arkansas","05","2012","2012","Cesarean","2",13282
,"Arkansas","05","2013","2013","Cesarean","2",12958
,"Arkansas","05","2014","2014","Cesarean","2",12338
,"Arkansas","05","2015","2015","Cesarean","2",12545
,"Arkansas","05","2016","2016","Cesarean","2",12354
,"Arkansas","05","2017","2017","Cesarean","2",12565
,"Arkansas","05","2018","2018","Cesarean","2",12876
,"Arkansas","05","2019","2019","Cesarean","2",12604
,"Arkansas","05","2020","2020","Cesarean","2",11917
,"Arkansas","05","2021","2021","Cesarean","2",12339
,"Arkansas","05","2022","2022","Cesarean","2",11938
,"Arkansas","05","2023","2023","Cesarean","2",11918
,"California","06","2010","2010","Cesarean","2",168417
,"California","06","2011","2011","Cesarean","2",166661
,"California","06","2012","2012","Cesarean","2",167365
,"California","06","2013","2013","Cesarean","2",164375
,"California","06","2014","2014","Cesarean","2",164472
,"California","06","2015","2015","Cesarean","2",158646
,"California","06","2016","2016","Cesarean","2",155952
,"California","06","2017","2017","Cesarean","2",148077
,"California","06","2018","2018","Cesarean","2",140464
,"California","06","2019","2019","Cesarean","2",137337
,"California","06","2020","2020","Cesarean","2",128196
,"California","06","2021","2021","Cesarean","2",129401
,"California","06","2022","2022","Cesarean","2",129910
,"California","06","2023","2023","Cesarean","2",126099
,"Florida","12","2010","2010","Cesarean","2",81046
,"Florida","12","2011","2011","Cesarean","2",81345
,"Florida","12","2012","2012","Cesarean","2",81230
,"Florida","12","2013","2013","Cesarean","2",81237
,"Florida","12","2014","2014","Cesarean","2",81707
,"Florida","12","2015","2015","Cesarean","2",83715
,"Florida","12","2016","2016","Cesarean","2",84204
,"Florida","12","2017","2017","Cesarean","2",83124
,"Florida","12","2018","2018","Cesarean","2",81550
,"Florida","12","2019","2019","Cesarean","2",80321
,"Florida","12","2020","2020","Cesarean","2",75166
,"Florida","12","2021","2021","Cesarean","2",77295
,"Florida","12","2022","2022","Cesarean","2",80526
,"Florida","12","2023","2023","Cesarean","2",80137
,"Georgia","13","2010","2010","Cesarean","2",45323
,"Georgia","13","2011","2011","Cesarean","2",44433
,"Georgia","13","2012","2012","Cesarean","2",44005
,"Georgia","13","2013","2013","Cesarean","2",43920
,"Georgia","13","2014","2014","Cesarean","2",44242
,"Georgia","13","2015","2015","Cesarean","2",44129
,"Georgia","13","2016","2016","Cesarean","2",43935
,"Georgia","13","2017","2017","Cesarean","2",44098
,"Georgia","13","2018","2018","Cesarean","2",42851
,"Georgia","13","2019","2019","Cesarean","2",43360
,"Georgia","13","2020","2020","Cesarean","2",41462
,"Georgia","13","2021","2021","Cesarean","2",43474
,"Georgia","13","2022","2022","Cesarean","2",44412
,"Georgia","13","2023","2023","Cesarean","2",44742
,"Illinois","17","2010","2010","Cesarean","2",51435
,"Illinois","17","2011","2011","Cesarean","2",51066
,"Illinois","17","2012","2012","Cesarean","2",50761
,"Illinois","17","2013","2013","Cesarean","2",49673
