"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Delivery Method"	"Delivery Method Code"	Births
	"Arizona"	"04"	"2010"	"2010"	"Vaginal"	"1"	63343
	"Arizona"	"04"	"2010"	"2010"	"Cesarean"	"2"	23629
	"Arizona"	"04"	"2010"	"2010"	"Unknown or Not Stated"	"9"	505
	"Arizona"	"04"	"2011"	"2011"	"Vaginal"	"1"	61655
	"Arizona"	"04"	"2011"	"2011"	"Cesarean"	"2"	23449
	"Arizona"	"04"	"2011"	"2011"	"Unknown or Not Stated"	"9"	439
	"Arizona"	"04"	"2012"	"2012"	"Vaginal"	"1"	62591
	"Arizona"	"04"	"2012"	"2012"	"Cesarean"	"2"	23405
	"Arizona"	"04"	"2012"	"2012"	"Unknown or Not Stated"	"9"	445
	"Arizona"	"04"	"2013"	"2013"	"Vaginal"	"1"	61799
	"Arizona"	"04"	"2013"	"2013"	"Cesarean"	"2"	23347
	"Arizona"	"04"	"2013"	"2013"	"Unknown or Not Stated"	"9"	454
	"Arizona"	"04"	"2014"	"2014"	"Vaginal"	"1"	62741
	"Arizona"	"04"	"2014"	"2014"	"Cesarean"	"2"	24146
	"Arizona"	"04"	"2014"	"2014"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2015"	"2015"	"Vaginal"	"1"	61834
	"Arizona"	"04"	"2015"	"2015"	"Cesarean"	"2"	23516
	"Arizona"	"04"	"2015"	"2015"	"Unknown or Not Stated"	"9"	Suppressed
	"Arizona"	"04"	"2016"	"2016"	"Vaginal"	"1"	61297
	"Arizona"	"04"	"2016"	"2016"	"Cesarean"	"2"	23220
	"Arizona"	"04"	"2016"	"2016"	"Unknown or Not Stated"	"9"	Suppressed
	"Arizona"	"04"	"2017"	"2017"	"Vaginal"	"1"	59884
	"Arizona"	"04"	"2017"	"2017"	"Cesarean"	"2"	21986
	"Arizona"	"04"	"2017"	"2017"	"Unknown or Not Stated"	"9"	Suppressed
	"Arizona"	"04"	"2018"	"2018"	"Vaginal"	"1"	58521
