"Notes","State","State Code","Year","Year Code","Marital Status","Marital Status Code",Births
,"Arizona","04","2010","2010","Unmarried","2",39294
,"Arizona","04","2011","2011","Unmarried","2",38227
,"Arizona","04","2012","2012","Unmarried","2",39319
,"Arizona","04","2013","2013","Unmarried","2",38875
,"Arizona","04","2014","2014","Unmarried","2",39224
,"Arizona","04","2015","2015","Unmarried","2",38862
,"Arizona","04","2016","2016","Unmarried","2",38053
,"Arizona","04","2017","2017","Unmarried","2",36604
,"Arizona","04","2018","2018","Unmarried","2",36180
,"Arizona","04","2019","2019","Unmarried","2",35833
,"Arizona","04","2020","2020","Unmarried","2",34737
,"Arizona","04","2021","2021","Unmarried","2",35296
,"Arizona","04","2022","2022","Unmarried","2",35302
,"Arizona","04","2023","2023","Unmarried","2",35527
,"Arkansas","05","2010","2010","Unmarried","2",17465
,"Arkansas","05","2011","2011","Unmarried","2",17370
,"Arkansas","05","2012","2012","Unmarried","2",17325
,"Arkansas","05","2013","2013","Unmarried","2",17034
,"Arkansas","05","2014","2014","Unmarried","2",16925
,"Arkansas","05","2015","2015","Unmarried","2",17502
,"Arkansas","05","2016","2016","Unmarried","2",17036
,"Arkansas","05","2017","2017","Unmarried","2",17072
,"Arkansas","05","2018","2018","Unmarried","2",16795
,"Arkansas","05","2019","2019","Unmarried","2",17107
,"Arkansas","05","2020","2020","Unmarried","2",16495
,"Arkansas","05","2021","2021","Unmarried","2",16654
,"Arkansas","05","2022","2022","Unmarried","2",16041
,"Arkansas","05","2023","2023","Unmarried","2",16244
,"California","06","2010","2010","Unmarried","2",206573
,"California","06","2011","2011","Unmarried","2",202689
,"California","06","2012","2012","Unmarried","2",202026
,"California","06","2013","2013","Unmarried","2",196299
,"California","06","2014","2014","Unmarried","2",194960
,"California","06","2015","2015","Unmarried","2",190990
,"California","06","2016","2016","Unmarried","2",186851
,"California","06","2017","2017","Unmarried","2",435
,"California","06","2018","2018","Unmarried","2",0
,"California","06","2019","2019","Unmarried","2",0
,"California","06","2020","2020","Unmarried","2",0
,"California","06","2021","2021","Unmarried","2",0
