"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Marital Status"	"Marital Status Code"	Births
	"Arizona"	"04"	"2010"	"2010"	"Married"	"1"	48183
	"Arizona"	"04"	"2010"	"2010"	"Unmarried"	"2"	39294
	"Arizona"	"04"	"2010"	"2010"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2010"	"2010"	"Not Reported"	"NR"	0
	"Arizona"	"04"	"2011"	"2011"	"Married"	"1"	47316
	"Arizona"	"04"	"2011"	"2011"	"Unmarried"	"2"	38227
	"Arizona"	"04"	"2011"	"2011"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2011"	"2011"	"Not Reported"	"NR"	0
	"Arizona"	"04"	"2012"	"2012"	"Married"	"1"	47122
	"Arizona"	"04"	"2012"	"2012"	"Unmarried"	"2"	39319
	"Arizona"	"04"	"2012"	"2012"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2012"	"2012"	"Not Reported"	"NR"	0
	"Arizona"	"04"	"2013"	"2013"	"Married"	"1"	46725
	"Arizona"	"04"	"2013"	"2013"	"Unmarried"	"2"	38875
	"Arizona"	"04"	"2013"	"2013"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2013"	"2013"	"Not Reported"	"NR"	0
	"Arizona"	"04"	"2014"	"2014"	"Married"	"1"	47663
	"Arizona"	"04"	"2014"	"2014"	"Unmarried"	"2"	39224
	"Arizona"	"04"	"2014"	"2014"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2014"	"2014"	"Not Reported"	"NR"	0
	"Arizona"	"04"	"2015"	"2015"	"Married"	"1"	46489
	"Arizona"	"04"	"2015"	"2015"	"Unmarried"	"2"	38862
	"Arizona"	"04"	"2015"	"2015"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2015"	"2015"	"Not Reported"	"NR"	0
	"Arizona"	"04"	"2016"	"2016"	"Married"	"1"	46467
	"Arizona"	"04"	"2016"	"2016"	"Unmarried"	"2"	38053
	"Arizona"	"04"	"2016"	"2016"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2016"	"2016"	"Not Reported"	"NR"	0
	"Arizona"	"04"	"2017"	"2017"	"Married"	"1"	45160
	"Arizona"	"04"	"2017"	"2017"	"Unmarried"	"2"	36604
	"Arizona"	"04"	"2017"	"2017"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2017"	"2017"	"Not Reported"	"NR"	108
	"Arizona"	"04"	"2018"	"2018"	"Married"	"1"	44427
	"Arizona"	"04"	"2018"	"2018"	"Unmarried"	"2"	36180
	"Arizona"	"04"	"2018"	"2018"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2018"	"2018"	"Not Reported"	"NR"	116
	"Arizona"	"04"	"2019"	"2019"	"Married"	"1"	43435
	"Arizona"	"04"	"2019"	"2019"	"Unmarried"	"2"	35833
	"Arizona"	"04"	"2019"	"2019"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2019"	"2019"	"Not Reported"	"NR"	107
	"Arizona"	"04"	"2020"	"2020"	"Married"	"1"	42100
	"Arizona"	"04"	"2020"	"2020"	"Unmarried"	"2"	34737
	"Arizona"	"04"	"2020"	"2020"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2020"	"2020"	"Not Reported"	"NR"	110
	"Arizona"	"04"	"2021"	"2021"	"Married"	"1"	42479
	"Arizona"	"04"	"2021"	"2021"	"Unmarried"	"2"	35296
	"Arizona"	"04"	"2021"	"2021"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2021"	"2021"	"Not Reported"	"NR"	141
	"Arizona"	"04"	"2022"	"2022"	"Married"	"1"	43073
	"Arizona"	"04"	"2022"	"2022"	"Unmarried"	"2"	35302
	"Arizona"	"04"	"2022"	"2022"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2022"	"2022"	"Not Reported"	"NR"	172
	"Arizona"	"04"	"2023"	"2023"	"Married"	"1"	42440
	"Arizona"	"04"	"2023"	"2023"	"Unmarried"	"2"	35527
	"Arizona"	"04"	"2023"	"2023"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2023"	"2023"	"Not Reported"	"NR"	129
	"Arkansas"	"05"	"2010"	"2010"	"Married"	"1"	21075
	"Arkansas"	"05"	"2010"	"2010"	"Unmarried"	"2"	17465
	"Arkansas"	"05"	"2010"	"2010"	"Unknown or Not Stated"	"9"	0
	"Arkansas"	"05"	"2010"	"2010"	"Not Reported"	"NR"	0
	"Arkansas"	"05"	"2011"	"2011"	"Married"	"1"	21345
	"Arkansas"	"05"	"2011"	"2011"	"Unmarried"	"2"	17370
	"Arkansas"	"05"	"2011"	"2011"	"Unknown or Not Stated"	"9"	0
	"Arkansas"	"05"	"2011"	"2011"	"Not Reported"	"NR"	0
	"Arkansas"	"05"	"2012"	"2012"	"Married"	"1"	21022
	"Arkansas"	"05"	"2012"	"2012"	"Unmarried"	"2"	17325
	"Arkansas"	"05"	"2012"	"2012"	"Unknown or Not Stated"	"9"	0
	"Arkansas"	"05"	"2012"	"2012"	"Not Reported"	"NR"	0
