"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month Prenatal Care Began"	"Month Prenatal Care Began Code"	Births
	"Arizona"	"04"	"2010"	"2010"	"No prenatal care"	"00"	0
	"Arizona"	"04"	"2010"	"2010"	"1st month"	"01"	0
	"Arizona"	"04"	"2010"	"2010"	"2nd month"	"02"	0
	"Arizona"	"04"	"2010"	"2010"	"3rd month"	"03"	0
	"Arizona"	"04"	"2010"	"2010"	"4th month"	"04"	0
	"Arizona"	"04"	"2010"	"2010"	"5th month"	"05"	0
	"Arizona"	"04"	"2010"	"2010"	"6th month"	"06"	0
	"Arizona"	"04"	"2010"	"2010"	"7th month"	"07"	0
	"Arizona"	"04"	"2010"	"2010"	"8th month"	"08"	0
	"Arizona"	"04"	"2010"	"2010"	"9th month"	"09"	0
	"Arizona"	"04"	"2010"	"2010"	"10th month"	"10"	0
	"Arizona"	"04"	"2010"	"2010"	"Unknown or Not Stated"	"99"	0
	"Arizona"	"04"	"2010"	"2010"	"Not Reported"	"98"	87477
	"Arizona"	"04"	"2011"	"2011"	"No prenatal care"	"00"	0
	"Arizona"	"04"	"2011"	"2011"	"1st month"	"01"	0
	"Arizona"	"04"	"2011"	"2011"	"2nd month"	"02"	0
	"Arizona"	"04"	"2011"	"2011"	"3rd month"	"03"	0
	"Arizona"	"04"	"2011"	"2011"	"4th month"	"04"	0
	"Arizona"	"04"	"2011"	"2011"	"5th month"	"05"	0
	"Arizona"	"04"	"2011"	"2011"	"6th month"	"06"	0
	"Arizona"	"04"	"2011"	"2011"	"7th month"	"07"	0
	"Arizona"	"04"	"2011"	"2011"	"8th month"	"08"	0
	"Arizona"	"04"	"2011"	"2011"	"9th month"	"09"	0
	"Arizona"	"04"	"2011"	"2011"	"10th month"	"10"	0
	"Arizona"	"04"	"2011"	"2011"	"Unknown or Not Stated"	"99"	0
	"Arizona"	"04"	"2011"	"2011"	"Not Reported"	"98"	85543
	"Arizona"	"04"	"2012"	"2012"	"No prenatal care"	"00"	0
	"Arizona"	"04"	"2012"	"2012"	"1st month"	"01"	0
	"Arizona"	"04"	"2012"	"2012"	"2nd month"	"02"	0
	"Arizona"	"04"	"2012"	"2012"	"3rd month"	"03"	0
	"Arizona"	"04"	"2012"	"2012"	"4th month"	"04"	0
	"Arizona"	"04"	"2012"	"2012"	"5th month"	"05"	0
	"Arizona"	"04"	"2012"	"2012"	"6th month"	"06"	0
	"Arizona"	"04"	"2012"	"2012"	"7th month"	"07"	0
	"Arizona"	"04"	"2012"	"2012"	"8th month"	"08"	0
	"Arizona"	"04"	"2012"	"2012"	"9th month"	"09"	0
	"Arizona"	"04"	"2012"	"2012"	"10th month"	"10"	0
	"Arizona"	"04"	"2012"	"2012"	"Unknown or Not Stated"	"99"	0
	"Arizona"	"04"	"2012"	"2012"	"Not Reported"	"98"	86441
	"Arizona"	"04"	"2013"	"2013"	"No prenatal care"	"00"	0
	"Arizona"	"04"	"2013"	"2013"	"1st month"	"01"	0
	"Arizona"	"04"	"2013"	"2013"	"2nd month"	"02"	0
	"Arizona"	"04"	"2013"	"2013"	"3rd month"	"03"	0
	"Arizona"	"04"	"2013"	"2013"	"4th month"	"04"	0
	"Arizona"	"04"	"2013"	"2013"	"5th month"	"05"	0
	"Arizona"	"04"	"2013"	"2013"	"6th month"	"06"	0
	"Arizona"	"04"	"2013"	"2013"	"7th month"	"07"	0
	"Arizona"	"04"	"2013"	"2013"	"8th month"	"08"	0
	"Arizona"	"04"	"2013"	"2013"	"9th month"	"09"	0
	"Arizona"	"04"	"2013"	"2013"	"10th month"	"10"	0
	"Arizona"	"04"	"2013"	"2013"	"Unknown or Not Stated"	"99"	0
	"Arizona"	"04"	"2013"	"2013"	"Not Reported"	"98"	85600
	"Arizona"	"04"	"2014"	"2014"	"No prenatal care"	"00"	1862
	"Arizona"	"04"	"2014"	"2014"	"1st month"	"01"	8553
	"Arizona"	"04"	"2014"	"2014"	"2nd month"	"02"	34117
	"Arizona"	"04"	"2014"	"2014"	"3rd month"	"03"	20467
	"Arizona"	"04"	"2014"	"2014"	"4th month"	"04"	8059
	"Arizona"	"04"	"2014"	"2014"	"5th month"	"05"	4513
	"Arizona"	"04"	"2014"	"2014"	"6th month"	"06"	2887
	"Arizona"	"04"	"2014"	"2014"	"7th month"	"07"	2258
	"Arizona"	"04"	"2014"	"2014"	"8th month"	"08"	1730
	"Arizona"	"04"	"2014"	"2014"	"9th month"	"09"	794
	"Arizona"	"04"	"2014"	"2014"	"10th month"	"10"	20
	"Arizona"	"04"	"2014"	"2014"	"Unknown or Not Stated"	"99"	1627
	"Arizona"	"04"	"2014"	"2014"	"Not Reported"	"98"	0
	"Arizona"	"04"	"2015"	"2015"	"No prenatal care"	"00"	1888
	"Arizona"	"04"	"2015"	"2015"	"1st month"	"01"	7053
	"Arizona"	"04"	"2015"	"2015"	"2nd month"	"02"	33852
	"Arizona"	"04"	"2015"	"2015"	"3rd month"	"03"	20815
	"Arizona"	"04"	"2015"	"2015"	"4th month"	"04"	7952
	"Arizona"	"04"	"2015"	"2015"	"5th month"	"05"	4439
	"Arizona"	"04"	"2015"	"2015"	"6th month"	"06"	2806
	"Arizona"	"04"	"2015"	"2015"	"7th month"	"07"	2308
	"Arizona"	"04"	"2015"	"2015"	"8th month"	"08"	1785
	"Arizona"	"04"	"2015"	"2015"	"9th month"	"09"	747
	"Arizona"	"04"	"2015"	"2015"	"10th month"	"10"	18
	"Arizona"	"04"	"2015"	"2015"	"Unknown or Not Stated"	"99"	1688
	"Arizona"	"04"	"2015"	"2015"	"Not Reported"	"98"	0
	"Arizona"	"04"	"2016"	"2016"	"No prenatal care"	"00"	2041
	"Arizona"	"04"	"2016"	"2016"	"1st month"	"01"	5683
	"Arizona"	"04"	"2016"	"2016"	"2nd month"	"02"	33533
	"Arizona"	"04"	"2016"	"2016"	"3rd month"	"03"	21208
	"Arizona"	"04"	"2016"	"2016"	"4th month"	"04"	7760
	"Arizona"	"04"	"2016"	"2016"	"5th month"	"05"	4402
	"Arizona"	"04"	"2016"	"2016"	"6th month"	"06"	2915
	"Arizona"	"04"	"2016"	"2016"	"7th month"	"07"	2313
	"Arizona"	"04"	"2016"	"2016"	"8th month"	"08"	1885
	"Arizona"	"04"	"2016"	"2016"	"9th month"	"09"	828
	"Arizona"	"04"	"2016"	"2016"	"10th month"	"10"	11
	"Arizona"	"04"	"2016"	"2016"	"Unknown or Not Stated"	"99"	1941
	"Arizona"	"04"	"2016"	"2016"	"Not Reported"	"98"	0
	"Arizona"	"04"	"2017"	"2017"	"No prenatal care"	"00"	2365
	"Arizona"	"04"	"2017"	"2017"	"1st month"	"01"	4854
	"Arizona"	"04"	"2017"	"2017"	"2nd month"	"02"	32382
	"Arizona"	"04"	"2017"	"2017"	"3rd month"	"03"	20823
	"Arizona"	"04"	"2017"	"2017"	"4th month"	"04"	7643
	"Arizona"	"04"	"2017"	"2017"	"5th month"	"05"	4272
	"Arizona"	"04"	"2017"	"2017"	"6th month"	"06"	2851
	"Arizona"	"04"	"2017"	"2017"	"7th month"	"07"	2222
	"Arizona"	"04"	"2017"	"2017"	"8th month"	"08"	1814
	"Arizona"	"04"	"2017"	"2017"	"9th month"	"09"	769
	"Arizona"	"04"	"2017"	"2017"	"10th month"	"10"	17
	"Arizona"	"04"	"2017"	"2017"	"Unknown or Not Stated"	"99"	1860
	"Arizona"	"04"	"2017"	"2017"	"Not Reported"	"98"	0
	"Arizona"	"04"	"2018"	"2018"	"No prenatal care"	"00"	2268
	"Arizona"	"04"	"2018"	"2018"	"1st month"	"01"	4429
	"Arizona"	"04"	"2018"	"2018"	"2nd month"	"02"	31699
	"Arizona"	"04"	"2018"	"2018"	"3rd month"	"03"	21335
	"Arizona"	"04"	"2018"	"2018"	"4th month"	"04"	7490
	"Arizona"	"04"	"2018"	"2018"	"5th month"	"05"	4175
	"Arizona"	"04"	"2018"	"2018"	"6th month"	"06"	2731
	"Arizona"	"04"	"2018"	"2018"	"7th month"	"07"	2380
	"Arizona"	"04"	"2018"	"2018"	"8th month"	"08"	1950
	"Arizona"	"04"	"2018"	"2018"	"9th month"	"09"	837
	"Arizona"	"04"	"2018"	"2018"	"10th month"	"10"	16
	"Arizona"	"04"	"2018"	"2018"	"Unknown or Not Stated"	"99"	1413
