State,Year,Births,ChronicHypertensionBirths,DiabetesBirths,EnclampsiaBirths,Pregnancy-AssociatedHypertensionBirths,TobaccoUseBirths,HospitalBirths,BirthCenterBirths,ResidenceBirths,MD_Delivery,DO_Delivery,CNM_Delivery,OtherMidwife_Delivery,Other_Delivery_Attendant,Vaginal_Delivery,Cesarean_Delivery,Married,Unmarried,NoPrenatalCare,1stMonthInitialCare,2ndMonthInitialCare,3rdMonthInitialCare,4thMonthInitialCare,5thMonthInitialCare,6thMonthInitialCare,7thMonthInitialCare,8thMonthInitialCare,9thMonthInitialCare,UnknownInitialCare,NotReportedInitialCare,Under20Weeks,20-27Weeks,28-31Weeks,32-35Weeks,36Weeks,37-39Weeks,40Weeks,41Weeks,42PlusWeeks
Arizona,2010,87477,769,3694.0,769.0,3441.0,0.0,86346.0,437,663.0,72469.0,8937.0,5249.0,642.0,177,63343.0,23629.0,48183.0,39294.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,87477.0,42,465,667.0,3579.0,3697.0,55528.0,18468,4671.0,337.0
Arizona,2011,85543,711,4014.0,772.0,3599.0,0.0,84380.0,454,679.0,71480.0,8295.0,4825.0,752.0,178,61655.0,23449.0,47316.0,38227.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,85543.0,41,546,618.0,3421.0,3354.0,54646.0,18076,4482.0,321.0
Arizona,2012,86441,807,4452.0,634.0,3903.0,0.0,85177.0,505,724.0,71309.0,8526.0,5617.0,781.0,199,62591.0,23405.0,47122.0,39319.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,86441.0,54,480,688.0,3476.0,3290.0,55425.0,18265,4441.0,271.0
Arizona,2013,85600,956,4919.0,604.0,4791.0,0.0,84450.0,459,672.0,70436.0,8545.0,5568.0,802.0,235,61799.0,23347.0,46725.0,38875.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,85600.0,49,437,641.0,3430.0,3218.0,54667.0,18067,4787.0,261.0
Arizona,2014,86887,1039,6126.0,341.0,4567.0,4675.0,85628.0,511,702.0,71286.0,9011.0,6252.0,90.0,238,62741.0,24146.0,47663.0,39224.0,1862.0,8553.0,34117.0,20467,8059,4513.0,2887.0,2258,1730,794.0,1627.0,0.0,35,474,664.0,3440.0,3206.0,55382.0,17920,5388.0,290.0
Arizona,2015,85351,972,7224.0,150.0,5118.0,4484.0,84090.0,492,716.0,68443.0,10016.0,6551.0,90.0,236,61834.0,23516.0,46489.0,38862.0,1888.0,7053.0,33852.0,20815,7952,4439.0,2806.0,2308,1785,747.0,1688.0,0.0,34,416,671.0,3389.0,3214.0,54675.0,17381,5197.0,286.0
Arizona,2016,84520,975,7188.0,160.0,5275.0,4076.0,83081.0,582,775.0,66639.0,10808.0,6685.0,57.0,310,61297.0,23220.0,46467.0,38053.0,2041.0,5683.0,33533.0,21208,7760,4402.0,2915.0,2313,1885,828.0,1941.0,0.0,30,452,637.0,3331.0,3204.0,54292.0,17118,5133.0,231.0
Arizona,2017,81872,1064,7114.0,146.0,5523.0,3910.0,80473.0,607,706.0,63809.0,11020.0,6694.0,79.0,253,59884.0,21986.0,45160.0,36604.0,2365.0,4854.0,32382.0,20823,7643,4272.0,2851.0,2222,1814,769.0,1860.0,0.0,25,437,628.0,3342.0,3146.0,52693.0,16335,4930.0,213.0
Arizona,2018,80723,1133,7785.0,130.0,6224.0,3702.0,79284.0,702,667.0,63036.0,10562.0,6825.0,54.0,220,58521.0,22199.0,44427.0,36180.0,2268.0,4429.0,31699.0,21335,7490,4175.0,2731.0,2380,1950,837.0,1413.0,0.0,18,446,663.0,3394.0,3152.0,52934.0,15417,4413.0,190.0
Arizona,2019,79375,1207,7769.0,116.0,6357.0,3526.0,78020.0,584,706.0,60269.0,11056.0,7671.0,32.0,338,57330.0,22039.0,43435.0,35833.0,2084.0,3900.0,30735.0,20727,7392,4147.0,2874.0,2478,2122,931.0,1972.0,0.0,23,394,648.0,3279.0,3091.0,52862.0,14868,3998.0,160.0
Arizona,2020,76947,1238,8273.0,105.0,6841.0,2878.0,75355.0,594,931.0,56796.0,10520.0,9183.0,57.0,383,55076.0,21870.0,42100.0,34737.0,1933.0,3616.0,29326.0,20765,7207,4046.0,2716.0,2306,1972,945.0,2097.0,0.0,24,405,554.0,3234.0,3072.0,50904.0,14328,4171.0,159.0
Arizona,2021,77916,1442,8696.0,138.0,7066.0,2560.0,76054.0,704,1065.0,57269.0,10300.0,9948.0,62.0,330,55545.0,22368.0,42479.0,35296.0,1981.0,4200.0,31809.0,20857,6722,3545.0,2605.0,2295,1766,798.0,1326.0,0.0,32,438,650.0,3475.0,3200.0,51526.0,14318,4066.0,153.0
Arizona,2022,78547,1479,8987.0,146.0,7786.0,2076.0,76557.0,728,1182.0,57276.0,10548.0,10212.0,71.0,410,56055.0,22489.0,43073.0,35302.0,1881.0,4325.0,31541.0,21252,6829,3779.0,2532.0,2184,1700,731.0,1785.0,0.0,34,404,627.0,3424.0,3240.0,51750.0,14481,4352.0,160.0
Arizona,2023,78096,1647,9165.0,127.0,8090.0,1706.0,76124.0,722,1157.0,56551.0,10739.0,10390.0,47.0,360,55418.0,22675.0,42440.0,35527.0,1892.0,3759.0,29586.0,22952,7288,3900.0,2666.0,2282,1751,693.0,1317.0,0.0,22,457,619.0,3488.0,3115.0,51682.0,14147,4321.0,168.0
Arkansas,2010,38540,564,1267.0,76.0,1692.0,0.0,38224.0,Suppressed,295.0,36457.0,1350.0,343.0,187.0,197,24829.0,13412.0,21075.0,17465.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,38540.0,13,265,375.0,1782.0,1701.0,25719.0,6930,1488.0,152.0
Arkansas,2011,38715,694,1582.0,64.0,1757.0,0.0,38371.0,10,319.0,36466.0,1464.0,349.0,200.0,225,25263.0,13187.0,21345.0,17370.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,38715.0,17,298,421.0,1798.0,1628.0,25691.0,6923,1648.0,150.0
