State,Year,Births,ChronicHypertensionBirths,DiabetesBirths,EnclampsiaBirths,Pregnancy-AssociatedHypertensionBirths,TobaccoUseBirths,HospitalBirths,BirthCenterBirths,ResidenceBirths,MD_Delivery,DO_Delivery,CNM_Delivery,OtherMidwife_Delivery,Other_Delivery_Attendant,Vaginal_Delivery,Cesarean_Delivery,Married,Unmarried,NoPrenatalCare,1stMonthInitialCare,2ndMonthInitialCare,3rdMonthInitialCare,4thMonthInitialCare,5thMonthInitialCare,6thMonthInitialCare,7thMonthInitialCare,8thMonthInitialCare,9thMonthInitialCare,UnknownInitialCare,NotReportedInitialCare,Under20Weeks,20-27Weeks,28-31Weeks,32-35Weeks,36Weeks,37-39Weeks,40Weeks,41Weeks,42PlusWeeks
Arizona,2010,87477,769,3694,769,3441,0,86346,437,663,72469,8937,5249,642,177,63343,23629,48183,39294,0,0,0,0,0,0,0,0,0,0,0,87477,42,465,667,3579,3697,55528,18468,4671,337
Arizona,2011,85543,711,4014,772,3599,0,84380,454,679,71480,8295,4825,752,178,61655,23449,47316,38227,0,0,0,0,0,0,0,0,0,0,0,85543,41,546,618,3421,3354,54646,18076,4482,321
Arizona,2012,86441,807,4452,634,3903,0,85177,505,724,71309,8526,5617,781,199,62591,23405,47122,39319,0,0,0,0,0,0,0,0,0,0,0,86441,54,480,688,3476,3290,55425,18265,4441,271
Arizona,2013,85600,956,4919,604,4791,0,84450,459,672,70436,8545,5568,802,235,61799,23347,46725,38875,0,0,0,0,0,0,0,0,0,0,0,85600,49,437,641,3430,3218,54667,18067,4787,261
Arizona,2014,86887,1039,6126,341,4567,4675,85628,511,702,71286,9011,6252,90,238,62741,24146,47663,39224,1862,8553,34117,20467,8059,4513,2887,2258,1730,794,1627,0,35,474,664,3440,3206,55382,17920,5388,290
Arizona,2015,85351,972,7224,150,5118,4484,84090,492,716,68443,10016,6551,90,236,61834,23516,46489,38862,1888,7053,33852,20815,7952,4439,2806,2308,1785,747,1688,0,34,416,671,3389,3214,54675,17381,5197,286
Arizona,2016,84520,975,7188,160,5275,4076,83081,582,775,66639,10808,6685,57,310,61297,23220,46467,38053,2041,5683,33533,21208,7760,4402,2915,2313,1885,828,1941,0,30,452,637,3331,3204,54292,17118,5133,231
Arizona,2017,81872,1064,7114,146,5523,3910,80473,607,706,63809,11020,6694,79,253,59884,21986,45160,36604,2365,4854,32382,20823,7643,4272,2851,2222,1814,769,1860,0,25,437,628,3342,3146,52693,16335,4930,213
Arizona,2018,80723,1133,7785,130,6224,3702,79284,702,667,63036,10562,6825,54,220,58521,22199,44427,36180,2268,4429,31699,21335,7490,4175,2731,2380,1950,837,1413,0,18,446,663,3394,3152,52934,15417,4413,190
Arizona,2019,79375,1207,7769,116,6357,3526,78020,584,706,60269,11056,7671,32,338,57330,22039,43435,35833,2084,3900,30735,20727,7392,4147,2874,2478,2122,931,1972,0,23,394,648,3279,3091,52862,14868,3998,160
Arizona,2020,76947,1238,8273,105,6841,2878,75355,594,931,56796,10520,9183,57,383,55076,21870,42100,34737,1933,3616,29326,20765,7207,4046,2716,2306,1972,945,2097,0,24,405,554,3234,3072,50904,14328,4171,159
Arizona,2021,77916,1442,8696,138,7066,2560,76054,704,1065,57269,10300,9948,62,330,55545,22368,42479,35296,1981,4200,31809,20857,6722,3545,2605,2295,1766,798,1326,0,32,438,650,3475,3200,51526,14318,4066,153
Arizona,2022,78547,1479,8987,146,7786,2076,76557,728,1182,57276,10548,10212,71,410,56055,22489,43073,35302,1881,4325,31541,21252,6829,3779,2532,2184,1700,731,1785,0,34,404,627,3424,3240,51750,14481,4352,160
Arizona,2023,78096,1647,9165,127,8090,1706,76124,722,1157,56551,10739,10390,47,360,55418,22675,42440,35527,1892,3759,29586,22952,7288,3900,2666,2282,1751,693,1317,0,22,457,619,3488,3115,51682,14147,4321,168
Arkansas,2010,38540,564,1267,76,1692,0,38224,Suppressed,295,36457,1350,343,187,197,24829,13412,21075,17465,0,0,0,0,0,0,0,0,0,0,0,38540,13,265,375,1782,1701,25719,6930,1488,152
Arkansas,2011,38715,694,1582,64,1757,0,38371,10,319,36466,1464,349,200,225,25263,13187,21345,17370,0,0,0,0,0,0,0,0,0,0,0,38715,17,298,421,1798,1628,25691,6923,1648,150
Arkansas,2012,38347,643,1579,61,1783,0,37943,Suppressed,384,36007,1614,241,260,204,24824,13282,21022,17325,0,0,0,0,0,0,0,0,0,0,0,38347,13,303,380,1802,1492,25922,6600,1592,115
Arkansas,2013,37832,648,1459,87,1943,0,37381,32,396,35607,1545,210,269,181,24679,12958,20798,17034,0,0,0,0,0,0,0,0,0,0,0,37832,11,286,376,1682,1470,25333,6625,1738,132
Arkansas,2014,38511,656,2055,102,1846,5729,37979,121,381,35812,1964,186,248,204,26173,12338,21586,16925,853,1858,10228,9577,4206,2540,1544,1230,675,263,5533,0,Suppressed,261,353,1775,1449,25945,7023,1562,105
Arkansas,2015,38886,641,2088,91,2068,5593,38349,138,362,36089,2141,194,254,177,26341,12545,21384,17502,943,1510,11069,10149,3867,2232,1469,1324,728,289,5302,0,Suppressed,283,400,1891,1627,26373,6648,1527,109
Arkansas,2016,38274,694,2109,132,2007,5224,37753,101,349,35378,2217,169,258,236,25919,12354,21238,17036,1047,1738,11414,9954,3430,2083,1490,1522,824,298,4471,0,Suppressed,276,422,1763,1687,25821,6806,1397,70
Arkansas,2017,37520,824,2160,251,2106,5042,37098,87,292,34484,2414,158,191,259,24949,12565,20441,17072,1237,2447,12179,10275,3599,2025,1372,1314,729,269,2073,0,17,270,386,1886,1709,25585,6271,1315,65
Arkansas,2018,37018,827,2222,80,2494,4959,36580,71,326,33981,2376,161,219,269,24138,12876,20217,16795,924,958,13474,11396,3809,2160,1435,1325,779,316,437,0,10,256,378,1929,1726,25498,5943,1163,89
Arkansas,2019,36564,892,2423,77,2838,4372,36169,Suppressed,326,33434,2594,164,204,162,23958,12604,19451,17107,790,794,14242,10970,3586,2040,1409,1202,864,283,381,0,18,270,405,1885,1784,25723,5487,923,62
Arkansas,2020,35251,874,2624,202,2819,4061,34841,12,353,32224,2507,136,235,137,23330,11917,18753,16495,938,652,13457,10801,3518,1999,1253,1195,788,297,347,0,15,238,352,1922,1615,25282,4904,835,62
Arkansas,2021,35965,1088,2829,239,3260,3411,35471,Suppressed,441,32884,2495,111,281,188,23622,12339,19305,16654,1043,604,13950,10927,3166,1812,1237,1435,1009,417,363,0,19,263,422,1910,1714,25787,4907,864,54
Arkansas,2022,35471,1092,2749,377,3431,2801,34899,10,513,32523,2216,149,338,240,23532,11938,19406,16041,1189,550,14097,10434,3429,1850,1189,1242,824,306,358,0,19,242,365,1831,1717,25503,4842,876,49
Arkansas,2023,35264,1285,2983,180,3752,2267,34629,Suppressed,576,32179,2250,283,367,180,23342,11918,19014,16244,1026,407,13489,11531,3299,1822,1176,1164,800,316,233,0,18,283,340,1841,1777,25372,4699,846,55
California,2010,510198,2642,21114,445,12061,12048,506302,623,2844,443581,17222,42974,1653,4432,341776,168417,303625,206573,2518,52420,208864,145636,41400,19452,11423,7002,4833,2354,14015,0,111,2673,3828,19433,17534,304381,122422,35686,2934
California,2011,502120,3162,24022,525,13255,11092,497952,720,3054,435228,18664,41790,1909,4214,335455,166661,299431,202689,2406,48866,208020,145806,40655,18917,10967,6873,4802,2345,12161,0,78,2593,3894,19099,16970,301519,118645,35496,2726
California,2012,503755,3460,27914,566,14672,10297,499308,748,3353,434627,19581,42515,2179,4500,336388,167365,301729,202026,2589,46773,212551,145865,39478,18547,10984,6877,4913,2509,12388,0,90,2553,3900,18915,16981,304652,118145,34951,2517
California,2013,494705,3659,29054,437,16319,9768,489897,858,3527,421892,22256,43126,2399,4717,330328,164375,298406,196299,2903,46209,216004,139672,36975,17936,10546,7102,5116,2447,9607,0,107,2710,3679,18725,16368,298880,115057,35828,2546
California,2014,502879,3820,31762,382,18375,9199,497809,977,3624,426346,23968,45025,2661,4542,338405,164472,307919,194960,3176,66922,242983,108374,31914,16467,10165,7704,5348,1675,8125,0,92,2645,3855,18703,16299,305140,116306,36729,2416
California,2015,491748,3800,31162,339,18586,8397,486454,1149,3709,411164,25030,47642,2851,4756,333102,158646,300758,190990,3173,62219,238708,108562,31674,15551,9503,7426,5431,1808,7676,0,104,2493,3789,18825,16389,297611,113653,36237,2116
California,2016,488827,4157,31869,389,19219,7741,483521,1338,3553,405221,26864,48898,2822,4684,332874,155952,301976,186851,3528,60763,239529,108621,30173,14702,8892,7094,5812,1709,7990,0,73,2405,3725,19064,16807,297339,111602,35499,1881
California,2017,471658,4554,33403,422,21058,6753,466260,1413,3520,386654,27423,49512,2912,4761,323580,148077,686,435,3999,57408,234426,105285,28825,13962,8545,6519,5286,1736,5642,0,90,2308,3601,18172,16736,287098,106574,35042,1716
California,2018,454920,4955,34335,420,22716,6025,449929,1329,3269,368707,27962,50535,3062,4281,314452,140464,0,0,3754,52655,229779,103387,27036,13233,7862,6154,4950,1592,4494,0,80,2298,3510,18019,16057,278659,101541,33103,1404
California,2019,446479,5350,35899,397,25353,4935,441421,1493,3081,356285,32676,51329,3009,2759,309137,137337,0,0,3416,47876,222516,107547,26980,12667,7466,6046,4954,1575,5415,0,96,2225,3823,17426,16388,277906,97216,30007,1187
California,2020,420259,6075,37834,366,27900,4152,414317,1911,3591,328596,33976,52007,3700,1570,292055,128196,0,0,3402,41406,211793,101828,25492,12323,7339,5121,3717,1364,6450,0,77,2048,3573,15933,15138,266177,89460,26640,1038
California,2021,420608,6788,39980,347,30630,3424,414052,1972,4079,326626,34338,53023,4327,1741,291206,129401,0,0,3627,37594,214409,106083,24790,11227,6668,4897,3544,1298,6447,0,70,2146,3909,16720,15598,268862,86176,25968,977
California,2022,419104,7747,40360,271,32715,2833,412663,1919,4033,324370,34542,53482,4490,1647,289192,129910,0,0,3603,33634,202233,113712,27431,12604,7127,5295,4010,1538,7890,0,68,2034,3847,16583,15488,267476,86036,26362,1003
California,2023,400108,8090,39692,255,33441,2201,394349,1560,3701,307049,34666,51885,4318,1646,273992,126099,0,0,3103,31172,185555,112959,28221,12447,6977,5236,4068,1473,8865,0,65,2004,4026,15732,14815,257942,80591,23718,940
Florida,2010,214590,3171,10892,311,11321,0,211774,1382,1304,175113,12392,23684,2106,1250,133469,81046,112762,101828,2689,20823,68010,56008,23283,12240,7503,4416,2944,1234,15264,0,93,1655,2102,9896,8690,140574,41897,8925,469
Florida,2011,213414,3206,12353,225,10604,14226,210323,1480,1474,175296,11576,23008,2380,1139,131961,81345,111869,101545,2584,21150,71112,58216,23225,11810,7027,4430,2950,1179,9617,0,80,1665,2085,9784,8404,140112,41575,8927,422
Florida,2012,213148,3148,12192,218,11231,14129,209779,1606,1619,175539,11486,22453,2587,1068,131816,81230,110987,102161,2879,20003,71301,59291,23608,12070,7170,4774,3336,1354,7201,0,78,1616,2111,9613,8392,140284,41397,9024,410
Florida,2013,215407,3104,11464,222,11246,14145,211754,1752,1734,177686,11050,22416,2854,1379,134062,81237,112021,103386,2850,21434,70198,60557,24234,11968,6979,4756,3370,1489,7419,0,87,1578,2089,9565,8275,141088,42608,9444,434
Florida,2014,219991,3001,11411,204,11064,14064,216171,1747,1891,180951,11702,22968,2958,1408,138230,81707,114569,105422,2918,27763,76291,55363,21079,11121,6557,4993,3548,1096,9256,0,71,1664,2273,9589,8249,142589,44358,10628,488
Florida,2015,224269,2998,11376,232,11488,12970,220304,1806,1967,183536,11786,24392,3022,1523,140458,83715,117144,107125,3119,26484,78145,56778,20841,10879,6821,5215,3819,1110,11040,0,93,1686,2205,10024,8399,145483,44421,11331,531
Florida,2016,225022,3315,12139,216,12336,11454,221044,1720,2052,184999,12097,23389,3029,1491,140715,84204,119485,105537,3974,24524,77031,56992,20879,11178,6739,5334,3806,1197,13360,0,90,1623,2174,10216,8719,146847,43586,11186,480
Florida,2017,223630,3493,13586,229,13321,10639,219587,1820,2020,182735,11761,24699,3074,1347,140410,83124,118553,105023,4897,22641,75026,57135,20950,11409,6979,5563,4123,1295,13603,0,69,1566,2291,10127,8798,145979,43019,11206,456
Florida,2018,221542,3950,15228,283,16033,9836,217526,1725,2081,178674,12729,25780,3037,1295,139876,81550,118750,102751,4499,19294,72889,60421,21678,11489,7342,5811,4651,1479,11978,0,62,1623,2119,10109,8788,146251,41014,11028,443
Florida,2019,220002,4278,16036,294,16935,9011,216112,1629,2052,173982,13338,28285,2915,1453,139533,80321,117419,102543,4699,19653,70019,60880,21281,11406,7229,5974,4905,1522,12425,0,90,1608,2154,10347,9162,146842,39571,9774,368
Florida,2020,209671,4698,16899,285,17714,7763,205381,1598,2431,163880,13139,27926,3191,1508,134295,75166,110572,99043,4758,16001,68715,62551,21480,11163,6995,5609,4291,1278,6822,0,85,1497,1941,9603,8812,141144,37016,9115,361
Florida,2021,216260,4898,17623,297,18555,6233,211493,1745,2714,168331,14108,28700,3416,1681,138616,77295,115592,100617,5818,13263,66853,67543,22105,11874,7801,6436,4991,1790,7775,0,80,1581,2124,10517,9212,146033,37103,8959,410
Florida,2022,224433,5174,16339,308,19584,5186,219377,1711,2978,172480,16279,29917,3541,2177,143713,80526,120816,103570,6874,12727,63513,73198,25107,13546,8626,7030,5820,2214,5758,0,71,1644,2176,10695,9116,149977,40353,9787,509
Florida,2023,221410,5730,17595,328,20766,3994,216662,1528,2833,168857,16941,29885,3367,2204,141092,80137,119959,101399,7665,12409,57490,73704,26850,13966,9165,7382,5855,2168,4733,0,74,1743,2086,10509,9320,148734,38746,9629,470
Georgia,2010,133947,1866,4780,285,5738,0,133234,120,497,109906,2362,20540,45,1050,87907,45323,72548,61399,2443,10688,34778,28923,11063,5719,3504,2339,1659,702,32061,0,96,1093,1486,6543,5875,87059,24611,5896,341
Georgia,2011,132409,1777,5024,222,5414,266,131672,151,520,107448,2525,20634,101,1669,87732,44433,72240,60169,2462,10514,37277,31213,12101,6476,4120,2725,1861,859,22705,0,63,1086,1438,6227,5659,86357,25007,5739,289
Georgia,2012,130280,1964,5600,273,5726,7872,129440,170,592,104801,3078,20062,71,2229,86109,44005,71432,58848,2177,10734,39187,32570,12363,6380,3931,2731,1869,855,17378,0,59,1061,1308,6185,5526,85172,24473,5650,271
Georgia,2013,128748,2104,5824,268,6159,7753,127857,159,663,103783,2675,17958,165,3483,84589,43920,70301,58447,2705,10866,38605,30582,11166,5926,3642,2513,1898,828,19942,0,65,1113,1445,5985,5057,83734,24583,5857,325
Georgia,2014,130946,2372,5987,213,6305,7825,130025,187,662,108091,2723,17238,523,2351,86473,44242,71531,59415,3283,12504,40757,27087,10104,5508,3386,2654,1784,675,23197,0,67,1086,1422,6298,5185,85387,24927,6041,351
Georgia,2015,131404,2573,6194,181,6956,7452,130407,198,737,107151,3004,16299,714,4220,87116,44129,72017,59387,3662,12666,42598,29271,10061,5542,3595,2824,1952,685,18540,0,58,1178,1331,6207,5359,85987,24994,5941,294
Georgia,2016,130042,2701,7205,185,7810,6848,129019,206,765,106264,3370,17248,605,2537,85936,43935,71647,58395,4261,13433,46361,32711,11129,6012,3827,3028,2103,776,6394,0,57,1163,1439,6214,5704,85167,24135,5778,316
Georgia,2017,129243,2807,7729,250,8192,6172,128061,307,822,105320,3370,17649,409,2470,84964,44098,71166,58060,4900,13940,48021,32978,11442,6052,3762,2876,2201,762,2297,0,58,1112,1463,6387,5736,84819,23780,5571,258
Georgia,2018,126172,2736,7423,274,8533,5506,124973,359,792,103408,2920,16823,405,2603,83218,42851,69192,56966,5115,14257,46208,31316,11268,5918,3590,2832,2019,789,2851,0,59,1085,1395,6434,5536,83338,22841,5196,251
Georgia,2019,126371,2984,8119,286,9052,5219,125133,447,744,102656,3355,17280,324,2746,82899,43360,68700,57656,5282,14043,46811,32084,10759,5702,3575,2773,1867,828,2637,0,62,1058,1375,6427,5841,84934,21705,4702,231
Georgia,2020,122473,3537,8799,218,9724,5083,121085,407,930,97216,4154,17944,389,2759,80909,41462,65784,56672,5845,12693,45870,33068,10530,5342,3114,2437,1630,745,1186,0,45,985,1307,6172,5471,82838,21111,4284,215
Georgia,2021,124073,3650,10174,239,11416,4325,122279,485,1245,95539,4470,20226,606,3212,80535,43474,67040,57025,5169,12896,48285,34046,10167,4934,2938,2260,1589,749,1030,0,46,1037,1410,6503,5744,84677,20017,4383,203
