"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Chronic Hypertension"	"Chronic Hypertension Code"	Births
	"Arizona"	"04"	"2010"	"2010"	"Yes"	"1"	769
	"Arizona"	"04"	"2010"	"2010"	"No"	"2"	86708
	"Arizona"	"04"	"2010"	"2010"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2011"	"2011"	"Yes"	"1"	711
	"Arizona"	"04"	"2011"	"2011"	"No"	"2"	84831
	"Arizona"	"04"	"2011"	"2011"	"Unknown or Not Stated"	"9"	Suppressed
	"Arizona"	"04"	"2012"	"2012"	"Yes"	"1"	807
	"Arizona"	"04"	"2012"	"2012"	"No"	"2"	85633
	"Arizona"	"04"	"2012"	"2012"	"Unknown or Not Stated"	"9"	Suppressed
	"Arizona"	"04"	"2013"	"2013"	"Yes"	"1"	956
	"Arizona"	"04"	"2013"	"2013"	"No"	"2"	84642
	"Arizona"	"04"	"2013"	"2013"	"Unknown or Not Stated"	"9"	Suppressed
	"Arizona"	"04"	"2014"	"2014"	"Yes"	"1"	1039
	"Arizona"	"04"	"2014"	"2014"	"No"	"2"	85847
	"Arizona"	"04"	"2014"	"2014"	"Unknown or Not Stated"	"9"	Suppressed
	"Arizona"	"04"	"2015"	"2015"	"Yes"	"1"	972
	"Arizona"	"04"	"2015"	"2015"	"No"	"2"	84379
	"Arizona"	"04"	"2015"	"2015"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2016"	"2016"	"Yes"	"1"	975
	"Arizona"	"04"	"2016"	"2016"	"No"	"2"	83545
	"Arizona"	"04"	"2016"	"2016"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2017"	"2017"	"Yes"	"1"	1064
	"Arizona"	"04"	"2017"	"2017"	"No"	"2"	80808
	"Arizona"	"04"	"2017"	"2017"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2018"	"2018"	"Yes"	"1"	1133
	"Arizona"	"04"	"2018"	"2018"	"No"	"2"	79590
	"Arizona"	"04"	"2018"	"2018"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2019"	"2019"	"Yes"	"1"	1207
	"Arizona"	"04"	"2019"	"2019"	"No"	"2"	78166
	"Arizona"	"04"	"2019"	"2019"	"Unknown or Not Stated"	"9"	Suppressed
	"Arizona"	"04"	"2020"	"2020"	"Yes"	"1"	1238
	"Arizona"	"04"	"2020"	"2020"	"No"	"2"	75708
	"Arizona"	"04"	"2020"	"2020"	"Unknown or Not Stated"	"9"	Suppressed
	"Arizona"	"04"	"2021"	"2021"	"Yes"	"1"	1442
	"Arizona"	"04"	"2021"	"2021"	"No"	"2"	76474
	"Arizona"	"04"	"2021"	"2021"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2022"	"2022"	"Yes"	"1"	1479
	"Arizona"	"04"	"2022"	"2022"	"No"	"2"	77068
	"Arizona"	"04"	"2022"	"2022"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2023"	"2023"	"Yes"	"1"	1647
	"Arizona"	"04"	"2023"	"2023"	"No"	"2"	76448
	"Arizona"	"04"	"2023"	"2023"	"Unknown or Not Stated"	"9"	Suppressed
	"Arkansas"	"05"	"2010"	"2010"	"Yes"	"1"	564
	"Arkansas"	"05"	"2010"	"2010"	"No"	"2"	37968
	"Arkansas"	"05"	"2010"	"2010"	"Unknown or Not Stated"	"9"	Suppressed
	"Arkansas"	"05"	"2011"	"2011"	"Yes"	"1"	694
	"Arkansas"	"05"	"2011"	"2011"	"No"	"2"	38017
	"Arkansas"	"05"	"2011"	"2011"	"Unknown or Not Stated"	"9"	Suppressed
	"Arkansas"	"05"	"2012"	"2012"	"Yes"	"1"	643
	"Arkansas"	"05"	"2012"	"2012"	"No"	"2"	37700
	"Arkansas"	"05"	"2012"	"2012"	"Unknown or Not Stated"	"9"	Suppressed
	"Arkansas"	"05"	"2013"	"2013"	"Yes"	"1"	648
	"Arkansas"	"05"	"2013"	"2013"	"No"	"2"	37182
	"Arkansas"	"05"	"2013"	"2013"	"Unknown or Not Stated"	"9"	Suppressed
