"Notes","State","State Code","Year","Year Code","Diabetes","Diabetes Code",Births
,"Arizona","04","2010","2010","Yes","1",3694
,"Arizona","04","2011","2011","Yes","1",4014
,"Arizona","04","2012","2012","Yes","1",4452
,"Arizona","04","2013","2013","Yes","1",4919
,"Arizona","04","2014","2014","Yes","1",6126
,"Arizona","04","2015","2015","Yes","1",7224
,"Arizona","04","2016","2016","Yes","1",7188
,"Arizona","04","2017","2017","Yes","1",7114
,"Arizona","04","2018","2018","Yes","1",7785
,"Arizona","04","2019","2019","Yes","1",7769
,"Arizona","04","2020","2020","Yes","1",8273
,"Arizona","04","2021","2021","Yes","1",8696
,"Arizona","04","2022","2022","Yes","1",8987
,"Arizona","04","2023","2023","Yes","1",9165
,"Arkansas","05","2010","2010","Yes","1",1267
,"Arkansas","05","2011","2011","Yes","1",1582
,"Arkansas","05","2012","2012","Yes","1",1579
,"Arkansas","05","2013","2013","Yes","1",1459
,"Arkansas","05","2014","2014","Yes","1",2055
,"Arkansas","05","2015","2015","Yes","1",2088
,"Arkansas","05","2016","2016","Yes","1",2109
,"Arkansas","05","2017","2017","Yes","1",2160
,"Arkansas","05","2018","2018","Yes","1",2222
,"Arkansas","05","2019","2019","Yes","1",2423
,"Arkansas","05","2020","2020","Yes","1",2624
,"Arkansas","05","2021","2021","Yes","1",2829
,"Arkansas","05","2022","2022","Yes","1",2749
,"Arkansas","05","2023","2023","Yes","1",2983
,"California","06","2010","2010","Yes","1",21114
,"California","06","2011","2011","Yes","1",24022
,"California","06","2012","2012","Yes","1",27914
,"California","06","2013","2013","Yes","1",29054
,"California","06","2014","2014","Yes","1",31762
,"California","06","2015","2015","Yes","1",31162
,"California","06","2016","2016","Yes","1",31869
,"California","06","2017","2017","Yes","1",33403
,"California","06","2018","2018","Yes","1",34335
,"California","06","2019","2019","Yes","1",35899
,"California","06","2020","2020","Yes","1",37834
,"California","06","2021","2021","Yes","1",39980
,"California","06","2022","2022","Yes","1",40360
,"California","06","2023","2023","Yes","1",39692
,"Florida","12","2010","2010","Yes","1",10892
,"Florida","12","2011","2011","Yes","1",12353
,"Florida","12","2012","2012","Yes","1",12192
,"Florida","12","2013","2013","Yes","1",11464
,"Florida","12","2014","2014","Yes","1",11411
,"Florida","12","2015","2015","Yes","1",11376
,"Florida","12","2016","2016","Yes","1",12139
,"Florida","12","2017","2017","Yes","1",13586
,"Florida","12","2018","2018","Yes","1",15228
,"Florida","12","2019","2019","Yes","1",16036
