"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Diabetes"	"Diabetes Code"	Births
	"Arizona"	"04"	"2010"	"2010"	"Yes"	"1"	3694
	"Arizona"	"04"	"2010"	"2010"	"No"	"2"	83783
	"Arizona"	"04"	"2010"	"2010"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2011"	"2011"	"Yes"	"1"	4014
	"Arizona"	"04"	"2011"	"2011"	"No"	"2"	81528
	"Arizona"	"04"	"2012"	"2012"	"Yes"	"1"	4452
	"Arizona"	"04"	"2012"	"2012"	"No"	"2"	81988
	"Arizona"	"04"	"2013"	"2013"	"Yes"	"1"	4919
	"Arizona"	"04"	"2013"	"2013"	"No"	"2"	80679
	"Arizona"	"04"	"2014"	"2014"	"Yes"	"1"	6126
	"Arizona"	"04"	"2014"	"2014"	"No"	"2"	80760
	"Arizona"	"04"	"2015"	"2015"	"Yes"	"1"	7224
	"Arizona"	"04"	"2015"	"2015"	"No"	"2"	78127
	"Arizona"	"04"	"2015"	"2015"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2016"	"2016"	"Yes"	"1"	7188
	"Arizona"	"04"	"2016"	"2016"	"No"	"2"	77332
	"Arizona"	"04"	"2016"	"2016"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2017"	"2017"	"Yes"	"1"	7114
	"Arizona"	"04"	"2017"	"2017"	"No"	"2"	74758
	"Arizona"	"04"	"2017"	"2017"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2018"	"2018"	"Yes"	"1"	7785
	"Arizona"	"04"	"2018"	"2018"	"No"	"2"	72938
	"Arizona"	"04"	"2018"	"2018"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2019"	"2019"	"Yes"	"1"	7769
	"Arizona"	"04"	"2019"	"2019"	"No"	"2"	71604
	"Arizona"	"04"	"2020"	"2020"	"Yes"	"1"	8273
	"Arizona"	"04"	"2020"	"2020"	"No"	"2"	68673
	"Arizona"	"04"	"2021"	"2021"	"Yes"	"1"	8696
	"Arizona"	"04"	"2021"	"2021"	"No"	"2"	69220
	"Arizona"	"04"	"2021"	"2021"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2022"	"2022"	"Yes"	"1"	8987
	"Arizona"	"04"	"2022"	"2022"	"No"	"2"	69560
	"Arizona"	"04"	"2022"	"2022"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2023"	"2023"	"Yes"	"1"	9165
	"Arizona"	"04"	"2023"	"2023"	"No"	"2"	68930
	"Arkansas"	"05"	"2010"	"2010"	"Yes"	"1"	1267
	"Arkansas"	"05"	"2010"	"2010"	"No"	"2"	37265
	"Arkansas"	"05"	"2011"	"2011"	"Yes"	"1"	1582
	"Arkansas"	"05"	"2011"	"2011"	"No"	"2"	37129
	"Arkansas"	"05"	"2012"	"2012"	"Yes"	"1"	1579
	"Arkansas"	"05"	"2012"	"2012"	"No"	"2"	36764
	"Arkansas"	"05"	"2013"	"2013"	"Yes"	"1"	1459
	"Arkansas"	"05"	"2013"	"2013"	"No"	"2"	36371
	"Arkansas"	"05"	"2014"	"2014"	"Yes"	"1"	2055
	"Arkansas"	"05"	"2014"	"2014"	"No"	"2"	36455
	"Arkansas"	"05"	"2015"	"2015"	"Yes"	"1"	2088
	"Arkansas"	"05"	"2015"	"2015"	"No"	"2"	36797
	"Arkansas"	"05"	"2016"	"2016"	"Yes"	"1"	2109
	"Arkansas"	"05"	"2016"	"2016"	"No"	"2"	36165
	"Arkansas"	"05"	"2016"	"2016"	"Unknown or Not Stated"	"9"	0
	"Arkansas"	"05"	"2017"	"2017"	"Yes"	"1"	2160
	"Arkansas"	"05"	"2017"	"2017"	"No"	"2"	35357
	"Arkansas"	"05"	"2018"	"2018"	"Yes"	"1"	2222
	"Arkansas"	"05"	"2018"	"2018"	"No"	"2"	34793
	"Arkansas"	"05"	"2019"	"2019"	"Yes"	"1"	2423
	"Arkansas"	"05"	"2019"	"2019"	"No"	"2"	34140
