"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Eclampsia"	"Eclampsia Code"	Births
	"Arizona"	"04"	"2010"	"2010"	"Yes"	"1"	769
	"Arizona"	"04"	"2010"	"2010"	"No"	"2"	86708
	"Arizona"	"04"	"2010"	"2010"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2010"	"2010"	"Not Reported"	"10"	0
	"Arizona"	"04"	"2011"	"2011"	"Yes"	"1"	772
	"Arizona"	"04"	"2011"	"2011"	"No"	"2"	84770
	"Arizona"	"04"	"2011"	"2011"	"Not Reported"	"10"	0
	"Arizona"	"04"	"2012"	"2012"	"Yes"	"1"	634
	"Arizona"	"04"	"2012"	"2012"	"No"	"2"	85806
	"Arizona"	"04"	"2012"	"2012"	"Not Reported"	"10"	0
	"Arizona"	"04"	"2013"	"2013"	"Yes"	"1"	604
	"Arizona"	"04"	"2013"	"2013"	"No"	"2"	84994
	"Arizona"	"04"	"2013"	"2013"	"Not Reported"	"10"	0
	"Arizona"	"04"	"2014"	"2014"	"Yes"	"1"	341
	"Arizona"	"04"	"2014"	"2014"	"No"	"2"	86545
	"Arizona"	"04"	"2014"	"2014"	"Not Reported"	"10"	0
	"Arizona"	"04"	"2015"	"2015"	"Yes"	"1"	150
	"Arizona"	"04"	"2015"	"2015"	"No"	"2"	85201
	"Arizona"	"04"	"2015"	"2015"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2015"	"2015"	"Not Reported"	"10"	0
	"Arizona"	"04"	"2016"	"2016"	"Yes"	"1"	160
	"Arizona"	"04"	"2016"	"2016"	"No"	"2"	84360
	"Arizona"	"04"	"2016"	"2016"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2016"	"2016"	"Not Reported"	"10"	0
	"Arizona"	"04"	"2017"	"2017"	"Yes"	"1"	146
	"Arizona"	"04"	"2017"	"2017"	"No"	"2"	81726
	"Arizona"	"04"	"2017"	"2017"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2017"	"2017"	"Not Reported"	"10"	0
	"Arizona"	"04"	"2018"	"2018"	"Yes"	"1"	130
	"Arizona"	"04"	"2018"	"2018"	"No"	"2"	80593
	"Arizona"	"04"	"2018"	"2018"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2018"	"2018"	"Not Reported"	"10"	0
	"Arizona"	"04"	"2019"	"2019"	"Yes"	"1"	116
	"Arizona"	"04"	"2019"	"2019"	"No"	"2"	79257
	"Arizona"	"04"	"2019"	"2019"	"Not Reported"	"10"	0
	"Arizona"	"04"	"2020"	"2020"	"Yes"	"1"	105
	"Arizona"	"04"	"2020"	"2020"	"No"	"2"	76841
	"Arizona"	"04"	"2020"	"2020"	"Not Reported"	"10"	0
	"Arizona"	"04"	"2021"	"2021"	"Yes"	"1"	138
	"Arizona"	"04"	"2021"	"2021"	"No"	"2"	77778
	"Arizona"	"04"	"2021"	"2021"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2021"	"2021"	"Not Reported"	"10"	0
	"Arizona"	"04"	"2022"	"2022"	"Yes"	"1"	146
	"Arizona"	"04"	"2022"	"2022"	"No"	"2"	78401
	"Arizona"	"04"	"2022"	"2022"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2022"	"2022"	"Not Reported"	"10"	0
	"Arizona"	"04"	"2023"	"2023"	"Yes"	"1"	127
	"Arizona"	"04"	"2023"	"2023"	"No"	"2"	77968
	"Arizona"	"04"	"2023"	"2023"	"Not Reported"	"10"	0
	"Arkansas"	"05"	"2010"	"2010"	"Yes"	"1"	76
	"Arkansas"	"05"	"2010"	"2010"	"No"	"2"	38456
	"Arkansas"	"05"	"2010"	"2010"	"Not Reported"	"10"	0
	"Arkansas"	"05"	"2011"	"2011"	"Yes"	"1"	64
	"Arkansas"	"05"	"2011"	"2011"	"No"	"2"	38647
	"Arkansas"	"05"	"2011"	"2011"	"Not Reported"	"10"	0
	"Arkansas"	"05"	"2012"	"2012"	"Yes"	"1"	61
	"Arkansas"	"05"	"2012"	"2012"	"No"	"2"	38282
