"Notes","State","State Code","Year","Year Code","Pregnancy-associated Hypertension","Pregnancy-associated Hypertension Code",Births
,"Arizona","04","2010","2010","Yes","1",3441
,"Arizona","04","2011","2011","Yes","1",3599
,"Arizona","04","2012","2012","Yes","1",3903
,"Arizona","04","2013","2013","Yes","1",4791
,"Arizona","04","2014","2014","Yes","1",4567
,"Arizona","04","2015","2015","Yes","1",5118
,"Arizona","04","2016","2016","Yes","1",5275
,"Arizona","04","2017","2017","Yes","1",5523
,"Arizona","04","2018","2018","Yes","1",6224
,"Arizona","04","2019","2019","Yes","1",6357
,"Arizona","04","2020","2020","Yes","1",6841
,"Arizona","04","2021","2021","Yes","1",7066
,"Arizona","04","2022","2022","Yes","1",7786
,"Arizona","04","2023","2023","Yes","1",8090
,"Arkansas","05","2010","2010","Yes","1",1692
,"Arkansas","05","2011","2011","Yes","1",1757
,"Arkansas","05","2012","2012","Yes","1",1783
,"Arkansas","05","2013","2013","Yes","1",1943
,"Arkansas","05","2014","2014","Yes","1",1846
,"Arkansas","05","2015","2015","Yes","1",2068
,"Arkansas","05","2016","2016","Yes","1",2007
,"Arkansas","05","2017","2017","Yes","1",2106
,"Arkansas","05","2018","2018","Yes","1",2494
,"Arkansas","05","2019","2019","Yes","1",2838
,"Arkansas","05","2020","2020","Yes","1",2819
,"Arkansas","05","2021","2021","Yes","1",3260
,"Arkansas","05","2022","2022","Yes","1",3431
,"Arkansas","05","2023","2023","Yes","1",3752
,"California","06","2010","2010","Yes","1",12061
,"California","06","2011","2011","Yes","1",13255
,"California","06","2012","2012","Yes","1",14672
,"California","06","2013","2013","Yes","1",16319
,"California","06","2014","2014","Yes","1",18375
,"California","06","2015","2015","Yes","1",18586
,"California","06","2016","2016","Yes","1",19219
,"California","06","2017","2017","Yes","1",21058
,"California","06","2018","2018","Yes","1",22716
,"California","06","2019","2019","Yes","1",25353
,"California","06","2020","2020","Yes","1",27900
,"California","06","2021","2021","Yes","1",30630
,"California","06","2022","2022","Yes","1",32715
,"California","06","2023","2023","Yes","1",33441
,"Florida","12","2010","2010","Yes","1",11321
,"Florida","12","2011","2011","Yes","1",10604
,"Florida","12","2012","2012","Yes","1",11231
,"Florida","12","2013","2013","Yes","1",11246
,"Florida","12","2014","2014","Yes","1",11064
,"Florida","12","2015","2015","Yes","1",11488
,"Florida","12","2016","2016","Yes","1",12336
,"Florida","12","2017","2017","Yes","1",13321
,"Florida","12","2018","2018","Yes","1",16033
,"Florida","12","2019","2019","Yes","1",16935
,"Florida","12","2020","2020","Yes","1",17714
,"Florida","12","2021","2021","Yes","1",18555
,"Florida","12","2022","2022","Yes","1",19584
,"Florida","12","2023","2023","Yes","1",20766
,"Georgia","13","2010","2010","Yes","1",5738
,"Georgia","13","2011","2011","Yes","1",5414
,"Georgia","13","2012","2012","Yes","1",5726
,"Georgia","13","2013","2013","Yes","1",6159
,"Georgia","13","2014","2014","Yes","1",6305
,"Georgia","13","2015","2015","Yes","1",6956
,"Georgia","13","2016","2016","Yes","1",7810
,"Georgia","13","2017","2017","Yes","1",8192
,"Georgia","13","2018","2018","Yes","1",8533
,"Georgia","13","2019","2019","Yes","1",9052
,"Georgia","13","2020","2020","Yes","1",9724
,"Georgia","13","2021","2021","Yes","1",11416
,"Georgia","13","2022","2022","Yes","1",11657
,"Georgia","13","2023","2023","Yes","1",12043
,"Illinois","17","2010","2010","Yes","1",7568
,"Illinois","17","2011","2011","Yes","1",7802
,"Illinois","17","2012","2012","Yes","1",7602
,"Illinois","17","2013","2013","Yes","1",8061
,"Illinois","17","2014","2014","Yes","1",8675
,"Illinois","17","2015","2015","Yes","1",9844
,"Illinois","17","2016","2016","Yes","1",10543
,"Illinois","17","2017","2017","Yes","1",10914
,"Illinois","17","2018","2018","Yes","1",12046
,"Illinois","17","2019","2019","Yes","1",12942
,"Illinois","17","2020","2020","Yes","1",12702
,"Illinois","17","2021","2021","Yes","1",13735
,"Illinois","17","2022","2022","Yes","1",14038
,"Illinois","17","2023","2023","Yes","1",14445
,"Indiana","18","2010","2010","Yes","1",4657
,"Indiana","18","2011","2011","Yes","1",4628
,"Indiana","18","2012","2012","Yes","1",4775
,"Indiana","18","2013","2013","Yes","1",4411
,"Indiana","18","2014","2014","Yes","1",4897
,"Indiana","18","2015","2015","Yes","1",5242
,"Indiana","18","2016","2016","Yes","1",5650
,"Indiana","18","2017","2017","Yes","1",6161
,"Indiana","18","2018","2018","Yes","1",6812
,"Indiana","18","2019","2019","Yes","1",7368
,"Indiana","18","2020","2020","Yes","1",7735
,"Indiana","18","2021","2021","Yes","1",8229
,"Indiana","18","2022","2022","Yes","1",8392
,"Indiana","18","2023","2023","Yes","1",8640
,"Maryland","24","2010","2010","Yes","1",3023
,"Maryland","24","2011","2011","Yes","1",3188
,"Maryland","24","2012","2012","Yes","1",3230
,"Maryland","24","2013","2013","Yes","1",3325
,"Maryland","24","2014","2014","Yes","1",3911
,"Maryland","24","2015","2015","Yes","1",4491
,"Maryland","24","2016","2016","Yes","1",4548
,"Maryland","24","2017","2017","Yes","1",5112
,"Maryland","24","2018","2018","Yes","1",5198
,"Maryland","24","2019","2019","Yes","1",5392
,"Maryland","24","2020","2020","Yes","1",5907
,"Maryland","24","2021","2021","Yes","1",6801
,"Maryland","24","2022","2022","Yes","1",6810
,"Maryland","24","2023","2023","Yes","1",7295
,"Michigan","26","2010","2010","Yes","1",5435
,"Michigan","26","2011","2011","Yes","1",5544
,"Michigan","26","2012","2012","Yes","1",5589
,"Michigan","26","2013","2013","Yes","1",5743
,"Michigan","26","2014","2014","Yes","1",5882
,"Michigan","26","2015","2015","Yes","1",6750
,"Michigan","26","2016","2016","Yes","1",7370
,"Michigan","26","2017","2017","Yes","1",7876
,"Michigan","26","2018","2018","Yes","1",8616
,"Michigan","26","2019","2019","Yes","1",9541
,"Michigan","26","2020","2020","Yes","1",8644
,"Michigan","26","2021","2021","Yes","1",9184
,"Michigan","26","2022","2022","Yes","1",9754
,"Michigan","26","2023","2023","Yes","1",10029
,"Missouri","29","2010","2010","Yes","1",3366
,"Missouri","29","2011","2011","Yes","1",3831
,"Missouri","29","2012","2012","Yes","1",4166
,"Missouri","29","2013","2013","Yes","1",4325
,"Missouri","29","2014","2014","Yes","1",4608
,"Missouri","29","2015","2015","Yes","1",5264
,"Missouri","29","2016","2016","Yes","1",5502
,"Missouri","29","2017","2017","Yes","1",5815
,"Missouri","29","2018","2018","Yes","1",5993
,"Missouri","29","2019","2019","Yes","1",6256
,"Missouri","29","2020","2020","Yes","1",6363
,"Missouri","29","2021","2021","Yes","1",6965
,"Missouri","29","2022","2022","Yes","1",7746
,"Missouri","29","2023","2023","Yes","1",7752
,"New Jersey","34","2010","2010","Yes","1",3537
,"New Jersey","34","2011","2011","Yes","1",2836
,"New Jersey","34","2012","2012","Yes","1",2590
,"New Jersey","34","2013","2013","Yes","1",2720
,"New Jersey","34","2014","2014","Yes","1",2853
,"New Jersey","34","2015","2015","Yes","1",4007
,"New Jersey","34","2016","2016","Yes","1",4807
,"New Jersey","34","2017","2017","Yes","1",4828
,"New Jersey","34","2018","2018","Yes","1",5532
,"New Jersey","34","2019","2019","Yes","1",6006
,"New Jersey","34","2020","2020","Yes","1",6576
,"New Jersey","34","2021","2021","Yes","1",6902
,"New Jersey","34","2022","2022","Yes","1",6983
,"New Jersey","34","2023","2023","Yes","1",7077
,"New York","36","2010","2010","Yes","1",7081
,"New York","36","2011","2011","Yes","1",7264
,"New York","36","2012","2012","Yes","1",7069
,"New York","36","2013","2013","Yes","1",7493
,"New York","36","2014","2014","Yes","1",8764
,"New York","36","2015","2015","Yes","1",14317
,"New York","36","2016","2016","Yes","1",14897
,"New York","36","2017","2017","Yes","1",13188
,"New York","36","2018","2018","Yes","1",14218
,"New York","36","2019","2019","Yes","1",15221
,"New York","36","2020","2020","Yes","1",16141
,"New York","36","2021","2021","Yes","1",16865
,"New York","36","2022","2022","Yes","1",16638
,"New York","36","2023","2023","Yes","1",16307
,"South Carolina","45","2010","2010","Yes","1",3164
,"South Carolina","45","2011","2011","Yes","1",3036
,"South Carolina","45","2012","2012","Yes","1",3297
,"South Carolina","45","2013","2013","Yes","1",3822
,"South Carolina","45","2014","2014","Yes","1",4079
,"South Carolina","45","2015","2015","Yes","1",4024
,"South Carolina","45","2016","2016","Yes","1",4248
,"South Carolina","45","2017","2017","Yes","1",4737
,"South Carolina","45","2018","2018","Yes","1",4945
,"South Carolina","45","2019","2019","Yes","1",4935
,"South Carolina","45","2020","2020","Yes","1",5098
,"South Carolina","45","2021","2021","Yes","1",5345
,"South Carolina","45","2022","2022","Yes","1",5822
,"South Carolina","45","2023","2023","Yes","1",6863
,"Texas","48","2010","2010","Yes","1",19781
,"Texas","48","2011","2011","Yes","1",19122
,"Texas","48","2012","2012","Yes","1",19850
,"Texas","48","2013","2013","Yes","1",19874
,"Texas","48","2014","2014","Yes","1",22292
,"Texas","48","2015","2015","Yes","1",23924
,"Texas","48","2016","2016","Yes","1",24273
,"Texas","48","2017","2017","Yes","1",25241
,"Texas","48","2018","2018","Yes","1",26995
,"Texas","48","2019","2019","Yes","1",27834
,"Texas","48","2020","2020","Yes","1",28114
,"Texas","48","2021","2021","Yes","1",30191
,"Texas","48","2022","2022","Yes","1",32373
,"Texas","48","2023","2023","Yes","1",33958
,"Washington","53","2010","2010","Yes","1",4606
,"Washington","53","2011","2011","Yes","1",4743
,"Washington","53","2012","2012","Yes","1",4925
,"Washington","53","2013","2013","Yes","1",4775
,"Washington","53","2014","2014","Yes","1",5272
,"Washington","53","2015","2015","Yes","1",5570
,"Washington","53","2016","2016","Yes","1",5702
,"Washington","53","2017","2017","Yes","1",6211
,"Washington","53","2018","2018","Yes","1",6676
,"Washington","53","2019","2019","Yes","1",7350
,"Washington","53","2020","2020","Yes","1",7834
,"Washington","53","2021","2021","Yes","1",8460
,"Washington","53","2022","2022","Yes","1",8616
,"Washington","53","2023","2023","Yes","1",9076
