"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Pregnancy-associated Hypertension"	"Pregnancy-associated Hypertension Code"	Births
	"Arizona"	"04"	"2010"	"2010"	"Yes"	"1"	3441
	"Arizona"	"04"	"2010"	"2010"	"No"	"2"	84036
	"Arizona"	"04"	"2010"	"2010"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2011"	"2011"	"Yes"	"1"	3599
	"Arizona"	"04"	"2011"	"2011"	"No"	"2"	81943
	"Arizona"	"04"	"2011"	"2011"	"Unknown or Not Stated"	"9"	Suppressed
	"Arizona"	"04"	"2012"	"2012"	"Yes"	"1"	3903
	"Arizona"	"04"	"2012"	"2012"	"No"	"2"	82537
	"Arizona"	"04"	"2012"	"2012"	"Unknown or Not Stated"	"9"	Suppressed
	"Arizona"	"04"	"2013"	"2013"	"Yes"	"1"	4791
	"Arizona"	"04"	"2013"	"2013"	"No"	"2"	80807
	"Arizona"	"04"	"2013"	"2013"	"Unknown or Not Stated"	"9"	Suppressed
	"Arizona"	"04"	"2014"	"2014"	"Yes"	"1"	4567
	"Arizona"	"04"	"2014"	"2014"	"No"	"2"	82319
	"Arizona"	"04"	"2014"	"2014"	"Unknown or Not Stated"	"9"	Suppressed
	"Arizona"	"04"	"2015"	"2015"	"Yes"	"1"	5118
	"Arizona"	"04"	"2015"	"2015"	"No"	"2"	80233
	"Arizona"	"04"	"2015"	"2015"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2016"	"2016"	"Yes"	"1"	5275
	"Arizona"	"04"	"2016"	"2016"	"No"	"2"	79245
	"Arizona"	"04"	"2016"	"2016"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2017"	"2017"	"Yes"	"1"	5523
	"Arizona"	"04"	"2017"	"2017"	"No"	"2"	76349
	"Arizona"	"04"	"2017"	"2017"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2018"	"2018"	"Yes"	"1"	6224
	"Arizona"	"04"	"2018"	"2018"	"No"	"2"	74499
	"Arizona"	"04"	"2018"	"2018"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2019"	"2019"	"Yes"	"1"	6357
	"Arizona"	"04"	"2019"	"2019"	"No"	"2"	73016
	"Arizona"	"04"	"2019"	"2019"	"Unknown or Not Stated"	"9"	Suppressed
	"Arizona"	"04"	"2020"	"2020"	"Yes"	"1"	6841
	"Arizona"	"04"	"2020"	"2020"	"No"	"2"	70105
	"Arizona"	"04"	"2020"	"2020"	"Unknown or Not Stated"	"9"	Suppressed
	"Arizona"	"04"	"2021"	"2021"	"Yes"	"1"	7066
