"Notes","State","State Code","Year","Year Code","Tobacco Use","Tobacco Use Code",Births
,"Arizona","04","2010","2010","Yes","1",0
,"Arizona","04","2011","2011","Yes","1",0
,"Arizona","04","2012","2012","Yes","1",0
,"Arizona","04","2013","2013","Yes","1",0
,"Arizona","04","2014","2014","Yes","1",4675
,"Arizona","04","2015","2015","Yes","1",4484
,"Arizona","04","2016","2016","Yes","1",4076
,"Arizona","04","2017","2017","Yes","1",3910
,"Arizona","04","2018","2018","Yes","1",3702
,"Arizona","04","2019","2019","Yes","1",3526
,"Arizona","04","2020","2020","Yes","1",2878
,"Arizona","04","2021","2021","Yes","1",2560
,"Arizona","04","2022","2022","Yes","1",2076
,"Arizona","04","2023","2023","Yes","1",1706
,"Arkansas","05","2010","2010","Yes","1",0
,"Arkansas","05","2011","2011","Yes","1",0
,"Arkansas","05","2012","2012","Yes","1",0
,"Arkansas","05","2013","2013","Yes","1",0
,"Arkansas","05","2014","2014","Yes","1",5729
,"Arkansas","05","2015","2015","Yes","1",5593
,"Arkansas","05","2016","2016","Yes","1",5224
,"Arkansas","05","2017","2017","Yes","1",5042
,"Arkansas","05","2018","2018","Yes","1",4959
,"Arkansas","05","2019","2019","Yes","1",4372
,"Arkansas","05","2020","2020","Yes","1",4061
,"Arkansas","05","2021","2021","Yes","1",3411
,"Arkansas","05","2022","2022","Yes","1",2801
,"Arkansas","05","2023","2023","Yes","1",2267
,"California","06","2010","2010","Yes","1",12048
,"California","06","2011","2011","Yes","1",11092
,"California","06","2012","2012","Yes","1",10297
,"California","06","2013","2013","Yes","1",9768
,"California","06","2014","2014","Yes","1",9199
,"California","06","2015","2015","Yes","1",8397
,"California","06","2016","2016","Yes","1",7741
,"California","06","2017","2017","Yes","1",6753
,"California","06","2018","2018","Yes","1",6025
,"California","06","2019","2019","Yes","1",4935
,"California","06","2020","2020","Yes","1",4152
,"California","06","2021","2021","Yes","1",3424
,"California","06","2022","2022","Yes","1",2833
,"California","06","2023","2023","Yes","1",2201
,"Florida","12","2010","2010","Yes","1",0
,"Florida","12","2011","2011","Yes","1",14226
,"Florida","12","2012","2012","Yes","1",14129
,"Florida","12","2013","2013","Yes","1",14145
,"Florida","12","2014","2014","Yes","1",14064
,"Florida","12","2015","2015","Yes","1",12970
,"Florida","12","2016","2016","Yes","1",11454
,"Florida","12","2017","2017","Yes","1",10639
,"Florida","12","2018","2018","Yes","1",9836
,"Florida","12","2019","2019","Yes","1",9011
,"Florida","12","2020","2020","Yes","1",7763
,"Florida","12","2021","2021","Yes","1",6233
,"Florida","12","2022","2022","Yes","1",5186
,"Florida","12","2023","2023","Yes","1",3994
,"Georgia","13","2010","2010","Yes","1",0
,"Georgia","13","2011","2011","Yes","1",266
,"Georgia","13","2012","2012","Yes","1",7872
,"Georgia","13","2013","2013","Yes","1",7753
,"Georgia","13","2014","2014","Yes","1",7825
,"Georgia","13","2015","2015","Yes","1",7452
,"Georgia","13","2016","2016","Yes","1",6848
,"Georgia","13","2017","2017","Yes","1",6172
,"Georgia","13","2018","2018","Yes","1",5506
,"Georgia","13","2019","2019","Yes","1",5219
,"Georgia","13","2020","2020","Yes","1",5083
,"Georgia","13","2021","2021","Yes","1",4325
,"Georgia","13","2022","2022","Yes","1",3586
,"Georgia","13","2023","2023","Yes","1",2695
,"Illinois","17","2010","2010","Yes","1",12984
,"Illinois","17","2011","2011","Yes","1",12099
,"Illinois","17","2012","2012","Yes","1",11282
,"Illinois","17","2013","2013","Yes","1",10962
,"Illinois","17","2014","2014","Yes","1",10676
,"Illinois","17","2015","2015","Yes","1",10355
,"Illinois","17","2016","2016","Yes","1",9891
,"Illinois","17","2017","2017","Yes","1",9466
,"Illinois","17","2018","2018","Yes","1",8623
,"Illinois","17","2019","2019","Yes","1",7409
,"Illinois","17","2020","2020","Yes","1",6722
,"Illinois","17","2021","2021","Yes","1",5851
,"Illinois","17","2022","2022","Yes","1",4649
,"Illinois","17","2023","2023","Yes","1",3701
,"Indiana","18","2010","2010","Yes","1",14395
,"Indiana","18","2011","2011","Yes","1",13900
,"Indiana","18","2012","2012","Yes","1",13755
,"Indiana","18","2013","2013","Yes","1",13030
,"Indiana","18","2014","2014","Yes","1",12672
,"Indiana","18","2015","2015","Yes","1",12014
,"Indiana","18","2016","2016","Yes","1",11212
,"Indiana","18","2017","2017","Yes","1",11098
,"Indiana","18","2018","2018","Yes","1",10312
,"Indiana","18","2019","2019","Yes","1",9430
,"Indiana","18","2020","2020","Yes","1",8555
,"Indiana","18","2021","2021","Yes","1",7193
,"Indiana","18","2022","2022","Yes","1",5235
,"Indiana","18","2023","2023","Yes","1",4136
,"Maryland","24","2010","2010","Yes","1",5795
,"Maryland","24","2011","2011","Yes","1",5458
,"Maryland","24","2012","2012","Yes","1",5360
,"Maryland","24","2013","2013","Yes","1",5324
,"Maryland","24","2014","2014","Yes","1",5107
,"Maryland","24","2015","2015","Yes","1",4758
,"Maryland","24","2016","2016","Yes","1",4299
,"Maryland","24","2017","2017","Yes","1",3932
,"Maryland","24","2018","2018","Yes","1",3719
,"Maryland","24","2019","2019","Yes","1",3281
,"Maryland","24","2020","2020","Yes","1",2846
,"Maryland","24","2021","2021","Yes","1",2262
,"Maryland","24","2022","2022","Yes","1",1873
,"Maryland","24","2023","2023","Yes","1",1527
,"Michigan","26","2010","2010","Yes","1",0
,"Michigan","26","2011","2011","Yes","1",0
,"Michigan","26","2012","2012","Yes","1",0
,"Michigan","26","2013","2013","Yes","1",0
