"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Tobacco Use"	"Tobacco Use Code"	Births
	"Arizona"	"04"	"2010"	"2010"	"Yes"	"1"	0
	"Arizona"	"04"	"2010"	"2010"	"No"	"2"	0
	"Arizona"	"04"	"2010"	"2010"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2010"	"2010"	"Not Reported"	"10"	87477
"Total"	"Arizona"	"04"	"2010"	"2010"			87477
	"Arizona"	"04"	"2011"	"2011"	"Yes"	"1"	0
	"Arizona"	"04"	"2011"	"2011"	"No"	"2"	0
	"Arizona"	"04"	"2011"	"2011"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2011"	"2011"	"Not Reported"	"10"	85543
"Total"	"Arizona"	"04"	"2011"	"2011"			85543
	"Arizona"	"04"	"2012"	"2012"	"Yes"	"1"	0
	"Arizona"	"04"	"2012"	"2012"	"No"	"2"	0
	"Arizona"	"04"	"2012"	"2012"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2012"	"2012"	"Not Reported"	"10"	86441
"Total"	"Arizona"	"04"	"2012"	"2012"			86441
	"Arizona"	"04"	"2013"	"2013"	"Yes"	"1"	0
	"Arizona"	"04"	"2013"	"2013"	"No"	"2"	0
	"Arizona"	"04"	"2013"	"2013"	"Unknown or Not Stated"	"9"	0
	"Arizona"	"04"	"2013"	"2013"	"Not Reported"	"10"	85600
"Total"	"Arizona"	"04"	"2013"	"2013"			85600
	"Arizona"	"04"	"2014"	"2014"	"Yes"	"1"	4675
	"Arizona"	"04"	"2014"	"2014"	"No"	"2"	82123
	"Arizona"	"04"	"2014"	"2014"	"Unknown or Not Stated"	"9"	89
	"Arizona"	"04"	"2014"	"2014"	"Not Reported"	"10"	0
"Total"	"Arizona"	"04"	"2014"	"2014"			86887
	"Arizona"	"04"	"2015"	"2015"	"Yes"	"1"	4484
	"Arizona"	"04"	"2015"	"2015"	"No"	"2"	80778
	"Arizona"	"04"	"2015"	"2015"	"Unknown or Not Stated"	"9"	89
	"Arizona"	"04"	"2015"	"2015"	"Not Reported"	"10"	0
"Total"	"Arizona"	"04"	"2015"	"2015"			85351
	"Arizona"	"04"	"2016"	"2016"	"Yes"	"1"	4076
	"Arizona"	"04"	"2016"	"2016"	"No"	"2"	80343
	"Arizona"	"04"	"2016"	"2016"	"Unknown or Not Stated"	"9"	101
	"Arizona"	"04"	"2016"	"2016"	"Not Reported"	"10"	0
"Total"	"Arizona"	"04"	"2016"	"2016"			84520
	"Arizona"	"04"	"2017"	"2017"	"Yes"	"1"	3910
	"Arizona"	"04"	"2017"	"2017"	"No"	"2"	77774
	"Arizona"	"04"	"2017"	"2017"	"Unknown or Not Stated"	"9"	188
	"Arizona"	"04"	"2017"	"2017"	"Not Reported"	"10"	0
"Total"	"Arizona"	"04"	"2017"	"2017"			81872
	"Arizona"	"04"	"2018"	"2018"	"Yes"	"1"	3702
	"Arizona"	"04"	"2018"	"2018"	"No"	"2"	76824
	"Arizona"	"04"	"2018"	"2018"	"Unknown or Not Stated"	"9"	197
	"Arizona"	"04"	"2018"	"2018"	"Not Reported"	"10"	0
"Total"	"Arizona"	"04"	"2018"	"2018"			80723
	"Arizona"	"04"	"2019"	"2019"	"Yes"	"1"	3526
	"Arizona"	"04"	"2019"	"2019"	"No"	"2"	75766
	"Arizona"	"04"	"2019"	"2019"	"Unknown or Not Stated"	"9"	83
	"Arizona"	"04"	"2019"	"2019"	"Not Reported"	"10"	0
"Total"	"Arizona"	"04"	"2019"	"2019"			79375
	"Arizona"	"04"	"2020"	"2020"	"Yes"	"1"	2878
	"Arizona"	"04"	"2020"	"2020"	"No"	"2"	73990
	"Arizona"	"04"	"2020"	"2020"	"Unknown or Not Stated"	"9"	79
	"Arizona"	"04"	"2020"	"2020"	"Not Reported"	"10"	0
"Total"	"Arizona"	"04"	"2020"	"2020"			76947
	"Arizona"	"04"	"2021"	"2021"	"Yes"	"1"	2560
	"Arizona"	"04"	"2021"	"2021"	"No"	"2"	75280
	"Arizona"	"04"	"2021"	"2021"	"Unknown or Not Stated"	"9"	76
	"Arizona"	"04"	"2021"	"2021"	"Not Reported"	"10"	0
"Total"	"Arizona"	"04"	"2021"	"2021"			77916
	"Arizona"	"04"	"2022"	"2022"	"Yes"	"1"	2076
	"Arizona"	"04"	"2022"	"2022"	"No"	"2"	76385
	"Arizona"	"04"	"2022"	"2022"	"Unknown or Not Stated"	"9"	86
	"Arizona"	"04"	"2022"	"2022"	"Not Reported"	"10"	0
"Total"	"Arizona"	"04"	"2022"	"2022"			78547
	"Arizona"	"04"	"2023"	"2023"	"Yes"	"1"	1706
	"Arizona"	"04"	"2023"	"2023"	"No"	"2"	76315
	"Arizona"	"04"	"2023"	"2023"	"Unknown or Not Stated"	"9"	75
	"Arizona"	"04"	"2023"	"2023"	"Not Reported"	"10"	0
"Total"	"Arizona"	"04"	"2023"	"2023"			78096
