,"""Notes""	""Census Division""	""Census Division Code""	""Year""	""Year Code""",Births
0,"""Division 1: New England""	""CENS-D1""	""2010""	""2010""	153817",
1,"""Division 1: New England""	""CENS-D1""	""2011""	""2011""	153040",
2,"""Division 1: New England""	""CENS-D1""	""2012""	""2012""	151063",
3,"""Division 1: New England""	""CENS-D1""	""2013""	""2013""	149829",
4,"""Division 1: New England""	""CENS-D1""	""2014""	""2014""	150146",
5,"""Division 1: New England""	""CENS-D1""	""2015""	""2015""	149174",
6,"""Division 1: New England""	""CENS-D1""	""2016""	""2016""	148858",
7,"""Division 1: New England""	""CENS-D1""	""2017""	""2017""	146630",
8,"""Division 1: New England""	""CENS-D1""	""2018""	""2018""	144078",
9,"""Division 1: New England""	""CENS-D1""	""2019""	""2019""	142529",
10,"""Division 1: New England""	""CENS-D1""	""2020""	""2020""	138452",
11,"""Division 1: New England""	""CENS-D1""	""2021""	""2021""	145286",
12,"""Division 1: New England""	""CENS-D1""	""2022""	""2022""	143671",
13,"""Division 1: New England""	""CENS-D1""	""2023""	""2023""	140085",
14,"""Total""	""Division 1: New England""	""CENS-D1""			2056658",
15,"""Division 2: Middle Atlantic""	""CENS-D2""	""2010""	""2010""	494618",
16,"""Division 2: Middle Atlantic""	""CENS-D2""	""2011""	""2011""	490373",
17,"""Division 2: Middle Atlantic""	""CENS-D2""	""2012""	""2012""	487660",
18,"""Division 2: Middle Atlantic""	""CENS-D2""	""2013""	""2013""	480476",
19,"""Division 2: Middle Atlantic""	""CENS-D2""	""2014""	""2014""	484346",
20,"""Division 2: Middle Atlantic""	""CENS-D2""	""2015""	""2015""	481448",
21,"""Division 2: Middle Atlantic""	""CENS-D2""	""2016""	""2016""	476339",
22,"""Division 2: Middle Atlantic""	""CENS-D2""	""2017""	""2017""	468732",
23,"""Division 2: Middle Atlantic""	""CENS-D2""	""2018""	""2018""	463134",
24,"""Division 2: Middle Atlantic""	""CENS-D2""	""2019""	""2019""	455354",
25,"""Division 2: Middle Atlantic""	""CENS-D2""	""2020""	""2020""	437985",
26,"""Division 2: Middle Atlantic""	""CENS-D2""	""2021""	""2021""	444861",
27,"""Division 2: Middle Atlantic""	""CENS-D2""	""2022""	""2022""	440919",
28,"""Division 2: Middle Atlantic""	""CENS-D2""	""2023""	""2023""	431564",
29,"""Total""	""Division 2: Middle Atlantic""	""CENS-D2""			6537809",
30,"""Division 3: East North Central""	""CENS-D3""	""2010""	""2010""	571286",
31,"""Division 3: East North Central""	""CENS-D3""	""2011""	""2011""	564749",
32,"""Division 3: East North Central""	""CENS-D3""	""2012""	""2012""	561256",
33,"""Division 3: East North Central""	""CENS-D3""	""2013""	""2013""	559107",
34,"""Division 3: East North Central""	""CENS-D3""	""2014""	""2014""	563639",
35,"""Division 3: East North Central""	""CENS-D3""	""2015""	""2015""	561773",
36,"""Division 3: East North Central""	""CENS-D3""	""2016""	""2016""	555551",
37,"""Division 3: East North Central""	""CENS-D3""	""2017""	""2017""	544793",
38,"""Division 3: East North Central""	""CENS-D3""	""2018""	""2018""	535725",
39,"""Division 3: East North Central""	""CENS-D3""	""2019""	""2019""	526604",
40,"""Division 3: East North Central""	""CENS-D3""	""2020""	""2020""	505773",
41,"""Division 3: East North Central""	""CENS-D3""	""2021""	""2021""	508687",
42,"""Division 3: East North Central""	""CENS-D3""	""2022""	""2022""	498600",
43,"""Division 3: East North Central""	""CENS-D3""	""2023""	""2023""	489594",
44,"""Total""	""Division 3: East North Central""	""CENS-D3""			7547137",
45,"""Division 4: West North Central""	""CENS-D4""	""2010""	""2010""	271570",
46,"""Division 4: West North Central""	""CENS-D4""	""2011""	""2011""	269475",
47,"""Division 4: West North Central""	""CENS-D4""	""2012""	""2012""	271413",
48,"""Division 4: West North Central""	""CENS-D4""	""2013""	""2013""	271330",
49,"""Division 4: West North Central""	""CENS-D4""	""2014""	""2014""	274610",
50,"""Division 4: West North Central""	""CENS-D4""	""2015""	""2015""	273860",
51,"""Division 4: West North Central""	""CENS-D4""	""2016""	""2016""	272157",
52,"""Division 4: West North Central""	""CENS-D4""	""2017""	""2017""	265270",
53,"""Division 4: West North Central""	""CENS-D4""	""2018""	""2018""	262676",
54,"""Division 4: West North Central""	""CENS-D4""	""2019""	""2019""	257856",
55,"""Division 4: West North Central""	""CENS-D4""	""2020""	""2020""	248528",
56,"""Division 4: West North Central""	""CENS-D4""	""2021""	""2021""	251508",
57,"""Division 4: West North Central""	""CENS-D4""	""2022""	""2022""	249020",
58,"""Division 4: West North Central""	""CENS-D4""	""2023""	""2023""	243914",
59,"""Total""	""Division 4: West North Central""	""CENS-D4""			3683187",
60,"""Division 5: South Atlantic""	""CENS-D5""	""2010""	""2010""	747031",
61,"""Division 5: South Atlantic""	""CENS-D5""	""2011""	""2011""	740619",
62,"""Division 5: South Atlantic""	""CENS-D5""	""2012""	""2012""	737559",
63,"""Division 5: South Atlantic""	""CENS-D5""	""2013""	""2013""	734996",
64,"""Division 5: South Atlantic""	""CENS-D5""	""2014""	""2014""	747542",
65,"""Division 5: South Atlantic""	""CENS-D5""	""2015""	""2015""	752123",
66,"""Division 5: South Atlantic""	""CENS-D5""	""2016""	""2016""	748710",
67,"""Division 5: South Atlantic""	""CENS-D5""	""2017""	""2017""	741149",
68,"""Division 5: South Atlantic""	""CENS-D5""	""2018""	""2018""	732341",
69,"""Division 5: South Atlantic""	""CENS-D5""	""2019""	""2019""	727520",
70,"""Division 5: South Atlantic""	""CENS-D5""	""2020""	""2020""	704470",
71,"""Division 5: South Atlantic""	""CENS-D5""	""2021""	""2021""	718434",
72,"""Division 5: South Atlantic""	""CENS-D5""	""2022""	""2022""	730177",
73,"""Division 5: South Atlantic""	""CENS-D5""	""2023""	""2023""	717513",
74,"""Total""	""Division 5: South Atlantic""	""CENS-D5""			10280184",
75,"""Division 6: East South Central""	""CENS-D6""	""2010""	""2010""	235365",
76,"""Division 6: East South Central""	""CENS-D6""	""2011""	""2011""	234172",
77,"""Division 6: East South Central""	""CENS-D6""	""2012""	""2012""	233246",
78,"""Division 6: East South Central""	""CENS-D6""	""2013""	""2013""	232479",
79,"""Division 6: East South Central""	""CENS-D6""	""2014""	""2014""	235930",
80,"""Division 6: East South Central""	""CENS-D6""	""2015""	""2015""	235707",
81,"""Division 6: East South Central""	""CENS-D6""	""2016""	""2016""	233335",
