State,Year,Births,ChronicHypertensionBirths,DiabetesBirths,EnclampsiaBirths,Pregnancy-AssociatedHypertensionBirths,TobaccoUseBirths,HospitalBirths,BirthCenterBirths,ResidenceBirths,MD_Delivery,DO_Delivery,CNM_Delivery,OtherMidwife_Delivery,Other_Delivery_Attendant,Vaginal_Delivery,Cesarean_Delivery,Married,Unmarried,NoPrenatalCare,1stMonthInitialCare,2ndMonthInitialCare,3rdMonthInitialCare,4thMonthInitialCare,5thMonthInitialCare,6thMonthInitialCare,7thMonthInitialCare,8thMonthInitialCare,9thMonthInitialCare,UnknownInitialCare,NotReportedInitialCare,Under20Weeks,20-27Weeks,28-31Weeks,32-35Weeks,36Weeks,37-39Weeks,40Weeks,41Weeks,42PlusWeeks
Arizona,2010,87477,769.0,3694.0,769.0,3441.0,0.0,86346.0,437,663.0,72469,8937.0,5249,642.0,177,63343.0,23629.0,48183.0,39294,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,87477.0,42.0,465,667.0,3579,3697.0,55528,18468,4671.0,337
Arizona,2011,85543,711.0,4014.0,772.0,3599.0,0.0,84380.0,454,679.0,71480,8295.0,4825,752.0,178,61655.0,23449.0,47316.0,38227,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,85543.0,41.0,546,618.0,3421,3354.0,54646,18076,4482.0,321
Arizona,2012,86441,807.0,4452.0,634.0,3903.0,0.0,85177.0,505,724.0,71309,8526.0,5617,781.0,199,62591.0,23405.0,47122.0,39319,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,86441.0,54.0,480,688.0,3476,3290.0,55425,18265,4441.0,271
Arizona,2013,85600,956.0,4919.0,604.0,4791.0,0.0,84450.0,459,672.0,70436,8545.0,5568,802.0,235,61799.0,23347.0,46725.0,38875,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,85600.0,49.0,437,641.0,3430,3218.0,54667,18067,4787.0,261
Arizona,2014,86887,1039.0,6126.0,341.0,4567.0,4675.0,85628.0,511,702.0,71286,9011.0,6252,90.0,238,62741.0,24146.0,47663.0,39224,1862.0,8553.0,34117.0,20467,8059,4513.0,2887.0,2258,1730,794.0,1627,0.0,35.0,474,664.0,3440,3206.0,55382,17920,5388.0,290
Arizona,2015,85351,972.0,7224.0,150.0,5118.0,4484.0,84090.0,492,716.0,68443,10016.0,6551,90.0,236,61834.0,23516.0,46489.0,38862,1888.0,7053.0,33852.0,20815,7952,4439.0,2806.0,2308,1785,747.0,1688,0.0,34.0,416,671.0,3389,3214.0,54675,17381,5197.0,286
Arizona,2016,84520,975.0,7188.0,160.0,5275.0,4076.0,83081.0,582,775.0,66639,10808.0,6685,57.0,310,61297.0,23220.0,46467.0,38053,2041.0,5683.0,33533.0,21208,7760,4402.0,2915.0,2313,1885,828.0,1941,0.0,30.0,452,637.0,3331,3204.0,54292,17118,5133.0,231
Arizona,2017,81872,1064.0,7114.0,146.0,5523.0,3910.0,80473.0,607,706.0,63809,11020.0,6694,79.0,253,59884.0,21986.0,45160.0,36604,2365.0,4854.0,32382.0,20823,7643,4272.0,2851.0,2222,1814,769.0,1860,0.0,25.0,437,628.0,3342,3146.0,52693,16335,4930.0,213
Arizona,2018,80723,1133.0,7785.0,130.0,6224.0,3702.0,79284.0,702,667.0,63036,10562.0,6825,54.0,220,58521.0,22199.0,44427.0,36180,2268.0,4429.0,31699.0,21335,7490,4175.0,2731.0,2380,1950,837.0,1413,0.0,18.0,446,663.0,3394,3152.0,52934,15417,4413.0,190
Arizona,2019,79375,1207.0,7769.0,116.0,6357.0,3526.0,78020.0,584,706.0,60269,11056.0,7671,32.0,338,57330.0,22039.0,43435.0,35833,2084.0,3900.0,30735.0,20727,7392,4147.0,2874.0,2478,2122,931.0,1972,0.0,23.0,394,648.0,3279,3091.0,52862,14868,3998.0,160
